date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2005-01-31,spy,0,75402,0.0,59.94,0,6027334,75402,6027334,daily
2005-01-31,gld,0,0,0.0,0.0,0,0,0,0,daily
2005-01-31,tlt,44812,43801,20.46,20.06,2057822,2017114,-1011,-40708,daily
2005-01-31,cash,0,0,79.54,20.0,8000041,2011595,0,-5988446,daily
2005-09-20,spy,75402,74426,60.79,59.88,6355856,6220582,-976,-135274,daily
2005-09-20,gld,0,44819,0.0,19.94,0,2071982,44819,2071982,daily
2005-09-20,tlt,43801,43852,19.98,20.18,2088784,2096654,51,7870,daily
2005-09-20,cash,0,0,19.24,0.0,2011595,18,0,-2011577,daily
2006-02-02,spy,74426,76038,58.73,59.63,6578405,6642887,1612,64482,monthly
2006-02-02,gld,44819,39528,22.69,20.22,2541237,2252305,-5291,-288932,monthly
2006-02-02,tlt,43852,47175,18.59,20.15,2082058,2244060,3323,162002,monthly
2006-02-02,cash,0,0,0.0,0.0,18,77,0,59,monthly
2006-05-02,spy,76038,76698,59.48,59.94,6853251,6964684,660,111433,monthly
2006-05-02,gld,39528,35381,22.35,20.27,2575644,2354605,-4147,-221039,monthly
2006-05-02,tlt,47175,0,18.17,0.0,2093036,0,-47175,-2093036,monthly
2006-05-02,cash,0,0,0.0,19.79,77,2299623,0,2299546,monthly
2006-09-25,spy,76698,74615,61.67,60.15,7031049,6892644,-2083,-138405,daily
2006-09-25,gld,35381,38986,18.16,19.9,2069788,2280681,3605,210893,daily
2006-09-25,tlt,0,46704,0.0,19.94,0,2285120,46704,2285120,daily
2006-09-25,cash,0,0,20.17,0.0,2299623,71,0,-2299552,daily
2007-06-04,spy,74615,71474,62.62,59.93,8093086,7753403,-3141,-339683,monthly
2007-06-04,gld,38986,38905,20.04,20.01,2590229,2588738,-81,-1491,monthly
2007-06-04,tlt,46704,53830,17.34,20.06,2240808,2594474,7126,353666,monthly
2007-06-04,cash,0,0,0.0,0.0,71,40,0,-31,monthly
2007-11-02,spy,71474,75441,56.83,59.68,7667892,8102591,3967,434699,monthly
2007-11-02,gld,38905,34652,22.47,20.38,3031866,2766269,-4253,-265597,monthly
2007-11-02,tlt,53830,51984,20.71,19.94,2794004,2706813,-1846,-87191,monthly
2007-11-02,cash,0,0,0.0,0.0,40,44,0,4,monthly
2008-01-16,spy,75441,0,55.72,0.0,7443632,0,-75441,-7443632,
2008-01-16,gld,34652,34652,22.83,22.71,3049029,3004328,0,-44701,
2008-01-16,tlt,51984,51984,21.45,21.51,2865527,2844847,0,-20680,
2008-01-16,cash,0,0,0.0,55.78,44,7377838,0,7377794,
2008-02-04,spy,0,0,0.0,0.0,0,0,0,0,monthly
2008-02-04,gld,34652,29796,23.21,19.97,3096156,2654823,-4856,-441333,monthly
2008-02-04,tlt,51984,48376,21.47,19.84,2864058,2637847,-3608,-226211,monthly
2008-02-04,cash,0,0,55.31,60.19,7377838,8002791,0,624953,monthly
2008-08-12,spy,0,0,0.0,0.0,0,0,0,0,
2008-08-12,gld,29796,0,18.55,0.0,2417349,0,-29796,-2417349,
2008-08-12,tlt,48376,48376,20.02,20.2,2608059,2632391,0,24332,
2008-08-12,cash,0,0,61.43,79.8,8002791,10401303,0,2398512,
2008-12-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2008-12-02,gld,0,0,0.0,0.0,0,0,0,0,monthly
2008-12-02,tlt,48376,41290,23.39,20.03,3175575,2720829,-7086,-454746,monthly
2008-12-02,cash,0,0,76.61,79.97,10401303,10861498,0,460195,monthly
2009-01-02,spy,0,0,0.0,0.0,0,0,0,0,daily
