entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2004-12-10,2005-01-31,44.629977,45.723395,1011,1105,0.0245,0.0,3,tlt,rebalance,44812,43801,46226.352411726,52
2005-01-31,2005-09-20,80.033316,84.115184,976,3984,0.051,0.0,3,spy,rebalance,75402,74426,82096.419713808,232
2005-09-20,2006-02-02,46.65956,56.868881,5291,54018,0.2188,0.0,3,gld,rebalance,44819,39528,300893.249355127,135
2005-09-20,2006-05-02,46.65956,65.403198,4147,77730,0.4017,0.0,3,gld,rebalance,39528,35381,271227.062130882,224
2004-12-10,2006-05-02,44.844166,44.266269,47175,-27262,-0.0129,0.0,3,tlt,signal,47175,0,2088261.221157825,508
2005-01-31,2006-09-25,80.303128,91.5776,2083,23485,0.1404,0.0,3,spy,rebalance,76698,74615,190756.13980640902,602
2005-01-31,2007-06-04,80.303128,107.760187,3141,86243,0.3419,0.0,3,spy,rebalance,74615,71474,338474.74636188004,854
2005-09-20,2007-06-04,47.738202,66.410171,81,1512,0.3911,0.0,3,gld,rebalance,38986,38905,5379.223850756999,622
2005-09-20,2007-11-02,47.738202,78.314353,4253,130040,0.6405,0.0,3,gld,rebalance,38905,34652,333070.94327072304,773
2006-09-25,2007-11-02,48.744809,51.577476,1846,5229,0.0581,0.0,3,tlt,rebalance,53830,51984,95212.020655388,403
2005-01-31,2008-01-16,81.75746,97.795546,75441,1209929,0.1962,0.0,3,spy,signal,75441,0,7377793.752214755,1080
2005-09-20,2008-02-04,47.738202,88.244472,4856,196698,0.8485,0.0,3,gld,rebalance,34652,29796,428515.15600286395,867
2006-09-25,2008-02-04,48.744809,54.445192,3608,20567,0.1169,0.0,3,tlt,rebalance,51984,48376,196438.252530344,497
2005-09-20,2008-08-12,47.738202,80.497778,29796,976104,0.6862,0.0,3,gld,signal,29796,0,2398511.793466776,1057
2006-09-25,2008-12-02,48.744809,64.944153,7086,114789,0.3323,0.0,3,tlt,rebalance,48376,41290,460194.27017042396,799
2006-09-25,2009-01-02,48.744809,72.058443,2791,65068,0.4783,0.0,3,tlt,rebalance,41290,38499,201115.11495166295,830
2009-01-02,2009-03-03,86.18779,90.577448,2135,9372,0.0509,0.0,3,gld,rebalance,32088,29953,193382.85149281,60
2006-09-25,2009-05-08,50.306884,57.689356,43610,321950,0.1467,0.0,3,tlt,signal,43610,0,2515832.8223556504,956
2009-01-02,2009-07-27,86.18779,93.618302,1073,7973,0.0862,0.0,3,gld,rebalance,29953,28880,100452.43803956201,206
2009-07-27,2009-10-02,72.716287,75.697396,1274,3798,0.041,0.0,3,spy,rebalance,111283,110009,96438.48312061602,67
2009-01-02,2009-10-02,86.18779,97.546476,170,1931,0.1318,0.0,3,gld,rebalance,28880,28710,16582.90092204,273
2009-07-27,2009-12-02,72.716287,82.568202,191,1882,0.1355,0.0,3,spy,rebalance,110009,109818,15770.526590404,128
2009-01-02,2009-12-02,86.18779,118.443603,2852,91994,0.3743,0.0,3,gld,rebalance,28710,25858,337801.155730332,334
2009-10-02,2009-12-28,61.928185,55.550533,51090,-325834,-0.103,0.0,3,tlt,signal,51090,0,2838076.72800678,87
2009-07-27,2010-05-20,72.716287,81.931384,2148,19794,0.1267,0.0,3,spy,rebalance,109818,107670,175988.61336040802,297
2009-01-02,2010-05-20,86.18779,115.791579,7,207,0.3435,0.0,3,gld,rebalance,25858,25851,810.541053021,503
2009-07-27,2010-07-01,72.716287,77.632361,107670,529314,0.0676,0.0,3,spy,signal,107670,0,8358676.3221134115,339
2009-01-02,2010-08-06,86.18779,117.636028,1135,35694,0.3649,0.0,3,gld,rebalance,25851,24716,133516.89178681,581
2010-05-20,2010-08-06,62.240266,63.66823,2811,4014,0.0229,0.0,3,tlt,rebalance,48439,45628,178971.393329703,78
2010-05-20,2010-12-16,62.240266,58.858826,45628,-154288,-0.0543,0.0,3,tlt,signal,45628,0,2685610.5217623436,210
2010-08-06,2011-06-02,84.60348,100.808133,3054,49489,0.1915,0.0,3,spy,rebalance,102492,99438,307868.036957346,300
2009-01-02,2011-06-02,86.18779,149.699544,2376,150904,0.7369,0.0,3,gld,rebalance,24716,22340,355686.11658676795,881
2010-08-06,2011-08-05,84.60348,93.477122,99438,882377,0.1049,0.0,3,spy,signal,99438,0,9295178.038443342,364
2009-01-02,2011-09-02,86.18779,182.271547,3062,294208,1.1148,0.0,3,gld,rebalance,22340,19278,558115.476849698,973
2011-06-02,2011-09-02,64.177955,74.366277,5279,53784,0.1588,0.0,3,tlt,rebalance,52186,46907,392579.575538661,92
2011-06-02,2011-10-04,64.177955,83.242841,5396,102874,0.2971,0.0,3,tlt,rebalance,46907,41511,449178.37023565196,124
