entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2004-12-10,2005-01-31,44.808273,45.906119,566,621,0.0245,3,tlt,rebalance,52
2004-12-10,2005-09-20,44.808273,47.729765,55,161,0.0652,3,tlt,rebalance,284
2005-01-31,2005-09-20,80.251897,84.344916,1244,5092,0.051,3,spy,rebalance,232
2005-09-20,2006-02-02,46.65956,56.868881,6681,68208,0.2188,3,gld,rebalance,135
2004-12-10,2006-05-02,45.075648,44.44316,23816,-15063,-0.014,3,tlt,signal,508
2005-01-31,2006-09-25,80.596757,91.82773,890,9996,0.1393,3,spy,rebalance,602
2005-09-20,2006-09-25,46.65956,57.975552,410,4640,0.2425,3,gld,rebalance,370
2005-01-31,2007-02-02,80.596757,101.451964,653,13618,0.2588,3,spy,rebalance,732
2005-09-20,2007-02-02,46.65956,64.565722,985,17638,0.3838,3,gld,rebalance,500
2006-09-25,2008-01-03,48.953911,54.248373,359,1901,0.1082,3,tlt,rebalance,465
2005-09-20,2008-01-03,46.65956,84.615393,8378,317994,0.8135,3,gld,rebalance,835
2005-01-31,2008-01-16,82.592387,98.062588,82331,1273677,0.1873,3,spy,signal,1080
2005-09-20,2008-03-04,46.65956,96.988159,5948,299355,1.0786,3,gld,rebalance,896
2005-09-20,2008-08-12,46.65956,80.497778,44385,1501909,0.7252,3,gld,signal,1057
2006-09-25,2008-10-02,49.019233,57.577004,2397,20513,0.1746,3,tlt,rebalance,738
2006-09-25,2008-12-02,49.019233,65.203664,2864,46352,0.3302,3,tlt,rebalance,799
2006-09-25,2009-01-02,49.019233,72.346314,1611,37580,0.4759,3,tlt,rebalance,830
2009-01-02,2009-02-03,86.18779,89.071976,1560,4499,0.0335,3,gld,rebalance,32
2006-09-25,2009-05-08,50.645917,57.919883,21971,159816,0.1436,3,tlt,signal,956
2009-01-02,2009-07-27,86.18779,93.618302,2037,15136,0.0862,3,gld,rebalance,206
2009-07-27,2009-10-02,72.914904,75.904139,793,2370,0.041,3,spy,rebalance,67
2009-01-02,2009-10-02,86.18779,97.546476,58,659,0.1318,3,gld,rebalance,273
2009-01-02,2009-12-02,86.18779,118.443603,3575,115315,0.3743,3,gld,rebalance,334
2009-10-02,2009-12-28,62.121962,55.772456,27351,-173665,-0.1022,3,tlt,signal,87
2009-07-27,2010-05-20,73.127762,82.155144,1611,14543,0.1234,3,spy,rebalance,297
2009-07-27,2010-07-01,73.127762,77.844403,116123,547710,0.0645,3,spy,signal,339
2010-05-20,2010-08-06,62.488958,63.922668,1550,2222,0.0229,3,tlt,rebalance,78
2009-01-02,2010-08-06,86.359788,117.636028,1900,59425,0.3622,3,gld,rebalance,581
2009-01-02,2010-12-02,86.359788,135.213135,2107,102934,0.5657,3,gld,rebalance,699
2010-05-20,2010-12-16,62.507804,59.094065,27398,-93530,-0.0546,3,tlt,signal,210
2010-08-06,2011-06-02,84.91299,101.083405,1349,21814,0.1904,3,spy,rebalance,300
2009-01-02,2011-06-02,86.359788,149.699544,698,44211,0.7334,3,gld,rebalance,881
2010-08-06,2011-08-05,84.91299,93.732427,110149,971452,0.1039,3,spy,signal,364
2011-06-02,2011-09-02,64.434411,74.66339,2795,28590,0.1588,3,tlt,rebalance,92
2009-01-02,2011-09-02,86.359788,182.271547,4953,475051,1.1106,3,gld,rebalance,973
2011-06-02,2011-10-04,64.434411,83.575442,3530,67568,0.2971,3,tlt,rebalance,124
2012-01-09,2012-04-03,100.273861,110.778898,3775,39657,0.1048,3,spy,rebalance,85
2009-01-02,2012-05-15,95.510505,150.706524,36733,2027515,0.5779,3,gld,signal,1229
2011-06-02,2012-06-04,66.196983,88.65063,5107,114671,0.3392,3,tlt,rebalance,368
2012-01-09,2012-09-07,100.299528,113.216068,5445,70331,0.1288,3,spy,rebalance,242
2012-09-07,2013-02-21,168.273314,151.544,35699,-597220,-0.0994,3,gld,signal,167
2012-01-09,2013-06-04,100.299528,131.471588,9252,288404,0.3108,3,spy,rebalance,512
2011-06-02,2013-06-21,69.848143,77.327107,26306,196742,0.1071,3,tlt,signal,750
2012-01-09,2014-04-16,100.299528,151.274527,5185,264305,0.5082,3,spy,rebalance,828
2014-04-16,2015-01-26,80.085247,99.344662,3269,62959,0.2405,3,tlt,rebalance,285
2012-01-09,2015-01-26,100.299528,169.481736,2241,155037,0.6898,3,spy,rebalance,1113
2015-01-26,2015-03-09,123.699992,112.082738,61438,-713741,-0.0939,3,gld,signal,42
2014-04-16,2015-06-11,80.085247,86.762543,25430,169804,0.0834,3,tlt,signal,421
2012-01-09,2015-08-25,100.299528,163.311507,89295,5626655,0.6282,3,spy,signal,1324
2015-11-03,2016-01-11,177.435468,163.092662,79920,-1146277,-0.0808,3,spy,signal,69
2015-08-25,2016-02-11,93.625705,101.778117,3122,25452,0.0871,3,tlt,rebalance,170
