entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2004-12-10,2005-01-31,44.629977,45.723395,806,881,0.0245,0.0,3,tlt,rebalance,33609,32803,36853.056423196,52
2005-01-31,2005-05-26,80.033316,81.112945,99,107,0.0135,0.0,3,spy,rebalance,50196,50097,8030.181550248,115
2004-12-10,2005-05-26,44.629977,47.524172,906,2622,0.0648,0.0,3,tlt,rebalance,32803,31897,43056.900265068005,167
2005-05-26,2005-09-20,0.475039,0.498446,89402,2093,0.0493,0.0,3,tqqq,rebalance,4276285,4186883,44562.083775124,117
2005-01-31,2005-09-20,80.033316,84.115184,701,2861,0.051,0.0,3,spy,rebalance,50097,49396,58964.744077233,232
2005-09-20,2005-12-02,46.65956,49.78021,383,1195,0.0669,0.0,3,gld,rebalance,55774,55391,19065.82043,73
2005-05-26,2005-12-02,0.475039,0.592284,466873,54739,0.2468,0.0,3,tqqq,rebalance,4186883,3720010,276521.315491146,190
2005-09-20,2006-04-04,46.65956,58.264679,5897,68435,0.2487,0.0,3,gld,rebalance,55391,49494,343586.812080691,196
2004-12-10,2006-05-02,44.959382,44.266269,37766,-26176,-0.0154,0.0,3,tlt,signal,37766,0,1671759.899909834,508
2005-09-20,2006-05-24,46.65956,64.635512,7600,136617,0.3853,0.0,3,gld,rebalance,49494,41894,491229.89115439996,246
2005-05-26,2006-06-12,0.471512,0.40959,5215805,-322978,-0.1313,0.0,3,tqqq,signal,5215805,0,2136339.13938487,382
2005-01-31,2006-09-25,80.366564,91.5776,3677,41223,0.1395,0.0,3,spy,rebalance,51674,47997,336730.833446071,602
2005-09-20,2006-09-29,47.932563,59.34144,511,5830,0.238,0.0,3,gld,rebalance,47026,46515,30323.475840000003,374
2005-01-31,2006-09-29,80.366564,93.016664,259,3276,0.1574,0.0,3,spy,rebalance,47997,47738,24091.316063542,606
2006-09-29,2007-05-02,0.47175,0.599085,471981,60100,0.2699,0.0,3,tqqq,rebalance,4716549,4244568,282756.895970616,215
2006-09-29,2007-09-05,0.47175,0.690429,480995,105184,0.4635,0.0,3,tqqq,rebalance,4244568,3763573,332093.127251605,341
2005-09-20,2007-11-02,48.805844,78.314353,2396,70702,0.6046,0.0,3,gld,rebalance,48721,46325,187641.18976643603,773
2006-09-29,2007-11-02,0.47175,0.881233,412381,168863,0.868,0.0,3,tqqq,rebalance,3763573,3351192,363403.888044445,399
2005-01-31,2007-11-13,83.361852,102.952038,1272,24919,0.235,0.0,3,spy,rebalance,53801,52529,130954.99173943201,1016
2005-09-20,2007-11-13,48.805844,79.161802,3496,106124,0.622,0.0,3,gld,rebalance,46325,42829,276749.659771024,784
2006-09-25,2007-11-13,49.10591,52.130568,3394,10266,0.0616,0.0,3,tlt,rebalance,41721,38327,176931.14680774,414
2005-01-31,2008-01-16,83.361852,97.795546,52529,758187,0.1731,0.0,3,spy,signal,52529,0,5137102.212458596,1080
2006-09-29,2008-01-17,0.509914,0.504621,4246955,-22481,-0.0104,0.0,3,tqqq,signal,4246955,0,2143100.908074765,475
2005-09-20,2008-02-04,48.805844,88.244472,5916,233319,0.8081,0.0,3,gld,rebalance,42829,36913,522054.29631650395,867
2006-09-25,2008-02-04,49.10591,54.445192,2366,12633,0.1087,0.0,3,tlt,rebalance,38327,35961,128817.32413713801,497
2005-09-20,2008-07-01,49.525681,92.252409,3064,130915,0.8627,0.0,3,gld,rebalance,37647,34583,282661.381185192,1015
2006-09-25,2008-07-01,49.195562,54.478667,1810,9562,0.1074,0.0,3,tlt,rebalance,36754,34944,98606.38765915,645
2008-05-07,2008-07-03,0.524497,0.414298,6013416,-662670,-0.2101,0.0,3,tqqq,signal,6013416,0,2491348.41686484,57
2005-09-20,2008-08-12,49.525681,80.497778,34583,1071108,0.6254,0.0,3,gld,signal,34583,0,2783854.6567814983,1057
2006-09-25,2008-12-02,49.195562,64.944153,6167,97122,0.3201,0.0,3,tlt,rebalance,34944,28777,400510.59330242797,799
2006-09-25,2009-01-02,49.195562,72.058443,2057,47029,0.4647,0.0,3,tlt,rebalance,28777,26720,148224.21764800098,830
2009-01-02,2009-02-03,86.18779,89.071976,1444,4165,0.0335,0.0,3,gld,rebalance,37118,35674,128619.93336132799,32
2006-09-25,2009-05-08,50.683126,57.689356,29907,209535,0.1382,0.0,3,tlt,signal,29907,0,1725315.5748266552,956
2009-01-02,2009-06-04,86.18779,94.954278,2035,17840,0.1017,0.0,3,gld,rebalance,35674,33639,193231.95574221,153
2009-06-04,2009-07-27,0.128492,0.158203,2724264,80940,0.2312,0.0,3,tqqq,rebalance,19765582,17041318,430986.63679423195,53
2009-06-04,2009-10-02,0.128492,0.172591,1214915,53576,0.3432,0.0,3,tqqq,rebalance,17041318,15826403,209682.99384305,120
2009-01-02,2009-12-02,86.718272,118.443603,2403,76236,0.3658,0.0,3,gld,rebalance,35779,33376,284619.977987373,334
2009-06-04,2009-12-02,0.128492,0.216353,1236967,108681,0.6838,0.0,3,tqqq,rebalance,15826403,14589436,267621.506507396,181
2009-10-02,2009-12-28,61.844977,55.550533,39575,-249103,-0.1018,0.0,3,tlt,signal,39575,0,2198412.3411796503,87
2009-07-27,2010-01-05,73.080567,84.489764,376,4290,0.1561,0.0,3,spy,rebalance,75615,75239,31768.151268512,162
2009-06-04,2010-01-05,0.128492,0.250652,1934836,236359,0.9507,0.0,3,tqqq,rebalance,14589436,12654600,484970.0912777521,215
2009-07-27,2010-02-02,73.080567,81.505857,1628,13716,0.1153,0.0,3,spy,rebalance,75239,73611,132691.53465876,190
2009-01-02,2010-02-02,88.613499,108.832524,1647,33301,0.2282,0.0,3,gld,rebalance,36305,34658,179247.16700823602,396
2009-06-04,2010-03-17,0.139661,0.265144,2483553,311644,0.8985,0.0,3,tqqq,rebalance,14878459,12394906,658499.608770222,286
2009-01-02,2010-05-20,90.118568,115.791579,2803,71961,0.2849,0.0,3,gld,rebalance,37216,34413,324563.79594540905,503
2009-07-27,2010-07-01,73.564606,77.632361,76542,311354,0.0553,0.0,3,spy,signal,76542,0,5942136.185076667,339
2009-01-02,2010-07-02,90.118568,117.855369,2417,67040,0.3078,0.0,3,gld,rebalance,34413,31996,284856.426880251,546
2010-05-20,2010-07-02,62.240266,64.302419,4093,8440,0.0331,0.0,3,tlt,rebalance,38712,34619,263189.802108947,43
2009-06-04,2010-07-27,0.153443,0.234989,2898662,236373,0.5314,0.0,3,tqqq,rebalance,16457160,13558498,681153.429635744,418
2009-01-02,2010-08-06,91.598305,117.636028,134,3489,0.2843,0.0,3,gld,rebalance,33994,33860,15763.227752804001,581
2009-06-04,2010-08-06,0.153443,0.229216,282677,21419,0.4938,0.0,3,tqqq,rebalance,13558498,13275821,64794.170946914,428
2009-01-02,2010-09-02,91.598305,122.012857,1939,58974,0.332,0.0,3,gld,rebalance,33860,31921,236582.929740451,608
2010-05-20,2010-09-02,62.323085,67.319642,3282,16399,0.0802,0.0,3,tlt,rebalance,37498,34216,220943.06626818603,105
2009-06-04,2010-09-27,0.159948,0.280556,2834642,341881,0.754,0.0,3,tqqq,rebalance,15089353,12254711,795275.2540235999,480
2009-06-04,2010-11-02,0.159948,0.332315,1152278,198615,1.0776,0.0,3,tqqq,rebalance,12254711,11102433,382919.32694528997,516
2010-05-20,2010-12-16,63.070012,58.858826,41947,-176647,-0.0668,0.0,3,tlt,signal,41947,0,2468951.182527506,210
2010-08-06,2011-01-04,84.786832,96.850365,848,10230,0.1423,0.0,3,spy,rebalance,80154,79306,82129.10920624,151
2009-06-04,2011-01-04,0.159948,0.387767,1085927,247395,1.4243,0.0,3,tqqq,rebalance,11102433,10016506,421086.870022546,579
2009-01-02,2011-06-02,94.796344,149.699544,1072,58856,0.5792,0.0,3,gld,rebalance,34820,33748,160477.91118729598,881
2009-06-04,2011-06-02,0.159948,0.412049,179271,45194,1.5761,0.0,3,tqqq,rebalance,10016506,9837235,73868.460122043,728
2010-08-06,2011-08-05,84.953508,93.477122,80109,682818,0.1003,0.0,3,spy,signal,80109,0,7488358.750997181,364
2009-06-04,2011-08-09,0.159948,0.288113,9837235,1260792,0.8013,0.0,3,tqqq,signal,9837235,0,2834235.8777891,796
2009-01-02,2011-08-17,94.796344,173.348385,5669,445312,0.8286,0.0,3,gld,rebalance,33748,28079,982711.9946500349,957
2011-06-02,2011-08-17,64.177955,70.767888,5969,39335,0.1027,0.0,3,tlt,rebalance,47298,41329,422413.52054719,76
2011-06-02,2011-10-04,64.177955,83.242841,5799,110557,0.2971,0.0,3,tlt,rebalance,41329,35530,482725.23517356295,124
2009-01-02,2011-10-17,100.212209,163.508,694,43927,0.6316,0.0,3,gld,rebalance,30563,29869,113474.55200000001,1018
2009-01-02,2011-11-25,100.212209,162.840012,1300,81416,0.625,0.0,3,gld,rebalance,29869,28569,211692.0155922,1057
2011-06-02,2011-11-25,65.090547,81.733562,4034,67138,0.2557,0.0,3,tlt,rebalance,38261,34227,329713.191112898,176
2011-10-17,2011-12-02,0.369672,0.364625,1667283,-8415,-0.0137,0.0,3,tqqq,rebalance,12756559,11089276,607932.787106022,46
2011-10-17,2012-01-09,0.369672,0.376122,643027,4148,0.0174,0.0,3,tqqq,rebalance,11089276,10446249,241856.754334426,84
2011-06-02,2012-01-09,66.222294,79.951975,816,11203,0.2073,0.0,3,tlt,rebalance,37277,36461,65240.811878256005,221
2011-10-17,2012-02-17,0.369672,0.495698,1763827,222289,0.3409,0.0,3,tqqq,rebalance,10446249,8682422,874326.27469161,123
2011-10-17,2012-04-03,0.369672,0.613639,1264277,308441,0.66,0.0,3,tqqq,rebalance,8682422,7418145,775809.0987569649,169
2009-01-02,2012-05-15,111.521574,150.706524,34852,1365674,0.3514,0.0,3,gld,signal,34852,0,5252423.7740297755,1229
2012-01-09,2012-05-18,100.334057,102.466724,981,2092,0.0213,0.0,3,spy,rebalance,81912,80931,100519.85609979299,130
2011-06-02,2012-05-18,68.357106,83.999963,7870,123109,0.2288,0.0,3,tlt,rebalance,44399,36529,661079.70752719,351
2011-10-17,2012-08-20,0.385978,0.591289,1607017,329938,0.5319,0.0,3,tqqq,rebalance,9270709,7663692,950211.147081532,308
2011-10-17,2012-09-07,0.385978,0.618643,224246,52174,0.6028,0.0,3,tqqq,rebalance,7663692,7439446,138728.32693731,326
2011-06-02,2012-09-07,70.00014,86.685386,332,5540,0.2384,0.0,3,tlt,rebalance,40861,40529,28779.5482599,463
2012-01-09,2012-11-02,100.510408,113.250385,2864,36487,0.1268,0.0,3,spy,rebalance,82096,79232,324349.101282464,298
2012-09-07,2012-11-02,168.273314,163.956647,817,-3527,-0.0257,0.0,3,gld,rebalance,34475,33658,133952.580606353,56
2011-06-02,2012-11-02,70.00014,83.520346,843,11398,0.1931,0.0,3,tlt,rebalance,40529,39686,70407.651692331,519
2012-09-07,2013-02-21,168.273314,151.544,33658,-563075,-0.0994,0.0,3,gld,signal,33658,0,5100667.9520000005,167
2012-01-09,2013-05-02,100.510408,126.520839,3517,91479,0.2588,0.0,3,spy,rebalance,79232,75715,444973.792057256,479
2011-10-17,2013-05-02,0.403797,0.640349,929607,219900,0.5858,0.0,3,tqqq,rebalance,8420568,7490961,595273.072735404,563
2011-06-02,2013-06-21,70.702373,77.019403,41425,261683,0.0893,0.0,3,tlt,signal,41425,0,3190528.7498881,750
2012-01-09,2013-08-02,100.510408,136.488362,827,29754,0.358,0.0,3,spy,rebalance,75715,74888,112875.875227621,571
2011-10-17,2013-08-02,0.403797,0.815079,1204662,495456,1.0185,0.0,3,tqqq,rebalance,7490961,6286299,981895.184981448,655
2011-10-17,2013-10-02,0.403797,0.900017,594108,294808,1.2289,0.0,3,tqqq,rebalance,6286299,5692191,534707.1958671,716
2011-10-17,2013-12-03,0.403797,1.119842,695182,497782,1.7733,0.0,3,tqqq,rebalance,5692191,4997009,778494.2542902482,778
2011-10-17,2014-03-04,0.403797,1.344127,475314,446952,2.3287,0.0,3,tqqq,rebalance,4997009,4521695,638882.610929976,869
2012-01-09,2014-04-16,102.271312,150.862489,2319,112683,0.4751,0.0,3,spy,rebalance,78220,75901,349850.111262834,828
2011-10-17,2014-06-03,0.491691,1.33719,655839,554511,1.7196,0.0,3,tqqq,rebalance,5136383,4480544,876981.587200362,960
2011-10-17,2014-09-03,0.491691,1.79161,770893,1002098,2.6438,0.0,3,tqqq,rebalance,4480544,3709651,1381139.6054173212,1052
2011-10-17,2015-01-26,0.491691,1.970965,175661,259851,3.0085,0.0,3,tqqq,rebalance,3709651,3533990,346221.73767123197,1197
2014-04-16,2015-01-26,80.061569,98.949298,5276,99652,0.2359,0.0,3,tlt,rebalance,58261,52985,522056.495630708,285
2012-01-09,2015-03-03,107.374963,174.601647,1266,85109,0.6261,0.0,3,spy,rebalance,82585,81319,221045.684995656,1149
2011-10-17,2015-03-03,0.491691,2.246584,398347,699056,3.5691,0.0,3,tqqq,rebalance,3533990,3135643,894919.9839008959,1233
2015-01-26,2015-03-09,123.105551,112.082738,77099,-849848,-0.0895,0.0,3,gld,signal,77099,0,8641467.017524594,42
2014-04-16,2015-06-11,81.068394,86.417285,57095,305395,0.066,0.0,3,tlt,signal,57095,0,4933994.889872655,421
2012-01-09,2015-08-25,107.374963,162.866745,81319,4512536,0.5168,0.0,3,spy,signal,81319,0,13244160.800468046,1324
2011-10-17,2015-08-25,0.491691,1.774839,3135643,4023495,2.6097,0.0,3,tqqq,signal,3135643,0,5565262.928872781,1408
