Date,equity,cash,rebalanced,spy_value,spy_weight,spy_signal,tqqq_value,tqqq_weight,tqqq_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2004-11-18,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-19,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-22,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-23,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-24,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-26,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-29,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-11-30,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-01,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-02,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-03,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-06,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-07,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-08,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,sell,0.0
2004-12-09,10000000,10000000,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,0,0.0,buy,0.0
2004-12-10,9993832,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1493789,0.1495,buy,-0.06
2004-12-13,9997027,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1496984,0.1497,buy,-0.03
2004-12-14,10002911,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1502868,0.1502,buy,0.0
2004-12-15,10016530,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1516487,0.1514,buy,0.0
2004-12-16,9994170,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1494127,0.1495,buy,-0.22
2004-12-17,9992151,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1492108,0.1493,buy,-0.24
2004-12-20,9994842,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1494799,0.1496,buy,-0.22
2004-12-21,9999382,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1499339,0.1499,buy,-0.17
2004-12-22,9994337,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1494294,0.1495,buy,-0.22
2004-12-23,9989462,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1489419,0.1491,buy,-0.27
2004-12-27,9977861,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1477818,0.1481,buy,-0.39
2004-12-28,9976684,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1476641,0.148,buy,-0.4
2004-12-29,9975172,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1475129,0.1479,buy,-0.41
2004-12-30,9985090,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1485047,0.1487,buy,-0.31
2004-12-31,9994456,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1494412,0.1495,buy,-0.22
2005-01-03,9997664,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1497621,0.1498,buy,-0.19
2005-01-04,9981969,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1481926,0.1485,buy,-0.35
2005-01-05,9989901,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1489858,0.1491,buy,-0.27
2005-01-06,9990912,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1490869,0.1492,buy,-0.26
2005-01-07,9994288,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1494245,0.1495,buy,-0.22
2005-01-10,9996651,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1496608,0.1497,buy,-0.2
2005-01-11,10005426,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1505383,0.1505,buy,-0.11
2005-01-12,10007452,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1507409,0.1506,buy,-0.09
2005-01-13,10021965,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1521922,0.1519,buy,0.0
2005-01-14,10021797,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1521754,0.1518,buy,-0.0
2005-01-18,10026859,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1526816,0.1523,buy,0.0
2005-01-19,10031248,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1531205,0.1526,buy,0.0
2005-01-20,10034286,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1534243,0.1529,buy,0.0
2005-01-21,10035973,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1535930,0.153,buy,0.0
2005-01-24,10042555,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1542512,0.1536,buy,0.0
2005-01-25,10028041,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1527998,0.1524,buy,-0.14
2005-01-26,10030909,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1530866,0.1526,buy,-0.12
2005-01-27,10028041,8500043,False,0,0.0,sell,0,0.0,sell,0,0.0,sell,1527998,0.1524,buy,-0.14
2005-01-28,10043398,8500043,False,0,0.0,buy,0,0.0,sell,0,0.0,sell,1543355,0.1537,buy,0.0
2005-01-31,10044124,5487066,False,3009314,0.2996,buy,0,0.0,sell,0,0.0,sell,1547744,0.1541,buy,0.0
2005-02-01,10060767,5487066,False,3028413,0.301,buy,0,0.0,sell,0,0.0,sell,1545288,0.1536,buy,0.0
2005-02-02,10073491,5487066,False,3037581,0.3015,buy,0,0.0,sell,0,0.0,sell,1548843,0.1538,buy,0.0
2005-02-03,10064752,5487066,False,3029689,0.301,buy,0,0.0,sell,0,0.0,sell,1547997,0.1538,buy,-0.09
2005-02-04,10118609,5487066,False,3062032,0.3026,buy,0,0.0,sell,0,0.0,sell,1569512,0.1551,buy,0.0
2005-02-07,10126223,5487066,False,3057958,0.302,buy,0,0.0,sell,0,0.0,sell,1581199,0.1561,buy,0.0
2005-02-08,10138768,5487066,False,3061523,0.302,buy,0,0.0,sell,0,0.0,sell,1590179,0.1568,buy,0.0
2005-02-09,10120082,5487066,False,3038601,0.3003,buy,0,0.0,sell,0,0.0,sell,1594415,0.1575,buy,-0.18
2005-02-10,10109517,5487066,False,3049551,0.3017,buy,0,0.0,sell,0,0.0,sell,1572900,0.1556,buy,-0.29
2005-02-11,10134735,5487066,False,3075785,0.3035,buy,0,0.0,sell,0,0.0,sell,1571883,0.1551,buy,-0.04
2005-02-14,10137354,5487066,False,3073493,0.3032,buy,0,0.0,sell,0,0.0,sell,1576796,0.1555,buy,-0.01
2005-02-15,10140855,5487066,False,3084954,0.3042,buy,0,0.0,sell,0,0.0,sell,1568835,0.1547,buy,0.0
2005-02-16,10136962,5487066,False,3086992,0.3045,buy,0,0.0,sell,0,0.0,sell,1562905,0.1542,buy,-0.04
2005-02-17,10102177,5487066,False,3062032,0.3031,buy,0,0.0,sell,0,0.0,sell,1553079,0.1537,buy,-0.38
2005-02-18,10092360,5487066,False,3066106,0.3038,buy,0,0.0,sell,0,0.0,sell,1539188,0.1525,buy,-0.48
2005-02-22,10039996,5487066,False,3020518,0.3008,buy,0,0.0,sell,0,0.0,sell,1532412,0.1526,buy,-0.99
2005-02-23,10066728,5487066,False,3042167,0.3022,buy,0,0.0,sell,0,0.0,sell,1537496,0.1527,buy,-0.73
2005-02-24,10083459,5487066,False,3062286,0.3037,buy,0,0.0,sell,0,0.0,sell,1534106,0.1521,buy,-0.57
2005-02-25,10121221,5487066,False,3092594,0.3056,buy,0,0.0,sell,0,0.0,sell,1541561,0.1523,buy,-0.19
2005-02-28,10084244,5487066,False,3072219,0.3047,buy,0,0.0,sell,0,0.0,sell,1524959,0.1512,buy,-0.56
2005-03-01,10099049,5487066,False,3087500,0.3057,buy,0,0.0,sell,0,0.0,sell,1524483,0.151,buy,-0.41
2005-03-02,10095482,5487066,False,3085973,0.3057,buy,0,0.0,sell,0,0.0,sell,1522444,0.1508,buy,-0.45
2005-03-03,10095904,5487066,False,3087245,0.3058,buy,0,0.0,sell,0,0.0,sell,1521594,0.1507,buy,-0.44
2005-03-04,10150846,5487066,False,3125702,0.3079,buy,0,0.0,sell,0,0.0,sell,1538078,0.1515,buy,0.0
2005-03-07,10158493,5487066,False,3127231,0.3078,buy,0,0.0,sell,0,0.0,sell,1544196,0.152,buy,0.0
2005-03-08,10132165,5487066,False,3115516,0.3075,buy,0,0.0,sell,0,0.0,sell,1529583,0.151,buy,-0.26
2005-03-09,10072544,5487066,False,3080878,0.3059,buy,0,0.0,sell,0,0.0,sell,1504601,0.1494,buy,-0.85
2005-03-10,10088600,5487066,False,3087756,0.3061,buy,0,0.0,sell,0,0.0,sell,1513778,0.15,buy,-0.69
2005-03-11,10055904,5487066,False,3066106,0.3049,buy,0,0.0,sell,0,0.0,sell,1502732,0.1494,buy,-1.01
