entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2005-09-20,2006-05-02,46.65956,65.403198,55719,1044377,0.4017,3,gld,2006-05-01,224
2004-12-10,2006-05-02,44.808273,44.44316,33475,-12222,-0.0081,3,tlt,2006-05-01,508
2005-05-26,2006-06-12,0.475039,0.40959,8531430,-558376,-0.1378,3,tqqq,2006-06-09,382
2006-09-29,2007-10-02,0.47175,0.788392,9021697,2856645,0.6712,3,tqqq,2007-10-01,368
2005-01-31,2008-01-16,80.251897,98.062588,25029,445784,0.2219,3,spy,2008-01-15,1080
2007-11-02,2008-01-17,0.886537,0.504621,6659783,-2543478,-0.4308,3,tqqq,2008-01-16,76
2006-06-02,2008-02-04,63.289298,88.244472,44124,1101122,0.3943,3,gld,2008-02-01,612
2008-05-07,2008-07-03,0.555779,0.414298,8727262,-1234742,-0.2546,3,tqqq,2008-07-02,57
2008-03-04,2008-08-12,97.571839,80.497778,32063,-547446,-0.175,3,gld,2008-08-11,161
2006-09-25,2008-12-02,49.01418,65.203664,32300,522920,0.3303,3,tlt,2008-12-01,799
2009-01-02,2009-01-05,86.18779,83.369143,32123,-90543,-0.0327,3,gld,2009-01-02,3
2009-01-05,2009-05-08,70.083853,57.919883,23705,-288347,-0.1736,3,tlt,2009-05-07,123
2009-06-04,2009-10-02,0.128492,0.172591,33858293,1493095,0.3432,3,tqqq,2009-10-01,120
2009-01-28,2009-11-03,88.534807,103.428778,30745,457915,0.1682,3,gld,2009-11-02,279
2009-11-03,2009-12-02,0.174435,0.216353,29174291,1222935,0.2403,3,tqqq,2009-12-01,29
2009-10-02,2009-12-28,62.49283,55.772456,30587,-205556,-0.1075,3,tlt,2009-12-24,87
2009-07-27,2010-07-01,72.914904,77.844403,32241,158932,0.0676,3,spy,2010-06-30,339
2010-05-20,2010-12-16,62.488958,59.094065,32625,-110758,-0.0543,3,tlt,2010-12-15,210
2010-01-05,2011-02-02,0.25216,0.415519,21856863,3570504,0.6478,3,tqqq,2011-02-01,393
2010-08-06,2011-08-05,84.83452,93.732427,31818,283114,0.1049,3,spy,2011-08-04,364
2011-03-02,2011-08-09,0.412834,0.288113,17814678,-2221860,-0.3021,3,tqqq,2011-08-08,160
2009-12-02,2011-09-02,119.156403,182.271547,29503,1862086,0.5297,3,gld,2011-09-01,639
2011-06-02,2011-09-02,64.434411,74.66339,43509,445053,0.1588,3,tlt,2011-09-01,92
2011-10-17,2012-04-03,0.390699,0.613639,17891894,3988818,0.5706,3,tqqq,2012-04-02,169
2011-10-04,2012-05-15,161.432847,150.706524,27335,-293204,-0.0664,3,gld,2012-05-14,224
2012-05-02,2013-02-04,0.564736,0.560862,15477257,-59956,-0.0069,3,tqqq,2013-02-01,278
2012-09-07,2013-02-04,168.273314,160.706432,33835,-256025,-0.045,3,gld,2013-02-01,150
2013-02-11,2013-04-02,0.583182,0.600309,14864655,254577,0.0294,3,tqqq,2013-04-01,50
2013-03-04,2013-04-04,152.907347,149.201044,35030,-129832,-0.0242,3,gld,2013-04-03,31
2013-04-25,2013-06-04,0.620871,0.723502,14249842,1462474,0.1653,3,tqqq,2013-06-03,40
2011-10-04,2013-06-21,84.078404,77.327107,31490,-212598,-0.0803,3,tlt,2013-06-20,626
2013-07-01,2013-11-04,0.677903,1.034707,13806180,4926099,0.5263,3,tqqq,2013-11-01,126
2013-12-03,2014-09-03,1.126582,1.79161,10261998,6824520,0.5903,3,tqqq,2014-09-02,274
2014-10-02,2014-11-04,1.64104,1.826106,8915241,1649906,0.1128,3,tqqq,2014-11-03,33
