entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2004-12-10,2005-01-31,44.629977,45.723395,1011,1105,0.0245,0.0,3,tlt,rebalance,52
2005-01-31,2005-05-26,80.033316,81.112945,49,53,0.0135,0.0,3,spy,rebalance,115
2004-12-10,2005-05-26,44.629977,47.524172,1182,3421,0.0648,0.0,3,tlt,rebalance,167
2005-05-26,2005-09-20,0.475039,0.498446,130329,3051,0.0493,0.0,3,tqqq,rebalance,117
2005-01-31,2005-09-20,80.033316,84.115184,503,2053,0.051,0.0,3,spy,rebalance,232
2005-05-26,2005-12-02,0.475039,0.592284,636292,74602,0.2468,0.0,3,tqqq,rebalance,190
2005-09-20,2006-04-04,46.675765,58.264679,5469,63380,0.2483,0.0,3,gld,rebalance,196
2005-01-31,2006-04-04,80.365218,89.39717,347,3134,0.1124,0.0,3,spy,rebalance,428
2005-09-20,2006-05-02,46.675765,65.403198,3960,74161,0.4012,0.0,3,gld,rebalance,224
2005-01-31,2006-05-02,80.365218,90.279207,130,1289,0.1234,0.0,3,spy,rebalance,456
2004-12-10,2006-05-02,44.961796,44.266269,50222,-34931,-0.0155,0.0,3,tlt,signal,508
2005-05-26,2006-06-12,0.485479,0.40959,6446239,-489199,-0.1563,0.0,3,tqqq,signal,382
2005-01-31,2006-09-25,80.365218,91.5776,3963,44435,0.1395,0.0,3,spy,rebalance,602
2005-09-20,2006-09-29,46.859712,59.34144,496,6191,0.2664,0.0,3,gld,rebalance,374
2005-01-31,2006-09-29,80.365218,93.016664,294,3720,0.1574,0.0,3,spy,rebalance,606
2006-09-29,2007-05-02,0.47175,0.599085,629973,80218,0.2699,0.0,3,tqqq,rebalance,215
2006-09-29,2007-09-05,0.47175,0.690429,605469,132404,0.4635,0.0,3,tqqq,rebalance,341
2005-09-20,2007-11-02,48.241824,78.314353,1357,40808,0.6234,0.0,3,gld,rebalance,773
2006-09-29,2007-11-02,0.47175,0.881233,537871,220249,0.868,0.0,3,tqqq,rebalance,399
2005-09-20,2007-11-27,48.241824,80.457897,4490,144650,0.6678,0.0,3,gld,rebalance,798
2005-01-31,2007-11-27,84.219762,100.381181,650,10505,0.1919,0.0,3,spy,rebalance,1030
2006-09-25,2007-11-27,49.173455,54.149181,7191,35780,0.1012,0.0,3,tlt,rebalance,428
2005-01-31,2008-01-16,84.219762,97.795546,39455,535633,0.1612,0.0,3,spy,signal,1080
2006-09-29,2008-01-17,0.50684,0.504621,6259108,-13891,-0.0044,0.0,3,tqqq,signal,475
2005-09-20,2008-02-04,48.241824,88.244472,4289,171571,0.8292,0.0,3,gld,rebalance,867
2006-09-25,2008-02-04,49.173455,54.445192,2549,13438,0.1072,0.0,3,tlt,rebalance,497
2005-09-20,2008-07-02,48.966385,92.003159,3098,133328,0.8789,0.0,3,gld,rebalance,1016
2006-09-25,2008-07-02,49.260828,54.049572,2832,13562,0.0972,0.0,3,tlt,rebalance,646
2008-05-07,2008-07-03,0.53709,0.414298,8049620,-988423,-0.2286,0.0,3,tqqq,signal,57
2005-09-20,2008-08-12,48.966385,80.497778,25511,804397,0.6439,0.0,3,gld,signal,1057
2006-09-25,2008-12-02,49.260828,64.944153,7828,122769,0.3184,0.0,3,tlt,rebalance,799
2006-09-25,2009-01-02,49.260828,72.058443,2414,55033,0.4628,0.0,3,tlt,rebalance,830
2009-01-02,2009-03-03,86.18779,90.577448,1856,8147,0.0509,0.0,3,gld,rebalance,60
2006-09-25,2009-05-08,50.762677,57.689356,37921,262667,0.1365,0.0,3,tlt,signal,956
2009-01-02,2009-06-04,86.18779,94.954278,1140,9994,0.1017,0.0,3,gld,rebalance,153
2009-06-04,2009-07-27,0.128492,0.158203,3305556,98210,0.2312,0.0,3,tqqq,rebalance,53
2009-06-04,2009-10-02,0.128492,0.172591,1577314,69557,0.3432,0.0,3,tqqq,rebalance,120
2009-01-02,2009-12-02,86.935788,118.443603,1803,56809,0.3624,0.0,3,gld,rebalance,334
2009-06-04,2009-12-02,0.128492,0.216353,1748024,153583,0.6838,0.0,3,tqqq,rebalance,181
2009-10-02,2009-12-28,61.84285,55.550533,50180,-315748,-0.1017,0.0,3,tlt,signal,87
2009-06-04,2010-01-05,0.128492,0.250652,2493090,304555,0.9507,0.0,3,tqqq,rebalance,215
2009-01-02,2010-02-02,89.122487,108.832524,1710,33704,0.2212,0.0,3,gld,rebalance,396
2009-07-27,2010-02-02,73.221622,81.505857,2058,17049,0.1131,0.0,3,spy,rebalance,190
2009-06-04,2010-03-24,0.138595,0.27503,3718432,507327,0.9844,0.0,3,tqqq,rebalance,293
2009-01-02,2010-05-20,91.328779,115.791579,3440,84152,0.2679,0.0,3,gld,rebalance,503
2009-07-27,2010-07-01,73.98864,77.632361,55305,201516,0.0492,0.0,3,spy,signal,339
2009-01-02,2010-07-02,91.328779,117.855369,2190,58093,0.2905,0.0,3,gld,rebalance,546
2010-05-20,2010-07-02,62.240266,64.302419,5875,12115,0.0331,0.0,3,tlt,rebalance,43
2009-06-04,2010-08-03,0.153877,0.234445,3898623,314102,0.5236,0.0,3,tqqq,rebalance,425
2009-06-04,2010-08-06,0.153877,0.229216,102412,7716,0.4896,0.0,3,tqqq,rebalance,428
2009-01-02,2010-08-06,93.460614,117.636028,150,3626,0.2587,0.0,3,gld,rebalance,581
2009-01-02,2010-09-02,93.460614,122.012857,1738,49624,0.3055,0.0,3,gld,rebalance,608
2010-05-20,2010-09-02,62.387666,67.319642,4680,23082,0.0791,0.0,3,tlt,rebalance,105
