Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,tqqq_value,tqqq_weight,tqqq_signal,tqqq_shares,tqqq_avg_price,tqqq_realized_pnl,tqqq_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,spy_current_price,spy_return_pct,spy_contribution,tqqq_current_price,tqqq_return_pct,tqqq_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2010-01-21,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2010-01-22,9990563,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1998399,0.2,buy,18647,107.25079,0,-1507,1992054,0.1994,buy,34642,57.732946,0,-7931,-0.09,0.0,0.0,0,0.0,0.0,0,107.169998,-0.0753299812523367,-1507,57.504013,-0.39653752609972726,-7931,-9437.218308389187,-0.09437218308389188
2010-01-25,9987249,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2004180,0.2007,buy,18647,107.25079,0,4274,1982960,0.1985,buy,34642,57.732946,0,-17025,-0.13,0.0,0.0,0,0.0,0.0,0,107.480003,0.21371684068713925,4274,57.241486,-0.8512640195861176,-17025,-12751.01540738903,-0.1275101540738903
2010-01-26,9989391,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2005671,0.2008,buy,18647,107.25079,0,5766,1983610,0.1986,buy,34642,57.732946,0,-16375,-0.11,0.0,0.0,0,0.0,0.0,0,107.559998,0.2883037038701408,5766,57.260265,-0.8187366649857197,-16375,-10608.806524388492,-0.10608806524388492
2010-01-27,9969101,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1986465,0.1993,buy,18647,107.25079,0,-13441,1982526,0.1989,buy,34642,57.732946,0,-17459,-0.31,0.0,0.0,0,0.0,0.0,0,106.529999,-0.6720612500849543,-13441,57.22897,-0.8729431489422512,-17459,-30899.319267388433,-0.30899319267388436
2010-01-28,9967086,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1985533,0.1992,buy,18647,107.25079,0,-14373,1981444,0.1988,buy,34642,57.732946,0,-18541,-0.33,0.0,0.0,0,0.0,0.0,0,106.480003,-0.7186772237295358,-14373,57.197735,-0.927045706104157,-18541,-32913.637549389154,-0.3291363754938915
2010-01-29,9974714,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1975836,0.1981,buy,18647,107.25079,0,-24069,1998768,0.2004,buy,34642,57.732946,0,-1217,-0.25,0.0,0.0,0,0.0,0.0,0,105.959999,-1.2035258668024684,-24069,57.697819,-0.060843586822534323,-1217,-25286.242209389806,-0.25286242209389803
2010-02-01,10001135,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2020402,0.202,buy,18647,107.25079,0,20497,1980623,0.198,buy,34642,57.732946,0,-19362,0.0,0.0,0.0,0,0.0,0.0,0,108.349998,1.0248950147593305,20497,57.17403,-0.9681054505422337,-19362,1134.9706056118011,0.01134970605611801
2010-02-02,10021329,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2034947,0.2031,buy,18647,107.25079,0,35042,1986272,0.1982,buy,34642,57.732946,0,-13713,0.0,0.0,0.0,0,0.0,0.0,0,109.129997,1.7521614526102791,35042,57.337097,-0.6856549402581735,-13713,21328.578972611576,0.21328578972611575
2010-02-03,9990279,6000110,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,2026929,0.2029,buy,18647,107.25079,0,27023,1963240,0.1965,buy,34642,57.732946,0,-36745,-0.31,0.0,0.0,0,0.0,0.0,0,108.699997,1.3512320049111182,27023,56.672249,-1.8372469659981405,-36745,-9721.295443389565,-0.09721295443389565
