date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2010-02-18,spy,0,36235,0.0,30.08,0,3006986,36235,3006986,daily
2010-02-18,tqqq,0,0,0.0,0.0,0,0,0,0,daily
2010-02-18,gld,18647,18268,20.42,20.1,2037184,2009114,-379,-28070,daily
2010-02-18,tlt,34642,35612,19.45,19.88,1941074,1987384,970,46310,daily
2010-02-18,cash,0,0,60.13,29.94,6000110,2993497,0,-3006613,daily
2010-05-14,spy,36235,36002,30.19,29.89,3157664,3080558,-233,-77106,daily
2010-05-14,tqqq,0,12120970,0.0,29.2,0,3009285,12120970,3009285,daily
2010-05-14,gld,18268,17358,21.06,20.27,2202390,2089382,-910,-113008,daily
2010-05-14,tlt,35612,35390,20.13,20.65,2104917,2128131,-222,23214,daily
2010-05-14,cash,0,0,28.62,0.0,2993497,0,0,-2993497,daily
2010-06-02,spy,36002,36522,29.57,30.0,2908529,3027368,520,118839,monthly
2010-06-02,tqqq,12120970,13387474,27.11,31.24,2666795,3152723,1266504,485928,monthly
2010-06-02,gld,17358,16399,21.16,19.46,2081397,1964272,-959,-117125,monthly
2010-06-02,tlt,35390,31936,22.16,19.3,2179683,1948264,-3454,-231419,monthly
2010-06-02,cash,0,0,0.0,0.0,0,37,0,37,monthly
2010-07-01,spy,36522,0,30.39,0.0,2845751,0,-36522,-2845751,
2010-07-01,tqqq,13387474,13387474,26.24,26.29,2457364,2433414,0,-23950,
2010-07-01,gld,16399,16399,21.31,20.73,1995430,1919338,0,-76092,
2010-07-01,tlt,31936,31936,22.07,22.36,2066462,2069723,0,3261,
2010-07-01,cash,0,0,0.0,30.63,37,2835327,0,2835290,
2010-07-02,spy,0,0,0.0,0.0,0,0,0,0,monthly
2010-07-02,tqqq,13387474,15269048,26.29,29.85,2433414,2760246,1881574,326832,monthly
2010-07-02,gld,16399,15824,20.73,20.28,1919338,1874985,-575,-44353,monthly
2010-07-02,tlt,31936,28544,22.36,19.84,2069723,1835144,-3392,-234579,monthly
