Date,Open,High,Low,Close,Volume,open_pct,high_pct,low_pct,close_pct
2010-01-21,57.222776,57.747811,57.16652,57.604053,4363100,,,,
2010-01-22,57.560284,57.697794,57.36027,57.504032,3666900,-0.08,0.16,-0.42,-0.17
2010-01-25,57.216499,57.454013,57.185244,57.241501,2419500,-0.5,-0.09,-0.55,-0.46
2010-01-26,57.516516,57.572772,57.072735,57.26025,3138100,0.48,0.58,-0.29,0.03
2010-01-27,57.347756,57.560269,57.110241,57.228996,3325700,0.15,0.52,-0.26,-0.05
2010-01-28,56.960284,57.316559,56.916531,57.197803,3058200,-0.47,0.15,-0.55,-0.05
2010-01-29,57.135275,57.729065,57.035266,57.697811,4930600,-0.11,0.93,-0.28,0.87
2010-02-01,57.525309,57.537857,57.111325,57.174049,3598500,-0.3,-0.28,-1.02,-0.91
2010-02-02,57.192858,57.362214,57.105043,57.337128,3047500,0.03,0.33,-0.12,0.29
2010-02-03,56.960773,57.061135,56.622056,56.672237,5343700,-0.66,-0.48,-1.25,-1.16
2010-02-04,57.073684,57.594305,57.017234,57.569214,6095000,0.71,1.63,0.61,1.58
2010-02-05,57.312066,57.970679,57.211704,57.694691,6875800,-0.45,0.7,-0.62,0.22
2010-02-08,57.625636,57.801266,57.48764,57.769901,3386000,-0.12,0.18,-0.36,0.13
2010-02-09,57.544112,57.845195,57.167761,57.192852,4790000,-0.39,0.13,-1.04,-1.0
2010-02-10,57.280659,57.456289,56.578135,56.647133,5068000,0.15,0.46,-1.07,-0.95
2010-02-11,56.578152,56.628333,56.063805,56.339798,5087500,-0.12,-0.03,-1.03,-0.54
2010-02-12,56.647148,56.716146,56.421336,56.57188,2833800,0.55,0.67,0.14,0.41
2010-02-16,56.283345,56.728694,56.283345,56.678513,2440900,-0.51,0.28,-0.51,0.19
2010-02-17,56.402536,56.509168,55.875646,56.032459,4368200,-0.49,-0.3,-1.42,-1.14
2010-02-18,56.113997,56.139087,55.518109,55.806644,5121800,0.15,0.19,-0.92,-0.4
2010-02-19,55.975967,56.145327,55.762703,56.107689,3502500,0.3,0.61,-0.08,0.54
2010-02-22,55.900724,56.026172,55.775271,55.875633,3382600,-0.37,-0.15,-0.59,-0.41
2010-02-23,56.0387,56.791405,56.013614,56.747498,5474500,0.29,1.64,0.25,1.56
2010-02-24,56.797668,57.004657,56.565583,56.885483,4423200,0.09,0.45,-0.32,0.24
2010-02-25,57.192844,57.261842,57.017214,57.205387,3707700,0.54,0.66,0.23,0.56
2010-02-26,57.368457,57.744807,57.337097,57.500179,4349100,0.29,0.94,0.23,0.52
2010-03-01,57.468774,57.594621,57.235953,57.475063,2415200,-0.05,0.16,-0.46,-0.04
2010-03-02,57.185606,57.437304,57.072342,57.399551,2260600,-0.5,-0.07,-0.7,-0.13
2010-03-03,57.267406,57.311452,57.072337,57.254818,2156100,-0.23,-0.15,-0.57,-0.25
2010-03-04,57.235928,57.688983,57.154128,57.556843,2374700,-0.03,0.76,-0.18,0.53
2010-03-05,57.15416,57.17933,56.707398,56.801781,3823200,-0.7,-0.66,-1.48,-1.31
2010-03-08,56.568916,56.612963,56.443065,56.505993,2850400,-0.41,-0.33,-0.63,-0.52
2010-03-09,56.619255,56.631838,56.254293,56.518574,2573700,0.2,0.22,-0.45,0.02
2010-03-10,56.310967,56.443107,56.122197,56.37389,3216200,-0.37,-0.13,-0.7,-0.26
2010-03-11,56.248033,56.719966,56.235451,56.581532,2621000,-0.22,0.61,-0.25,0.37
2010-03-12,56.48714,57.040877,56.461974,56.933907,3099100,-0.17,0.81,-0.21,0.62
2010-03-15,56.852093,56.927604,56.663323,56.858387,1936800,-0.14,-0.01,-0.48,-0.13
2010-03-16,56.984234,57.317732,56.971652,57.311443,3932600,0.22,0.81,0.2,0.8
2010-03-17,57.456162,57.556843,57.305145,57.556843,3481200,0.25,0.43,-0.01,0.43
2010-03-18,57.525349,57.563107,57.267362,57.368038,2750300,-0.05,0.01,-0.5,-0.33
2010-03-19,57.424702,57.626059,57.179297,57.424702,2976300,0.1,0.45,-0.33,0.1
2010-03-22,57.481335,57.569429,57.399535,57.487629,2452300,0.1,0.25,-0.04,0.11
2010-03-23,57.305135,57.462445,57.204458,57.217041,2910000,-0.32,-0.04,-0.49,-0.47
2010-03-24,56.531157,56.789149,56.040349,56.172489,8049300,-1.2,-0.75,-2.06,-1.83
2010-03-25,56.084368,56.153585,55.606147,55.813793,8268400,-0.16,-0.03,-1.01,-0.64
2010-03-26,55.713166,56.078128,55.681702,55.971153,4110700,-0.18,0.47,-0.24,0.28
2010-03-29,55.864157,55.908204,55.568412,55.757187,3245100,-0.19,-0.11,-0.72,-0.38
2010-03-30,55.700543,55.971118,55.543233,55.933365,3254600,-0.1,0.38,-0.38,0.32
2010-03-31,56.141009,56.329779,55.971111,56.317196,4263900,0.37,0.71,0.07,0.69
2010-04-01,56.06588,56.230093,55.851143,56.179565,2912400,-0.45,-0.15,-0.83,-0.24
2010-04-05,55.566903,55.667954,55.206899,55.244793,5652000,-1.09,-0.91,-1.73,-1.66
2010-04-06,55.45324,55.484816,55.169023,55.333237,3584600,0.38,0.43,-0.14,0.16
2010-04-07,55.232215,56.160648,55.137481,56.040649,6389900,-0.18,1.5,-0.35,1.28
2010-04-08,56.14166,56.29324,55.882713,56.065868,3797600,0.18,0.45,-0.28,0.05
2010-04-09,55.964783,56.248994,55.838468,56.198471,2311300,-0.18,0.33,-0.41,0.24
2010-04-12,56.318491,56.564809,56.267963,56.495335,2939600,0.21,0.65,0.12,0.53
2010-04-13,56.773202,56.811095,56.539513,56.678463,3090900,0.49,0.56,0.08,0.32
2010-04-14,56.691133,56.760608,56.280602,56.280602,3570100,0.02,0.14,-0.7,-0.7
