entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2010-01-22,2010-02-18,107.25079,109.281171,379,770,0.0189,0.0,0,gld,rebalance,18647,18268,41417.56380786299,27
2010-01-22,2010-05-14,107.25079,121.514357,910,12980,0.133,0.0,0,gld,rebalance,18268,17358,110578.06487819001,112
2010-02-18,2010-05-14,82.611753,86.230953,233,843,0.0438,0.0,3,spy,rebalance,36235,36002,20091.811985624,85
2010-01-22,2010-05-14,57.693421,59.473059,222,395,0.0308,0.0,0,tlt,rebalance,35612,35390,13203.01908801,112
2010-01-22,2010-06-02,57.693421,61.494324,3454,13128,0.0659,0.0,0,tlt,rebalance,35390,31936,212401.394798956,131
2010-01-22,2010-06-02,107.25079,118.991948,959,11260,0.1095,0.0,0,gld,rebalance,17358,16399,114113.278137754,131
2010-02-18,2010-07-01,82.595138,77.632392,36522,-181249,-0.0601,0.0,3,spy,signal,36522,0,2835290.22171966,133
2010-01-22,2010-07-02,57.693421,64.302404,3392,22418,0.1146,0.0,0,tlt,rebalance,31936,28544,218113.75546700798,161
2010-01-22,2010-07-02,107.25079,117.855369,575,6098,0.0989,0.0,0,gld,rebalance,16399,15824,67766.83717672499,161
2010-05-14,2010-08-03,0.246605,0.234445,2539271,-30879,-0.0493,0.0,3,tqqq,rebalance,15269048,12729777,595318.24692305,81
2010-05-14,2010-08-06,0.246605,0.229216,66636,-1159,-0.0705,0.0,3,tqqq,rebalance,12729777,12663141,15274.056167351999,84
2010-01-22,2010-08-06,108.022367,117.636028,97,933,0.089,0.0,0,gld,rebalance,17312,17215,11410.694716582,196
2010-01-22,2010-09-02,58.302954,67.319604,3044,27447,0.1547,0.0,0,tlt,rebalance,31775,28731,204920.87605842802,223
2010-01-22,2010-09-02,108.022367,122.012857,1131,15823,0.1295,0.0,0,gld,rebalance,17215,16084,137996.541277179,223
2010-05-14,2010-09-27,0.242241,0.280556,2403532,92091,0.1582,0.0,3,tqqq,rebalance,14256810,11853278,674324.8430856,136
2010-05-14,2010-12-02,0.242241,0.340937,1308663,129160,0.4074,0.0,3,tqqq,rebalance,11853278,10544615,446171.78249259305,202
2010-05-14,2011-02-02,0.242241,0.415519,1319392,228621,0.7153,0.0,3,tqqq,rebalance,10544615,9225223,548232.039394656,264
2010-08-06,2011-02-02,84.951446,99.185451,282,4014,0.1676,0.0,3,spy,rebalance,39078,38796,27970.297264062,180
2010-01-22,2011-08-02,59.872185,66.042046,1951,12037,0.1031,0.0,0,tlt,rebalance,43633,41682,128848.031152896,557
2010-01-22,2011-08-02,112.032284,158.852012,2316,108434,0.4179,0.0,0,gld,rebalance,19723,17407,367901.259778104,557
2010-08-06,2011-08-05,85.848058,93.47716,41500,316608,0.0889,0.0,3,spy,signal,41500,0,3879302.1273425003,364
2010-05-14,2011-08-09,0.25206,0.288113,9778172,352536,0.143,0.0,3,tqqq,signal,9778172,0,2817219.0561263203,452
2010-01-22,2011-08-19,59.872185,73.650045,6757,93097,0.2301,0.0,0,tlt,rebalance,41682,34925,497653.35420014005,574
2010-01-22,2011-08-19,112.032284,181.095079,2880,198901,0.6165,0.0,0,gld,rebalance,17407,14527,521553.82752864,574
2010-01-22,2011-10-04,59.872185,83.242834,3741,87430,0.3903,0.0,0,tlt,rebalance,34925,31184,311411.442210978,620
2010-01-22,2011-10-17,116.842193,163.508,439,20486,0.3994,0.0,0,gld,rebalance,16094,15655,71780.012,633
2010-01-22,2011-11-28,61.017111,79.606358,4106,76327,0.3047,0.0,0,tlt,rebalance,33423,29317,326863.707229072,675
2010-01-22,2011-11-28,116.842193,166.429203,1005,49835,0.4244,0.0,0,gld,rebalance,15655,14650,167261.349036105,675
2011-10-17,2011-12-02,0.375159,0.364625,1430123,-15065,-0.0281,0.0,3,tqqq,rebalance,12213425,10783302,521458.361474582,46
2011-10-17,2012-01-09,0.375159,0.376122,517454,499,0.0026,0.0,3,tqqq,rebalance,10783302,10265848,194625.956542052,84
2010-01-22,2012-01-09,62.638477,79.95199,383,6631,0.2764,0.0,0,tlt,rebalance,32236,31853,30621.612283368,717
2011-10-17,2012-02-29,0.375159,0.521913,1729307,253783,0.3912,0.0,3,tqqq,rebalance,10265848,8536541,902547.027832157,135
2011-10-17,2012-04-03,0.375159,0.613639,960114,228968,0.6357,0.0,3,tqqq,rebalance,8536541,7576427,589162.95799413,169
2010-01-22,2012-05-18,66.131083,83.999971,7436,132873,0.2702,0.0,0,tlt,rebalance,40310,32874,624623.782965468,847
2010-01-22,2012-05-18,127.722123,153.996627,677,17788,0.2057,0.0,0,gld,rebalance,18983,18306,104255.71646478299,847
2012-01-09,2012-05-18,100.648688,102.466747,859,1562,0.0181,0.0,3,spy,rebalance,41832,40973,88018.935487456,130
2011-10-17,2012-09-05,0.38984,0.584649,1248181,243157,0.4997,0.0,3,tqqq,rebalance,9387111,8138930,729747.4938764562,324
2012-01-09,2013-03-04,101.186669,120.467481,4090,78859,0.1905,0.0,3,spy,rebalance,43156,39066,492711.99764583,420
2011-10-17,2013-05-02,0.395284,0.640349,647809,158756,0.62,0.0,3,tqqq,rebalance,8409306,7761497,414823.95676414797,563
2011-10-17,2013-07-02,0.395284,0.671568,588687,162645,0.699,0.0,3,tqqq,rebalance,7761497,7172810,395343.488380071,624
2012-01-09,2013-07-02,101.292449,129.146086,1957,54510,0.275,0.0,3,spy,rebalance,39225,37268,252738.89016501,540
2011-10-17,2013-08-02,0.395284,0.815079,776014,325767,1.062,0.0,3,tqqq,rebalance,7172810,6396796,632513.028615656,655
2011-10-17,2013-11-04,0.395284,1.034707,832275,532176,1.6176,0.0,3,tqqq,rebalance,6396796,5564521,861160.3855785,749
2011-10-17,2014-01-03,0.395284,1.201112,617975,497982,2.0386,0.0,3,tqqq,rebalance,5564521,4946546,742257.0782004499,809
2010-01-22,2014-02-04,70.80386,77.52974,5056,34006,0.095,0.0,0,tlt,rebalance,54435,49379,391990.365000128,1474
2010-01-22,2014-02-04,129.533754,120.048774,1756,-16656,-0.0732,0.0,0,gld,rebalance,33655,31899,210805.647122928,1474
2011-10-17,2014-03-04,0.451388,1.344127,484630,432648,1.9778,0.0,3,tqqq,rebalance,5377493,4892863,651404.5025709199,869
2011-10-17,2014-08-04,0.451388,1.520202,404625,432469,2.3678,0.0,3,tqqq,rebalance,4892863,4488238,615111.601533,1022
2011-10-17,2014-09-03,0.451388,1.79161,426280,571310,2.9691,0.0,3,tqqq,rebalance,4488238,4061958,763727.50952116,1052
2010-01-22,2015-02-03,72.059379,99.745,6552,181396,0.3842,0.0,0,tlt,rebalance,56730,50178,653529.23734644,1838
2011-10-17,2015-03-03,0.475252,2.246584,582778,1032293,3.7271,0.0,3,tqqq,rebalance,4131363,3548585,1309259.711703104,1233
2011-10-17,2015-08-25,0.475252,1.774839,3548585,4611695,2.7345,0.0,3,tqqq,signal,3548585,0,6298168.6851641005,1408
2012-01-09,2015-08-25,111.284585,162.866745,46037,2374688,0.4635,0.0,3,spy,signal,46037,0,7497896.319078536,1324
2010-01-22,2015-10-02,74.842369,93.918487,5485,104633,0.2549,0.0,0,tlt,rebalance,57449,51964,515142.89971405,2079
2010-01-22,2015-10-02,126.905617,108.214381,1369,-25588,-0.1473,0.0,0,gld,rebalance,46548,45179,148145.487584893,2079
2010-01-22,2015-10-28,126.905617,112.34196,1560,-22719,-0.1148,0.0,0,gld,rebalance,45179,43619,175253.4576,2105
2015-10-28,2015-11-03,2.384817,2.438569,93660,5034,0.0225,0.0,3,tqqq,rebalance,3063271,2969611,228396.39867114002,6
2015-11-03,2016-01-11,176.95224,162.648439,41312,-590919,-0.0808,0.0,3,spy,signal,41312,0,6719332.3301865915,69
2015-10-28,2016-01-14,2.384817,1.713563,2969611,-1993364,-0.2815,0.0,3,tqqq,signal,2969611,0,5088615.067764074,78
2010-01-22,2016-02-02,75.231624,96.592459,7690,164265,0.2839,0.0,0,tlt,rebalance,53163,45473,742796.00721844,2202
2010-01-22,2016-02-02,126.375167,107.596238,4644,-87209,-0.1486,0.0,0,gld,rebalance,44886,40242,499676.92929986404,2202
2010-01-22,2016-04-04,75.231624,99.012552,590,14031,0.3161,0.0,0,tlt,rebalance,45473,44883,58417.40541509,2264
2010-01-22,2016-04-04,126.375167,116.319988,2165,-21769,-0.0796,0.0,0,gld,rebalance,40242,38077,251832.77403299,2264
2010-01-22,2016-04-05,75.231624,99.936142,160,3953,0.3284,0.0,0,tlt,rebalance,44883,44723,15989.78279056,2265
2016-04-05,2016-10-04,2.037089,2.562313,344129,180745,0.2578,0.0,3,tqqq,rebalance,3269528,2925399,881766.1866320991,182
2016-04-05,2017-02-02,2.037089,2.961106,356312,329238,0.4536,0.0,3,tqqq,rebalance,2925399,2569087,1055077.583969024,303
2016-04-04,2017-02-02,176.785736,195.933123,1216,23283,0.1083,0.0,3,spy,rebalance,40280,39064,238254.677479232,304
2016-04-05,2017-05-02,2.037089,3.895127,360622,670050,0.9121,0.0,3,tqqq,rebalance,2569087,2208465,1404668.653437632,392
2016-04-05,2017-11-02,2.037089,5.131764,321220,994072,1.5192,0.0,3,tqqq,rebalance,2208465,1887245,1648425.35478604,576
2016-04-05,2018-01-29,2.037089,7.17511,319129,1639691,2.5222,0.0,3,tqqq,rebalance,1887245,1568116,2289785.6472771,664
2010-01-22,2018-04-03,84.392095,96.497233,8561,103632,0.1434,0.0,0,tlt,rebalance,77428,68867,826112.8135279319,2993
2010-01-22,2018-04-03,124.806661,126.160381,6615,8955,0.0108,0.0,0,gld,rebalance,59207,52592,834550.920295155,2993
2016-04-04,2018-04-03,183.468228,228.074803,913,40726,0.2431,0.0,3,spy,rebalance,45087,44174,208232.294903446,729
2016-04-05,2018-06-04,2.643122,7.008136,318643,1390881,1.6515,0.0,3,tqqq,rebalance,1915791,1597148,2233093.583962904,790
2016-04-05,2018-09-05,2.643122,8.447838,199682,1159097,2.1962,0.0,3,tqqq,rebalance,1597148,1397466,1686881.232644132,883
2010-01-22,2018-10-25,86.374792,92.311965,6824,40515,0.0687,0.0,0,tlt,rebalance,82148,75324,629936.847781552,3198
2010-01-22,2018-10-25,123.082689,116.230262,10463,-71697,-0.0557,0.0,0,gld,rebalance,70360,59897,1216117.2312432218,3198
2016-04-04,2018-10-25,186.404764,237.701426,2032,104235,0.2752,0.0,3,spy,rebalance,46374,44342,483009.29757510393,934
2016-04-05,2018-11-21,3.386821,5.23885,1778350,3293556,0.5468,0.0,3,tqqq,signal,1778350,0,9316509.1784793,960
2016-04-04,2018-12-18,186.404764,228.651398,44342,1873300,0.2266,0.0,3,spy,signal,44342,0,10138860.279119184,988
2010-01-22,2019-02-22,86.374792,98.818566,5596,69635,0.1441,0.0,0,tlt,rebalance,75324,69728,552988.696779768,3318
2010-01-22,2019-02-22,123.082689,125.153409,4917,10182,0.0168,0.0,0,gld,rebalance,59897,54980,615379.3120677511,3318
2019-02-22,2019-02-28,250.180788,249.444222,77,-57,-0.0029,0.0,3,spy,rebalance,41218,41141,19207.205061814002,6
2019-02-28,2019-05-02,6.102145,7.788848,239105,403299,0.2764,0.0,3,tqqq,rebalance,1688289,1449184,1862352.535710225,63
2010-01-22,2019-06-04,87.298659,107.796609,10568,216622,0.2348,0.0,0,tlt,rebalance,74184,63616,1139194.564799712,3420
2010-01-22,2019-06-04,122.716516,124.505357,7235,12942,0.0146,0.0,0,gld,rebalance,62718,55483,900796.2579601151,3420
2019-02-22,2019-06-04,250.778987,248.890489,940,-1775,-0.0075,0.0,3,spy,rebalance,43069,42129,233957.05945226,102
2019-02-28,2019-07-02,6.038547,7.647017,295250,474901,0.2664,0.0,3,tqqq,rebalance,1841048,1545798,2257781.74533475,124
2010-01-22,2019-09-04,90.056903,120.906909,6629,204505,0.3426,0.0,0,tlt,rebalance,72579,65950,801491.898680473,3512
2010-01-22,2019-09-04,123.469989,145.103373,5439,117664,0.1752,0.0,0,gld,rebalance,60585,55146,789217.245861219,3512
2019-02-28,2019-11-04,6.155629,8.654142,197123,492515,0.4059,0.0,3,tqqq,rebalance,1712732,1515609,1705930.522368473,249
2019-02-28,2020-01-03,6.155629,10.407566,220288,936651,0.6907,0.0,3,tqqq,rebalance,1515609,1295321,2292661.9763290877,309
2010-01-22,2020-03-03,95.227578,128.182247,8916,293824,0.3461,0.0,0,tlt,rebalance,82645,73729,1142872.915562652,3693
2010-01-22,2020-03-03,126.807777,150.387476,1918,45226,0.1859,0.0,0,gld,rebalance,65550,63632,288443.178991016,3693
2010-01-22,2020-03-10,95.227578,141.374682,13580,626678,0.4846,0.0,0,tlt,rebalance,73729,60149,1919868.17821932,3700
2010-01-22,2020-03-10,126.807777,155.711453,9024,260827,0.2279,0.0,0,gld,rebalance,63632,54608,1405140.1520615038,3700
2019-02-22,2020-03-10,255.296523,259.342909,50391,203901,0.0158,0.0,3,spy,signal,50391,0,13068548.535632733,382
2019-02-28,2020-03-13,6.746541,6.228562,1727422,-894769,-0.0768,0.0,3,tqqq,signal,1727422,0,10759355.179177135,379
2010-01-22,2020-04-20,95.227578,140.577408,1400,63490,0.4762,0.0,0,tlt,rebalance,60149,58749,196808.37088219996,3741
2010-01-22,2020-04-20,126.807777,158.144135,2571,80566,0.2471,0.0,0,gld,rebalance,54608,52037,406588.57112356497,3741
2020-04-20,2020-06-02,7.819365,10.043914,242458,539360,0.2845,0.0,3,tqqq,rebalance,1583087,1340629,2435227.2016891357,43
2020-04-20,2020-07-02,7.819365,12.434471,146611,676625,0.5902,0.0,3,tqqq,rebalance,1340629,1194018,1823030.277482129,73
2020-04-20,2020-08-25,7.819365,17.029586,209638,1930812,1.1779,0.0,3,tqqq,rebalance,1194018,984380,3570048.2484032083,127
2020-04-20,2020-09-02,7.819365,20.922437,91637,1200726,1.6757,0.0,3,tqqq,rebalance,984380,892743,1917269.3429659768,135
2010-01-22,2020-09-18,109.10453,137.83743,8980,258021,0.2634,0.0,0,tlt,rebalance,87269,78289,1237780.12534222,3892
2010-01-22,2020-09-18,136.537949,182.520797,5961,274104,0.3368,0.0,0,gld,rebalance,65090,59129,1088006.470791819,3892
2020-06-02,2020-09-18,286.781536,309.949549,3127,72446,0.0808,0.0,3,spy,rebalance,55472,52345,969212.241011324,108
2020-04-20,2020-12-02,9.20497,19.340261,200406,2031173,1.1011,0.0,3,tqqq,rebalance,1116359,915953,3875904.272216592,226
2020-04-20,2021-02-02,9.20497,23.819722,88978,1300391,1.5877,0.0,3,tqqq,rebalance,915953,826975,2119431.207388136,288
2020-04-20,2021-05-04,9.20497,24.668632,42838,662432,1.6799,0.0,3,tqqq,rebalance,826975,784137,1056754.875479446,379
2020-06-02,2021-05-04,289.432194,387.436504,3786,371044,0.3386,0.0,3,spy,rebalance,54678,50892,1466834.604397662,336
2020-04-20,2021-08-03,9.20497,31.820033,88066,1991618,2.4568,0.0,3,tqqq,rebalance,784137,696071,2802262.99623556,470
2020-04-20,2021-11-02,9.20497,37.206835,69973,1959375,3.042,0.0,3,tqqq,rebalance,696071,626098,2603473.839355071,561
2010-01-22,2022-01-24,115.506489,123.537459,9960,79988,0.0695,0.0,0,tlt,rebalance,124755,114795,1230433.09601244,4385
2010-01-22,2022-01-24,148.780778,171.264659,10685,240240,0.1511,0.0,0,gld,rebalance,93436,82751,1829962.881447055,4385
2020-06-02,2022-01-24,297.309314,406.329848,2954,322047,0.3667,0.0,3,spy,rebalance,54299,51345,1200298.372415828,601
2020-04-20,2022-01-26,12.672588,27.179618,791022,11475379,1.1448,0.0,3,tqqq,signal,791022,0,21499675.62664547,646
2020-06-02,2022-05-02,297.309314,388.761232,51345,4695599,0.3076,0.0,3,spy,signal,51345,0,19960945.453189123,699
2010-01-22,2022-05-03,148.780778,173.368329,5066,124561,0.1653,0.0,0,gld,rebalance,82751,77685,878283.9547291979,4484
2010-01-22,2023-02-02,110.490937,95.688575,8488,-125642,-0.134,0.0,0,tlt,rebalance,150296,141808,812204.62871668,4759
2010-01-22,2023-02-02,149.148461,180.536762,8565,268841,0.2105,0.0,0,gld,rebalance,82903,74338,1546297.36647861,4759
2010-01-22,2023-03-22,149.933558,179.858794,2845,85137,0.1996,0.0,0,gld,rebalance,76739,73894,511698.26898121,4807
2023-03-22,2023-05-30,12.471686,17.508285,273587,1377948,0.4038,0.0,3,tqqq,rebalance,1603176,1329589,4790039.194559352,69
2023-03-22,2023-07-05,12.471686,19.696835,132248,955511,0.5793,0.0,3,tqqq,rebalance,1329589,1197341,2604866.994215368,105
2010-01-22,2023-11-02,155.431684,183.577615,10082,283767,0.1811,0.0,0,gld,rebalance,89678,79596,1850829.51427877,5032
2023-02-07,2023-11-02,394.270824,412.238224,2552,45853,0.0456,0.0,3,spy,rebalance,56046,53494,1052031.94769904,268
2023-03-22,2023-12-04,12.870164,20.829285,148704,1183553,0.6184,0.0,3,tqqq,rebalance,1301223,1152519,3097398.0140383677,257
2023-03-22,2024-02-02,12.870164,26.90295,120713,1693940,1.0903,0.0,3,tqqq,rebalance,1152519,1031806,3247535.838839622,317
2023-03-22,2024-04-02,12.870164,29.294877,65545,1076558,1.2762,0.0,3,tqqq,rebalance,1031806,966261,1920132.70785249,377
2010-01-22,2024-04-02,161.292448,208.442797,1798,84776,0.2923,0.0,0,gld,rebalance,96263,94465,374780.148968242,5184
2010-01-22,2024-05-02,101.080312,81.039999,6379,-127837,-0.1983,0.0,0,tlt,rebalance,231190,224811,516954.156472413,5214
2010-01-22,2024-05-02,161.292448,211.264294,8738,436654,0.3098,0.0,0,gld,rebalance,94465,85727,1846027.401129284,5214
2023-02-07,2024-05-02,398.955959,490.695515,1408,129169,0.2299,0.0,3,spy,rebalance,57764,56356,690899.2849890561,450
2023-03-22,2024-06-04,14.296309,30.826412,113303,1872910,1.1562,0.0,3,tqqq,rebalance,1083503,970200,3492725.01435447,440
2023-03-22,2024-07-02,14.296309,36.489721,105678,2345355,1.5524,0.0,3,tqqq,rebalance,970200,864522,3856160.78233632,468
2010-01-22,2024-08-02,99.117867,90.003445,21110,-192405,-0.092,0.0,0,tlt,rebalance,255633,234523,1899972.72808756,5306
2010-01-22,2024-08-02,168.670028,227.266147,6904,404548,0.3474,0.0,0,gld,rebalance,98969,92065,1569045.478950136,5306
2023-02-07,2024-08-02,406.375587,523.134472,1351,157741,0.2873,0.0,3,spy,rebalance,59925,58574,706754.671950306,542
2023-03-22,2024-11-04,16.433726,34.808658,53272,978869,1.1181,0.0,3,tqqq,rebalance,1006212,952940,1854326.8186412319,593
2010-01-22,2024-11-04,168.670028,252.560047,3815,320040,0.4974,0.0,0,gld,rebalance,92065,88250,963516.579224885,5400
2010-01-22,2025-04-02,97.909965,88.095445,11315,-111051,-0.1002,0.0,0,tlt,rebalance,260468,249153,996799.964915985,5549
2010-01-22,2025-04-02,168.670028,287.415159,12452,1478614,0.704,0.0,0,gld,rebalance,88250,75798,3578893.559905356,5549
2023-02-07,2025-04-02,408.991102,547.112969,620,85636,0.3377,0.0,3,spy,rebalance,59570,58950,339210.04094058,785
2023-03-22,2025-04-04,18.235964,22.80448,1128296,5154637,0.2505,0.0,3,tqqq,signal,1128296,0,25730203.230976086,744
2023-02-07,2025-04-07,408.991102,482.194792,58950,4315358,0.179,0.0,3,spy,signal,58950,0,28425382.97737635,790
2010-01-22,2025-04-22,97.909965,82.802273,9448,-142737,-0.1543,0.0,0,tlt,rebalance,249153,239705,782315.872649112,5569
2010-01-22,2025-04-22,168.670028,316.53752,13288,1964863,0.8767,0.0,0,gld,rebalance,75798,62510,4206150.56615864,5569
2010-01-22,2025-05-16,97.909965,83.154822,3540,-52233,-0.1507,0.0,0,tlt,rebalance,239705,236165,294368.06948705995,5593
2025-05-16,2025-09-03,35.472617,44.120579,73894,639033,0.2438,0.0,3,tqqq,rebalance,825176,751282,3260246.0633698017,110
2025-05-16,2025-11-04,35.472617,56.421614,112626,2359402,0.5906,0.0,3,tqqq,rebalance,751282,638656,6354540.679893336,172
2010-01-22,2026-01-05,95.841659,85.956846,149,-1473,-0.1031,0.0,0,tlt,rebalance,287659,287510,12807.569983076,5827
2010-01-22,2026-01-05,182.72417,405.170845,6514,1449018,1.2174,0.0,0,gld,rebalance,68757,62243,2639282.88403687,5827
2025-05-16,2026-01-05,594.975431,682.616135,1510,132337,0.1473,0.0,3,spy,rebalance,55993,54483,1030750.36319315,234
2010-01-22,2026-03-03,182.72417,471.411497,10146,2929022,1.5799,0.0,0,gld,rebalance,62243,52097,4782941.048957694,5884
