Date,Open,High,Low,Close,Volume,ma_200,change_pct
2004-11-18,44.115472,44.369551,44.045725,44.324715,891500,42.362618,
2004-11-19,44.289894,44.354658,43.88635,43.971046,1244500,42.378623,-0.8
2004-11-22,44.015887,44.274953,43.990979,44.200222,511500,42.396748,0.52
2004-11-23,44.090633,44.439371,44.08067,44.255039,746300,42.415238,0.12
2004-11-24,44.294896,44.294896,44.20522,44.255039,309700,42.433545,0.0
2004-11-26,43.985959,44.010866,43.956068,43.96603,697100,42.448793,-0.65
2004-11-29,43.577455,43.64222,43.427994,43.497742,1546400,42.459231,-1.07
2004-11-30,43.313416,43.42302,43.158971,43.313416,1754500,42.46773,-0.42
2004-12-01,43.370937,43.39595,43.110813,43.245876,2489800,42.475473,-0.16
2004-12-02,43.105798,43.170832,43.025762,43.070782,2881500,42.481396,-0.4
2004-12-03,43.596015,43.851139,43.485961,43.741085,2233700,42.493931,1.56
2004-12-06,43.766118,43.946205,43.746108,43.891178,1314100,42.507834,0.34
2004-12-07,43.891216,43.966253,43.771159,43.946243,784300,42.522146,0.13
2004-12-08,44.226359,44.631554,44.201346,44.631554,2639700,42.543135,1.56
2004-12-09,44.516482,44.656549,44.306382,44.336395,1428900,42.560979,-0.66
2004-12-10,44.496488,44.546515,44.356421,44.446465,1445000,42.57974,0.25
2004-12-13,44.431454,44.666568,44.421451,44.541508,677400,42.59926,0.21
2004-12-14,44.391422,44.741593,44.371412,44.716579,1568200,42.620328,0.39
2004-12-15,44.996758,45.146832,44.941731,45.121819,2511500,42.645218,0.91
2004-12-16,44.966677,44.966677,44.446425,44.456432,1998200,42.66324,-1.47
2004-12-17,44.261398,44.461492,44.236384,44.396461,1319800,42.680486,-0.13
2004-12-20,44.456476,44.57153,44.431462,44.476486,230500,42.698357,0.18
2004-12-21,44.551511,44.641555,44.471475,44.611542,245200,42.717393,0.3
2004-12-22,44.626541,44.626541,44.371416,44.46146,511600,42.734747,-0.34
2004-12-23,44.391424,44.416438,44.306384,44.316387,738600,42.750485,-0.33
2004-12-27,44.186322,44.206332,43.871168,43.971218,1322600,42.762632,-0.78
2004-12-28,43.951198,43.976212,43.721088,43.936192,1253500,42.774309,-0.08
2004-12-29,43.956212,44.021242,43.806138,43.891178,567500,42.785422,-0.1
2004-12-30,43.921209,44.246363,43.891192,44.186337,626400,42.799361,0.67
2004-12-31,44.374667,44.515267,44.339517,44.465054,1056400,42.815935,0.63
2005-01-03,44.279239,44.610654,44.269198,44.56044,1168000,42.833294,0.21
2005-01-04,44.550384,44.565448,44.09343,44.09343,1935400,42.845832,-1.05
2005-01-05,44.183792,44.464996,44.158687,44.329414,1094100,42.860594,0.54
2005-01-06,44.334487,44.460024,44.299337,44.359592,1057400,42.87551,0.07
2005-01-07,44.570506,44.625743,44.364624,44.460033,738700,42.891276,0.23
2005-01-10,44.51021,44.550383,44.424846,44.530296,379400,42.907585,0.16
2005-01-11,44.640763,44.831577,44.560418,44.791405,844100,42.926329,0.59
2005-01-12,44.625736,44.911959,44.590585,44.8517,722000,42.945487,0.13
2005-01-13,45.067582,45.283504,45.05754,45.283504,1876700,42.968751,0.96
2005-01-14,45.142907,45.39398,45.097712,45.278484,1043800,42.991733,-0.01
2005-01-18,45.092735,45.439214,45.057585,45.429173,1251600,43.015987,0.33
2005-01-19,45.594858,45.61494,45.328717,45.559708,655800,43.041297,0.29
2005-01-20,45.404043,45.705329,45.368893,45.650097,1064200,43.067255,0.2
2005-01-21,45.494462,45.72043,45.45429,45.700344,606300,43.093455,0.11
2005-01-24,45.740454,45.946336,45.695263,45.896122,561400,43.121343,0.43
2005-01-25,45.876039,45.896125,45.449215,45.464279,1942200,43.144655,-0.94
2005-01-26,45.619967,45.655118,45.509495,45.549667,709800,43.168586,0.19
2005-01-27,45.454234,45.544621,45.363848,45.464279,463900,43.191429,-0.19
2005-01-28,45.805754,45.996568,45.780645,45.921246,1128000,43.218591,1.01
2005-01-31,45.860978,46.071878,45.840892,46.051792,1313900,43.246782,0.28
2005-02-01,46.089611,46.119853,45.893035,45.978722,948200,43.273965,-0.16
2005-02-02,45.968633,46.099685,45.913188,46.084564,760300,43.301932,0.23
2005-02-03,45.89806,46.089598,45.89806,46.059353,505800,43.329369,-0.05
2005-02-04,46.608773,46.845674,46.603732,46.699501,3483900,43.362902,1.39
2005-02-07,46.744874,47.087623,46.724712,47.047298,1064600,43.399563,0.74
2005-02-08,47.062375,47.440406,47.042213,47.314396,1383800,43.438517,0.57
2005-02-09,47.097647,47.500878,47.067402,47.440395,2125800,43.478336,0.27
2005-02-10,47.12286,47.218629,46.74987,46.800274,1240000,43.51139,-1.35
2005-02-11,46.60373,46.865835,46.573489,46.770065,1275200,43.543815,-0.06
2005-02-14,46.825475,46.981727,46.739789,46.916203,295000,43.577371,0.31
2005-02-15,46.674295,46.805347,46.659174,46.679337,900200,43.608236,-0.5
2005-02-16,46.628894,46.659136,46.271025,46.502884,1189700,43.637039,-0.38
2005-02-17,46.250911,46.442445,46.170262,46.210587,1146400,43.662646,-0.63
2005-02-18,45.640986,45.842599,45.59562,45.797237,2655800,43.683886,-0.89
2005-02-22,45.681332,45.741819,45.565405,45.595646,914600,43.702908,-0.44
2005-02-23,45.938368,45.953489,45.580499,45.746834,1115000,43.723246,0.33
2005-02-24,45.948478,46.034164,45.646049,45.646049,798500,43.742378,-0.22
2005-02-25,45.812368,45.938379,45.676279,45.867813,588800,43.763527,0.49
2005-02-28,45.918214,45.918214,45.308324,45.373848,2797300,43.77955,-1.08
2005-03-01,45.27377,45.435571,45.228262,45.359726,1648500,43.795273,-0.03
2005-03-02,45.228266,45.364787,45.213098,45.299053,1139300,43.810236,-0.13
2005-03-03,45.314228,45.405241,45.228269,45.273777,1600600,43.824799,-0.06
2005-03-04,45.501286,45.845112,45.440613,45.764214,1567000,43.844096,1.08
2005-03-07,45.936094,46.006882,45.885532,45.946209,889800,43.865013,0.4
2005-03-08,45.572071,45.642858,45.476005,45.511398,680400,43.881395,-0.95
2005-03-09,45.091762,45.203001,44.7176,44.768162,2549600,43.890219,-1.63
2005-03-10,44.869261,45.167582,44.692293,45.041176,1357700,43.901671,0.61
2005-03-11,44.823732,44.934971,44.697326,44.712494,1017900,43.909739,-0.73
2005-03-14,44.682182,45.000725,44.646788,44.980499,805000,43.920393,0.6
2005-03-15,45.14733,45.152387,44.697323,44.697323,963900,43.928124,-0.63
2005-03-16,44.768131,45.182745,44.768131,44.970383,2097800,43.938494,0.61
2005-03-17,45.177692,45.293988,45.0614,45.11702,1025300,43.950221,0.33
2005-03-18,44.950139,44.99059,44.833843,44.833843,722700,43.959013,-0.63
2005-03-21,44.833842,44.833842,44.68721,44.707436,893100,43.96646,-0.28
2005-03-22,44.970367,45.025987,44.26249,44.32822,2544900,43.97006,-0.85
2005-03-23,44.257443,44.57599,44.257443,44.540592,1951700,43.975737,0.48
2005-03-24,44.656867,44.727654,44.58608,44.631584,746800,43.982263,0.2
2005-03-28,44.490022,44.49508,44.353505,44.358562,382200,43.986007,-0.61
2005-03-29,44.535554,44.636678,44.490046,44.62151,1135000,43.99233,0.59
2005-03-30,44.596227,44.874323,44.576005,44.843987,1095600,44.000805,0.5
2005-03-31,45.101834,45.197905,44.929923,45.167568,2410900,44.012414,0.72
2005-04-01,45.436566,45.502544,44.913841,45.319843,2805300,44.025423,0.34
2005-04-04,45.309673,45.502526,45.253848,45.309673,754800,44.038202,-0.02
2005-04-05,45.289397,45.350298,45.132073,45.192974,733300,44.049692,-0.26
2005-04-06,45.375638,45.390863,45.26906,45.350262,402800,44.062633,0.35
2005-04-07,45.319831,45.461931,44.969654,44.984879,973000,44.07181,-0.81
2005-04-08,44.944264,45.167566,44.832613,45.142189,438600,44.08246,0.35
2005-04-11,45.152327,45.482203,45.137102,45.385777,1460200,44.095429,0.54
2005-04-12,45.284301,45.878076,45.228475,45.807026,1931500,44.11246,0.93
2005-04-13,45.852686,45.898363,45.573563,45.695362,1001700,44.12821,-0.24
2005-04-14,45.715687,45.735987,45.502537,45.624336,1461800,44.143097,-0.16
2005-04-15,45.949107,46.243458,45.786706,46.22823,2807300,44.163844,1.32
2005-04-18,46.370332,46.38048,46.152106,46.192703,3510800,44.184032,-0.08
2005-04-19,46.35511,46.710363,46.344961,46.639313,1733600,44.208463,0.97
2005-04-20,46.294209,46.573332,46.273909,46.522583,1617900,44.231489,-0.25
2005-04-21,46.334847,46.395745,46.030343,46.035419,1288500,44.249438,-1.05
2005-04-22,46.31961,46.476937,46.228259,46.421112,876300,44.271047,0.84
2005-04-25,46.517527,46.598726,46.441402,46.558125,818300,44.293804,0.3
2005-04-26,46.684993,46.715446,46.355117,46.487068,549300,44.315627,-0.15
2005-04-27,46.71546,46.791582,46.588585,46.649483,684900,44.33885,0.35
2005-04-28,46.715433,47.019933,46.66468,46.994556,1062000,44.365275,0.74
2005-04-29,46.979357,47.167134,46.801733,46.913383,1445100,44.390629,-0.17
2005-05-02,46.933741,46.989766,46.709639,46.903179,1358200,44.41563,-0.02
2005-05-03,46.893034,47.132414,46.816635,47.030548,1884900,44.441649,0.27
2005-05-04,46.577246,46.714764,46.373521,46.617992,2211500,44.463304,-0.88
2005-05-05,46.50084,46.775869,46.454999,46.724937,1757900,44.485808,0.23
2005-05-06,46.312376,46.44989,46.251256,46.378586,850600,44.504641,-0.74
2005-05-09,46.353123,46.470264,46.348028,46.424427,327800,44.523744,0.1
2005-05-10,46.531395,46.755497,46.521207,46.755497,495500,44.54595,0.71
2005-05-11,46.928664,47.122203,46.852265,46.898106,1058700,44.569355,0.31
2005-05-12,46.857365,47.096746,46.714756,47.081467,657000,44.594351,0.39
2005-05-13,47.218972,47.376859,47.147667,47.264812,1698100,44.620923,0.39
2005-05-16,47.387035,47.402314,47.20368,47.208775,824800,44.646672,-0.12
2005-05-17,47.346266,47.463411,47.315708,47.341171,856300,44.673483,0.28
2005-05-18,47.723185,47.77412,47.53983,47.656975,1092300,44.70317,0.67
2005-05-19,47.723194,47.723194,47.509281,47.534748,948800,44.731345,-0.26
2005-05-20,47.494037,47.626461,47.473664,47.590809,806800,44.759797,0.12
2005-05-23,47.672262,47.993136,47.656983,47.962574,905600,44.791665,0.78
2005-05-24,48.145906,48.207025,47.967645,48.094975,1695400,44.824534,0.28
2005-05-25,48.176499,48.207061,47.738488,47.758858,1923300,44.853731,-0.7
2005-05-26,47.667174,47.911648,47.667174,47.743572,978300,44.882486,-0.03
2005-05-27,47.74359,47.86583,47.641728,47.794521,650600,44.911462,0.11
2005-05-31,47.988009,48.410744,47.988009,48.385277,1979000,44.946027,1.24
2005-06-01,48.66593,48.993096,48.660821,48.97776,3823200,44.986144,1.22
2005-06-02,48.936886,49.172036,48.936886,49.095356,1703400,45.027031,0.24
2005-06-03,49.534993,49.586112,48.665955,48.691517,5558100,45.063494,-0.82
2005-06-06,48.819306,49.01356,48.742626,48.947105,1088700,45.102137,0.52
2005-06-07,49.315173,49.371405,49.100471,49.335621,1503100,45.144261,0.79
2005-06-08,49.233391,49.304959,49.100483,49.100483,1272400,45.183626,-0.48
2005-06-09,48.906221,49.08003,48.783535,49.059582,612700,45.222193,-0.08
2005-06-10,48.84488,48.84488,48.492153,48.507488,1464800,45.254883,-1.13
2005-06-13,48.297892,48.32345,48.139418,48.216099,1616700,45.284347,-0.6
2005-06-14,48.078096,48.134328,47.83272,47.899174,1984500,45.310366,-0.66
2005-06-15,47.740738,47.986115,47.710067,47.986115,1996800,45.33699,0.18
2005-06-16,47.950291,48.26723,47.832714,48.226334,1370300,45.36574,0.5
2005-06-17,48.108766,48.292797,48.062756,48.22123,555900,45.394153,-0.01
2005-06-20,47.960505,48.154759,47.848041,48.139423,453000,45.421469,-0.17
2005-06-21,48.246773,48.492149,48.216102,48.492149,503100,45.452023,0.73
2005-06-22,48.814208,49.120925,48.696635,49.080032,952200,45.488122,1.21
2005-06-23,48.972668,49.064684,48.839756,49.0289,996300,45.523354,-0.1
2005-06-24,49.197596,49.304947,49.085132,49.274277,928000,45.560676,0.5
2005-06-27,49.325418,49.489001,49.253851,49.407211,1203600,45.59895,0.27
2005-06-28,49.23852,49.264082,49.028931,49.069824,982400,45.633487,-0.68
2005-06-29,49.315171,49.320284,48.870428,48.993114,1682400,45.666916,-0.16
2005-06-30,49.003332,49.442962,48.977771,49.432735,2159400,45.704386,0.9
2005-07-01,49.264509,49.37736,48.725901,48.833622,2222700,45.735523,-1.21
2005-07-05,48.397579,48.597632,48.356541,48.371933,1076100,45.761756,-0.95
2005-07-06,48.541193,48.643787,48.438603,48.638657,854100,45.790382,0.55
2005-07-07,48.95159,49.013147,48.7105,48.741276,1678000,45.819744,0.21
2005-07-08,48.859269,48.859269,48.382217,48.541233,1259300,45.846824,-0.41
2005-07-11,48.274497,48.551494,48.192421,48.541233,982000,45.873634,0.0
2005-07-12,48.397603,48.489936,48.248845,48.269363,743700,45.897472,-0.56
2005-07-13,48.243701,48.269346,48.146238,48.197533,886600,45.920358,-0.15
2005-07-14,48.269328,48.289847,48.012849,48.074406,874300,45.941791,-0.26
2005-07-15,47.961584,48.233451,47.961584,48.202675,1064700,45.964288,0.27
2005-07-18,48.141091,48.202647,47.756373,47.843575,1204500,45.982987,-0.74
2005-07-19,47.823117,48.074465,47.766691,48.012909,1226900,46.003185,0.35
2005-07-20,47.966716,48.341174,47.797439,48.27449,1884500,46.025785,0.54
2005-07-21,47.951305,47.982081,47.540937,47.617882,3824200,46.041627,-1.36
