Date,equity,cash,rebalanced,spy_value,spy_weight,spy_signal,gld_value,gld_weight,gld_signal,tlt_value,tlt_weight,tlt_signal,drawdown_pct
2004-11-18,10000000,10000000,False,0,0.0,sell,0,0.0,buy,0,0.0,buy,0.0
2004-11-19,9993516,6000019,False,0,0.0,sell,2508755,0.251,buy,1484743,0.1486,buy,-0.06
2004-11-22,10010779,6000019,False,0,0.0,sell,2518279,0.2516,buy,1492481,0.1491,buy,0.0
2004-11-23,10001424,6000019,False,0,0.0,sell,2507074,0.2507,buy,1494331,0.1494,buy,-0.09
2004-11-24,10018231,6000019,False,0,0.0,sell,2523881,0.2519,buy,1494331,0.1492,buy,0.0
2004-11-26,10021921,6000019,False,0,0.0,sell,2537327,0.2532,buy,1484574,0.1481,buy,0.0
2004-11-29,10012270,6000019,False,0,0.0,sell,2543490,0.254,buy,1468761,0.1467,buy,-0.1
2004-11-30,9990358,6000019,False,0,0.0,sell,2527803,0.253,buy,1462536,0.1464,buy,-0.31
2004-12-01,10002644,6000019,False,0,0.0,sell,2542369,0.2542,buy,1460256,0.146,buy,-0.19
2004-12-02,9972643,6000019,False,0,0.0,sell,2518279,0.2525,buy,1454345,0.1458,buy,-0.49
2004-12-03,10031693,6000019,False,0,0.0,sell,2554694,0.2547,buy,1476979,0.1472,buy,0.0
2004-12-06,10012670,6000019,False,0,0.0,sell,2530604,0.2527,buy,1482047,0.148,buy,-0.19
2004-12-07,10011168,6000019,False,0,0.0,sell,2527243,0.2524,buy,1483906,0.1482,buy,-0.2
2004-12-08,9972682,6000019,False,0,0.0,sell,2465616,0.2472,buy,1507046,0.1511,buy,-0.59
2004-12-09,9949829,6000019,False,0,0.0,sell,2452731,0.2465,buy,1497079,0.1505,buy,-0.82
2004-12-10,9934497,6000019,False,0,0.0,sell,2433683,0.245,buy,1500795,0.1511,buy,-0.97
2004-12-13,9964038,6000019,False,0,0.0,sell,2460014,0.2469,buy,1504005,0.1509,buy,-0.67
2004-12-14,9949781,6000019,False,0,0.0,sell,2439845,0.2452,buy,1509917,0.1518,buy,-0.82
2004-12-15,9988114,6000019,False,0,0.0,sell,2464496,0.2467,buy,1523599,0.1525,buy,-0.43
2004-12-16,9948282,6000019,False,0,0.0,sell,2447128,0.246,buy,1501134,0.1509,buy,-0.83
2004-12-17,9974826,6000019,False,0,0.0,sell,2475701,0.2482,buy,1499106,0.1503,buy,-0.57
2004-12-20,9985933,6000019,False,0,0.0,sell,2484104,0.2488,buy,1501810,0.1504,buy,-0.46
2004-12-21,9983771,6000019,False,0,0.0,sell,2477381,0.2481,buy,1506371,0.1509,buy,-0.48
2004-12-22,9967498,6000019,False,0,0.0,sell,2466176,0.2474,buy,1501302,0.1506,buy,-0.64
2004-12-23,9976606,6000019,False,0,0.0,sell,2480182,0.2486,buy,1496404,0.15,buy,-0.55
2004-12-27,9976716,6000019,False,0,0.0,sell,2491948,0.2498,buy,1484749,0.1488,buy,-0.55
2004-12-28,9969370,6000019,False,0,0.0,sell,2485785,0.2493,buy,1483566,0.1488,buy,-0.62
2004-12-29,9928074,6000019,False,0,0.0,sell,2446008,0.2464,buy,1482047,0.1493,buy,-1.03
2004-12-30,9947563,6000019,False,0,0.0,sell,2455532,0.2468,buy,1492012,0.15,buy,-0.84
2004-12-31,9955292,6000019,False,0,0.0,sell,2453851,0.2465,buy,1501421,0.1508,buy,-0.76
2005-01-03,9914816,6000019,False,0,0.0,sell,2410152,0.2431,buy,1504645,0.1518,buy,-1.17
2005-01-04,9883361,6000019,False,0,0.0,sell,2394466,0.2423,buy,1488876,0.1506,buy,-1.48
2005-01-05,9887408,6000019,False,0,0.0,sell,2390544,0.2418,buy,1496845,0.1514,buy,-1.44
2005-01-06,9859292,6000019,False,0,0.0,sell,2361412,0.2395,buy,1497861,0.1519,buy,-1.72
2005-01-07,9845317,6000019,False,0,0.0,sell,2344044,0.2381,buy,1501253,0.1525,buy,-1.86
2005-01-10,9853853,6000019,False,0,0.0,sell,2350207,0.2385,buy,1503627,0.1526,buy,-1.77
2005-01-11,9877235,6000019,False,0,0.0,sell,2364773,0.2394,buy,1512443,0.1531,buy,-1.54
2005-01-12,9901120,6000019,False,0,0.0,sell,2386622,0.241,buy,1514479,0.153,buy,-1.3
2005-01-13,9915701,6000019,False,0,0.0,sell,2386622,0.2407,buy,1529060,0.1542,buy,-1.16
2005-01-14,9899846,6000019,False,0,0.0,sell,2370936,0.2395,buy,1528891,0.1544,buy,-1.31
2005-01-18,9904932,6000019,False,0,0.0,sell,2370936,0.2394,buy,1533977,0.1549,buy,-1.26
2005-01-19,9905980,6000019,False,0,0.0,sell,2367574,0.239,buy,1538387,0.1553,buy,-1.25
2005-01-20,9908471,6000019,False,0,0.0,sell,2367014,0.2389,buy,1541438,0.1556,buy,-1.23
2005-01-21,9937619,6000019,False,0,0.0,sell,2394466,0.2409,buy,1543134,0.1553,buy,-0.94
2005-01-24,9945912,6000019,False,0,0.0,sell,2396146,0.2409,buy,1549747,0.1558,buy,-0.86
2005-01-25,9901637,6000019,False,0,0.0,sell,2366454,0.239,buy,1535164,0.155,buy,-1.3
2005-01-26,9929730,6000019,False,0,0.0,sell,2391665,0.2409,buy,1538046,0.1549,buy,-1.02
2005-01-27,9922926,6000019,False,0,0.0,sell,2387743,0.2406,buy,1535164,0.1547,buy,-1.08
2005-01-28,9942277,6000019,False,0,0.0,buy,2391665,0.2406,buy,1550594,0.156,buy,-0.89
2005-01-31,9912419,94,True,5958031,0.6011,buy,2458935,0.2481,buy,1495359,0.1509,buy,-1.19
2005-02-01,9940871,94,False,5995845,0.6032,buy,2451946,0.2467,buy,1492986,0.1502,buy,-0.91
2005-02-02,9965952,94,False,6013997,0.6035,buy,2455441,0.2464,buy,1496421,0.1502,buy,-0.66
2005-02-03,9921553,94,False,5998370,0.6046,buy,2427485,0.2447,buy,1495604,0.1507,buy,-1.1
2005-02-04,9994143,94,False,6062405,0.6066,buy,2415254,0.2417,buy,1516390,0.1517,buy,-0.37
