entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,hold_days_used,asset_id,trade_type,holding_days
2004-11-19,2006-05-02,44.623472,65.403198,56024,1164163,0.4657,0,gld,2006-05-01,529
2005-01-31,2008-01-16,80.251897,98.062588,74333,1323922,0.2219,3,spy,2008-01-15,1080
2006-05-03,2008-03-04,67.341419,96.988159,44434,1317323,0.4402,0,gld,2008-03-03,671
2009-07-27,2010-01-05,72.914904,84.720484,115934,1368668,0.1619,3,spy,2010-01-04,162
2010-02-02,2010-03-02,82.220285,84.05478,117071,214766,0.0223,3,spy,2010-03-01,28
2008-03-05,2010-05-04,96.388298,116.040829,36632,719912,0.2039,0,gld,2010-05-03,790
2010-04-05,2010-07-01,89.351874,77.844403,109414,-1259078,-0.1288,3,spy,2010-06-30,87
2010-08-06,2011-01-04,84.83452,97.114862,110334,1354939,0.1448,3,spy,2011-01-03,151
2010-05-05,2011-01-04,113.920742,135.831285,36246,794170,0.1923,0,gld,2011-01-03,244
2011-01-05,2011-03-02,133.9005,139.819285,32773,193976,0.0442,0,gld,2011-03-01,56
2011-03-03,2011-05-03,139.226428,149.978703,31851,342471,0.0772,0,gld,2011-05-02,61
2011-05-04,2011-06-02,150.309581,149.699544,30898,-18849,-0.0041,0,gld,2011-06-01,29
2011-02-02,2011-08-05,100.054864,93.732427,104292,-659380,-0.0632,3,spy,2011-08-04,184
2012-01-09,2013-06-04,100.273861,131.471588,109302,3409974,0.3111,3,spy,2013-06-03,512
2013-07-02,2013-08-02,130.278146,136.861135,94367,621217,0.0505,3,spy,2013-08-01,31
2013-09-04,2013-10-02,132.954506,135.969419,96758,291717,0.0227,3,spy,2013-10-01,28
2013-11-04,2013-12-03,143.564085,145.330233,89879,158740,0.0123,3,spy,2013-12-02,29
2014-01-03,2014-06-03,149.686217,156.951257,85426,620623,0.0485,3,spy,2014-06-02,151
2014-07-02,2014-09-03,162.461432,165.038224,83141,214237,0.0159,3,spy,2014-09-02,63
2014-10-02,2014-11-04,160.843572,165.686123,84164,407568,0.0301,3,spy,2014-11-03,33
2014-12-02,2015-03-03,170.476991,175.078466,81156,373437,0.027,3,spy,2015-03-02,91
2015-04-02,2015-05-04,172.024096,175.660361,82638,300494,0.0211,3,spy,2015-05-01,32
2015-06-02,2015-07-02,176.54178,173.874168,80489,-214713,-0.0151,3,spy,2015-07-01,30
2015-07-17,2015-08-25,178.468162,163.311507,78233,-1185751,-0.0849,3,spy,2015-08-24,39
2015-11-03,2015-12-02,177.435468,176.920074,74975,-38642,-0.0029,3,spy,2015-12-01,29
2016-01-05,2016-01-11,171.206318,163.092662,76963,-624451,-0.0474,3,spy,2016-01-08,6
2004-11-19,2016-04-04,44.600247,99.408173,33632,1843300,1.2289,0,tlt,2016-04-01,4154
2016-04-04,2016-06-02,176.729085,178.194472,74748,109535,0.0083,3,spy,2016-06-01,59
2016-04-05,2016-07-05,100.939296,108.452737,32558,244623,0.0744,0,tlt,2016-07-01,91
2016-06-24,2016-08-02,174.899659,184.969495,76243,767755,0.0576,3,spy,2016-08-01,39
2016-09-02,2016-12-02,187.577126,188.495256,74575,68470,0.0049,3,spy,2016-12-01,91
2017-01-04,2017-03-02,195.913851,206.77418,68818,747386,0.0554,3,spy,2017-03-01,57
2017-04-04,2017-05-02,204.946665,207.049535,68960,145014,0.0103,3,spy,2017-05-01,28
2017-06-02,2017-07-05,212.289874,211.360766,67310,-62538,-0.0044,3,spy,2017-07-03,33
2017-08-02,2017-10-03,216.874366,220.892771,65778,264323,0.0185,3,spy,2017-10-02,62
2017-11-02,2017-12-04,226.705015,233.140312,63720,410057,0.0284,3,spy,2017-12-01,32
2018-01-03,2018-02-02,238.088073,246.448572,62095,519145,0.0351,3,spy,2018-02-01,30
2018-02-15,2018-06-04,240.398481,242.532416,62554,133486,0.0089,3,spy,2018-06-01,109
2018-07-03,2018-08-02,243.605662,247.93428,61564,266487,0.0178,3,spy,2018-08-01,30
2018-08-03,2018-09-05,252.229597,256.826242,59733,274571,0.0182,3,spy,2018-09-04,33
2018-10-02,2018-12-18,261.469562,229.275836,58003,-1867333,-0.1231,3,spy,2018-12-17,77
2019-02-22,2019-03-04,250.864025,252.492607,57250,93236,0.0065,3,spy,2019-03-01,10
2019-03-15,2019-04-02,254.1706,257.603439,56558,194155,0.0135,3,spy,2019-04-01,18
2016-07-06,2019-09-04,109.828399,121.390043,31435,363440,0.1053,0,tlt,2019-09-03,1155
2019-05-02,2020-01-03,264.263551,293.41638,54904,1600607,0.1103,3,spy,2020-01-02,246
2019-09-05,2020-03-03,121.395536,128.694415,31789,232024,0.0601,0,tlt,2020-03-02,180
2020-02-04,2020-03-10,301.533247,260.051163,54229,-2249532,-0.1376,3,spy,2020-03-09,35
2020-03-04,2020-04-02,131.657505,141.465904,29853,292810,0.0745,0,tlt,2020-04-01,29
2020-06-02,2020-07-02,283.410646,290.053171,54683,363233,0.0234,3,spy,2020-07-01,30
2020-08-04,2020-09-02,304.446022,327.371233,53296,1221822,0.0753,3,spy,2020-09-01,29
2020-10-02,2020-11-03,309.244835,309.239036,54155,-314,-0.0,3,spy,2020-11-02,32
2020-12-02,2021-02-02,340.122695,353.331125,48559,641388,0.0388,3,spy,2021-02-01,62
2021-03-02,2021-04-05,364.979299,376.72029,45273,531550,0.0322,3,spy,2021-04-01,34
