entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,holding_days
2004-12-10,2005-05-26,44.629977,47.524172,3539,10243,0.0648,0.0,3,tlt,rebalance,167
2005-05-26,2005-12-02,0.475039,0.592284,1152870,135168,0.2468,0.0,3,tqqq,rebalance,190
2004-12-10,2006-05-02,44.951764,44.266269,100659,-69001,-0.0152,0.0,3,tlt,signal,508
2005-05-26,2006-06-12,0.475039,0.40959,11831807,-774384,-0.1378,0.0,3,tqqq,signal,382
2006-09-29,2007-05-02,0.47175,0.599085,895693,114053,0.2699,0.0,3,tqqq,rebalance,215
2006-09-29,2007-10-02,0.47175,0.788392,1000209,316708,0.6712,0.0,3,tqqq,rebalance,368
2006-09-25,2007-12-04,49.176577,54.331463,10881,56090,0.1048,0.0,3,tlt,rebalance,435
2006-09-29,2008-01-17,0.488828,0.504621,10767387,170043,0.0323,0.0,3,tqqq,signal,475
2006-09-25,2008-01-17,49.176577,54.584282,15909,86031,0.11,0.0,3,tlt,rebalance,479
2006-09-25,2008-07-02,49.264987,54.049572,10341,49477,0.0971,0.0,3,tlt,rebalance,646
2008-05-07,2008-07-03,0.544627,0.414298,12432486,-1620303,-0.2393,0.0,3,tqqq,signal,57
2006-09-25,2008-12-02,49.264987,64.944153,9187,144044,0.3183,0.0,3,tlt,rebalance,799
2006-09-25,2009-05-08,49.264987,57.689356,58272,490905,0.171,0.0,3,tlt,signal,956
2009-06-04,2009-08-04,0.128492,0.164306,4006162,143474,0.2787,0.0,3,tqqq,rebalance,61
2009-06-04,2009-10-02,0.128492,0.172591,826175,36433,0.3432,0.0,3,tqqq,rebalance,120
2009-06-04,2009-12-02,0.128492,0.216353,3226155,283452,0.6838,0.0,3,tqqq,rebalance,181
2009-10-02,2009-12-28,61.860814,55.550533,83129,-524567,-0.102,0.0,3,tlt,signal,87
2009-06-04,2010-04-05,0.128492,0.277086,3732480,554624,1.1564,0.0,3,tqqq,rebalance,305
2010-05-20,2010-07-02,62.240266,64.302419,12841,26480,0.0331,0.0,3,tlt,rebalance,43
2009-06-04,2010-08-03,0.140583,0.234445,3740566,351094,0.6677,0.0,3,tqqq,rebalance,425
2010-05-20,2010-09-02,62.475655,67.319642,9581,46410,0.0775,0.0,3,tlt,rebalance,105
2009-06-04,2010-10-04,0.146232,0.267274,3704489,448399,0.8277,0.0,3,tqqq,rebalance,487
2009-06-04,2010-11-02,0.146232,0.332315,2650150,493149,1.2725,0.0,3,tqqq,rebalance,516
2010-05-20,2010-12-16,63.558349,58.858826,102398,-481222,-0.0739,0.0,3,tlt,signal,210
2009-06-04,2011-01-04,0.146232,0.387767,2758273,666221,1.6517,0.0,3,tqqq,rebalance,579
2009-06-04,2011-06-02,0.146232,0.412049,745921,198279,1.8178,0.0,3,tqqq,rebalance,728
2009-06-04,2011-08-09,0.146232,0.288113,26993450,3829869,0.9703,0.0,3,tqqq,signal,796
2011-06-02,2011-08-09,64.177955,69.895997,26840,153472,0.0891,0.0,3,tlt,rebalance,68
2011-06-02,2011-10-17,64.177955,76.502874,2639,32525,0.192,0.0,3,tlt,rebalance,137
2011-06-02,2011-11-25,64.177955,81.733562,15479,271743,0.2735,0.0,3,tlt,rebalance,176
2011-10-17,2011-12-02,0.376538,0.364625,2362762,-28148,-0.0316,0.0,3,tqqq,rebalance,46
2011-10-17,2012-02-02,0.376538,0.442228,1871865,122964,0.1745,0.0,3,tqqq,rebalance,108
2011-10-17,2012-03-02,0.376538,0.524193,1913469,282533,0.3921,0.0,3,tqqq,rebalance,137
2011-10-17,2012-04-03,0.376538,0.613639,1526937,362038,0.6297,0.0,3,tqqq,rebalance,169
2011-06-02,2012-05-17,70.06959,83.155009,20028,262075,0.1867,0.0,3,tlt,rebalance,350
2011-06-02,2012-06-04,70.06959,88.297863,10499,191379,0.2601,0.0,3,tlt,rebalance,368
2011-10-17,2012-07-03,0.392922,0.500406,2123310,228222,0.2736,0.0,3,tqqq,rebalance,260
2011-10-17,2012-10-02,0.392922,0.605759,1732660,368775,0.5417,0.0,3,tqqq,rebalance,351
2011-10-17,2013-06-04,0.392922,0.723502,2091491,691405,0.8413,0.0,3,tqqq,rebalance,596
2011-06-02,2013-06-21,74.618187,77.019403,129113,310028,0.0322,0.0,3,tlt,signal,750
2011-10-17,2013-10-02,0.392922,0.900017,2224415,1127989,1.2906,0.0,3,tqqq,rebalance,716
2011-10-17,2014-01-03,0.392922,1.201112,1806095,1459668,2.0569,0.0,3,tqqq,rebalance,809
2011-10-17,2014-06-03,0.417957,1.33719,1196223,1099608,2.1993,0.0,3,tqqq,rebalance,960
2011-10-17,2014-09-03,0.417957,1.79161,1408802,1935205,3.2866,0.0,3,tqqq,rebalance,1052
2011-10-17,2015-06-02,0.417957,2.279925,1158146,2156430,4.4549,0.0,3,tqqq,rebalance,1324
2014-04-16,2015-06-11,81.733583,86.417285,246956,1156668,0.0573,0.0,3,tlt,signal,421
