date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2005-01-31,spy,0,43876,0.0,35.01,0,3507271,43876,3507271,daily
2005-01-31,qqq,0,0,0.0,0.0,0,0,0,0,daily
2005-01-31,gld,34941,35256,14.87,14.86,1491631,1488508,315,-3123,daily
2005-01-31,tlt,33692,32891,15.36,15.07,1541485,1509118,-801,-32367,daily
2005-01-31,cash,0,0,69.77,35.06,7000083,3511695,0,-3488388,daily
2005-05-26,spy,43876,43638,35.19,35.12,3558295,3557963,-238,-332,daily
2005-05-26,qqq,0,109039,0.0,35.02,0,3547786,109039,3547786,daily
2005-05-26,gld,35256,36222,14.6,14.9,1476168,1510095,966,33927,daily
2005-05-26,tlt,32891,31870,15.48,14.96,1565056,1515989,-1021,-49067,daily
2005-05-26,cash,0,0,34.73,0.0,3511695,49,0,-3511646,daily
2005-12-02,spy,43638,44357,34.43,34.99,3785957,3853196,719,67239,monthly
2005-12-02,qqq,109039,107423,35.52,35.02,3906266,3857534,-1616,-48732,monthly
2005-12-02,gld,36222,32851,16.53,15.01,1817257,1653062,-3371,-164195,monthly
2005-12-02,tlt,31870,35358,13.52,14.98,1486571,1649821,3488,163250,monthly
2005-12-02,cash,0,0,0.0,0.0,49,54,0,5,monthly
2006-04-04,spy,44357,44403,34.96,35.1,3977323,4006920,46,29597,monthly
2006-04-04,qqq,107423,110856,33.91,35.06,3857606,4002695,3433,145089,monthly
2006-04-04,gld,32851,29171,16.89,14.91,1920798,1701544,-3680,-219254,monthly
2006-04-04,tlt,35358,37236,14.24,14.93,1619905,1704171,1878,84266,monthly
2006-04-04,cash,0,0,0.0,0.0,54,47,0,-7,monthly
2006-05-02,spy,44403,44572,34.87,35.01,4002009,4047434,169,45425,monthly
2006-05-02,qqq,110856,113313,34.24,34.84,3929680,4027437,2457,97757,monthly
2006-05-02,gld,29171,26435,16.56,15.22,1900782,1759249,-2736,-141533,monthly
2006-05-02,tlt,37236,38943,14.34,14.93,1645989,1725998,1707,80009,monthly
2006-05-02,cash,0,0,0.0,0.0,47,166,0,119,monthly
2006-06-12,spy,44572,44572,35.3,35.11,3861667,3819769,0,-41898,
2006-06-12,qqq,113313,0,33.81,0.0,3697875,0,-113313,-3697875,
2006-06-12,gld,26435,26435,14.61,14.58,1597995,1586893,0,-11102,
2006-06-12,tlt,38943,38943,16.28,16.38,1780652,1782105,0,1453,
2006-06-12,cash,0,0,0.0,33.93,166,3691781,0,3691615,
2006-09-29,spy,44572,42457,36.74,35.13,4154993,3954579,-2115,-200414,daily
2006-09-29,qqq,0,112652,0.0,34.84,0,3922108,112652,3922108,daily
2006-09-29,gld,26435,28374,13.98,14.99,1580548,1687401,1939,106853,daily
2006-09-29,tlt,38943,35102,16.64,15.05,1881777,1694090,-3841,-187687,daily
2006-09-29,cash,0,0,32.64,0.0,3691781,84,0,-3691697,daily
2007-06-04,spy,42457,41147,36.11,34.94,4605080,4463570,-1310,-141510,monthly
