entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2010-01-22,2010-02-18,107.25079,109.281171,277,562,0.0189,0.0,0,gld,rebalance,13985,13708,30270.884366168997,27
2010-02-18,2010-05-14,82.611715,86.230953,482,1744,0.0438,0.0,3,spy,rebalance,42298,41816,41563.319214896,85
2010-01-22,2010-05-14,57.692667,59.473067,296,527,0.0309,0.0,0,tlt,rebalance,26723,26427,17604.027811576,112
2010-01-22,2010-05-14,107.25079,121.514357,746,10641,0.133,0.0,0,gld,rebalance,13708,12962,90649.710328714,112
2010-02-18,2010-07-01,82.611715,77.632384,41816,-208216,-0.0603,0.0,3,spy,signal,41816,0,3246275.771602064,133
2010-01-22,2010-07-02,107.25079,117.855369,466,4942,0.0989,0.0,0,gld,rebalance,12962,12496,54920.60195539799,161
2010-01-22,2010-07-02,57.692667,64.30245,3897,25758,0.1146,0.0,0,tlt,rebalance,26427,22530,250586.648374842,161
2010-05-14,2010-08-06,41.220631,40.281264,5771,-5421,-0.0228,0.0,3,qqq,rebalance,91814,86043,232463.172160577,84
2010-01-22,2010-12-02,107.584024,135.213135,648,17904,0.2568,0.0,0,gld,rebalance,12883,12235,87618.11148971999,314
2010-05-14,2010-12-02,41.220631,46.433671,2934,15295,0.1265,0.0,3,qqq,rebalance,86043,83109,136236.390206418,202
2010-08-06,2011-08-05,84.694753,93.477137,42082,369580,0.1037,0.0,3,spy,signal,42082,0,3933704.869302648,364
2010-05-14,2011-08-09,41.220631,45.012821,83109,315165,0.092,0.0,3,qqq,signal,83109,0,3740970.5572770177,452
2010-01-22,2011-08-11,107.584024,171.763159,2175,139590,0.5965,0.0,0,gld,rebalance,12235,10060,373584.870831525,566
2010-01-22,2011-08-11,58.496119,71.446808,2456,31807,0.2214,0.0,0,tlt,rebalance,26624,24168,175473.35951717602,566
2010-01-22,2011-10-04,58.496119,83.24281,2774,68647,0.423,0.0,0,tlt,rebalance,24168,21394,230915.55530061998,620
2010-01-22,2011-10-17,112.368527,163.508,266,13603,0.4551,0.0,0,gld,rebalance,11041,10775,43493.128000000004,633
2010-01-22,2012-01-09,59.788593,79.952005,1070,21575,0.3372,0.0,0,tlt,rebalance,23004,21934,85548.64561857001,717
2012-01-09,2012-04-03,100.00077,110.477183,325,3405,0.1048,0.0,3,spy,rebalance,41141,40816,35905.0845283,85
2011-10-17,2012-04-03,51.164015,60.322618,5570,51013,0.179,0.0,3,qqq,rebalance,80484,74914,335996.9800877,169
2010-01-22,2012-06-04,117.041258,156.788215,259,10294,0.3396,0.0,0,gld,rebalance,11909,11650,40608.147688885,864
2010-01-22,2012-06-04,62.10139,88.297818,4775,125088,0.4218,0.0,0,tlt,rebalance,25275,20500,421622.083208575,864
2012-01-09,2012-10-02,100.033492,114.227756,1235,17530,0.1419,0.0,3,spy,rebalance,42693,41458,141071.27815365,267
2011-10-17,2012-10-02,51.332428,61.041994,2374,23051,0.1892,0.0,3,qqq,rebalance,79989,77615,144913.693725138,351
2012-01-09,2013-03-04,100.033492,120.467534,2598,53088,0.2043,0.0,3,spy,rebalance,41458,38860,312974.653144944,420
2012-01-09,2013-06-04,100.033492,131.113459,1547,48081,0.3107,0.0,3,spy,rebalance,38860,37313,202832.521151897,512
2011-10-17,2013-06-04,51.381981,65.782509,3561,51280,0.2803,0.0,3,qqq,rebalance,78046,74485,234251.51330265004,596
2012-01-09,2013-10-02,100.033492,135.59909,629,22371,0.3555,0.0,3,spy,rebalance,37313,36684,85291.82740054301,632
2011-10-17,2013-10-02,51.381981,71.238689,4760,94518,0.3865,0.0,3,qqq,rebalance,74485,69725,339096.15895456,716
2012-01-09,2014-01-03,100.033492,148.385596,1133,54783,0.4834,0.0,3,spy,rebalance,36684,35551,168120.87995529198,725
2011-10-17,2014-01-03,51.381981,78.806518,2905,79668,0.5337,0.0,3,qqq,rebalance,69725,66820,228932.93494396503,809
2011-10-17,2014-11-04,51.381981,92.605719,3034,125073,0.8023,0.0,3,qqq,rebalance,66820,63786,280965.751094056,1114
