Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct
2010-01-21,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0
2010-01-22,9997021,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1502951,0.1503,buy,135401,11.078135,0,2961,1494050,0.1494,buy,102997,14.563431,0,-5940,-0.03
2010-01-25,9989704,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1511414,0.1513,buy,135401,11.078135,0,11423,1478271,0.148,buy,102997,14.563431,0,-21719,-0.1
2010-01-26,9983890,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1511414,0.1514,buy,135401,11.078135,0,11423,1472457,0.1475,buy,102997,14.563431,0,-27533,-0.16
2010-01-27,9964984,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1483995,0.1489,buy,135401,11.078135,0,-15996,1480970,0.1486,buy,102997,14.563431,0,-19020,-0.35
2010-01-28,9957347,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1481964,0.1488,buy,135401,11.078135,0,-18027,1475363,0.1482,buy,102997,14.563431,0,-24626,-0.43
2010-01-29,9969836,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1468085,0.1473,buy,135401,11.078135,0,-31905,1501731,0.1506,buy,102997,14.563431,0,1742,-0.3
2010-02-01,10011553,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1534093,0.1532,buy,135401,11.078135,0,34103,1477440,0.1476,buy,102997,14.563431,0,-22549,0.0
2010-02-02,10038669,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1556434,0.155,buy,135401,11.078135,0,56444,1482215,0.1477,buy,102997,14.563431,0,-17775,0.0
2010-02-03,9990195,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1542217,0.1544,buy,135401,11.078135,0,42227,1447958,0.1449,buy,102997,14.563431,0,-52032,-0.48
2010-02-04,9914349,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1420695,0.1433,buy,135401,11.078135,0,-79296,1493635,0.1507,buy,102997,14.563431,0,-6355,-1.24
2010-02-05,9925709,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1426450,0.1437,buy,135401,11.078135,0,-73541,1499240,0.151,buy,102997,14.563431,0,-750,-1.13
2010-02-08,9917590,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1411894,0.1424,buy,135401,11.078135,0,-88097,1505677,0.1518,buy,102997,14.563431,0,5687,-1.21
2010-02-09,9924774,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1449806,0.1461,buy,135401,11.078135,0,-50184,1474948,0.1486,buy,102997,14.563431,0,-25041,-1.13
2010-02-10,9886721,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1439990,0.1456,buy,135401,11.078135,0,-60001,1446712,0.1463,buy,102997,14.563431,0,-53278,-1.51
2010-02-11,9927188,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1496858,0.1508,buy,135401,11.078135,0,-3133,1430310,0.1441,buy,102997,14.563431,0,-69680,-1.11
2010-02-12,9933998,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1492458,0.1502,buy,135401,11.078135,0,-7533,1441521,0.1451,buy,102997,14.563431,0,-58469,-1.04
2010-02-16,10008790,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1561851,0.156,buy,135401,11.078135,0,61860,1446920,0.1446,buy,102997,14.563431,0,-53070,-0.3
2010-02-17,9968583,7000020,False,,0,0.0,buy,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1552372,0.1557,buy,135401,11.078135,0,52382,1416191,0.1421,buy,102997,14.563431,0,-83799,-0.7
2010-02-18,10015274,3489000,True,daily,3531103,0.3526,buy,1635474,2.133329,0,42099,0,0.0,sell,0,0.0,0,0,1514071,0.1512,buy,130439,11.078135,2108,69050,1481101,0.1479,buy,108738,14.521906,0,-97982,-0.23
2010-02-19,10037421,3489000,False,,3549865,0.3537,buy,1635474,2.133329,0,60861,0,0.0,sell,0,0.0,0,0,1502331,0.1497,buy,130439,11.078135,2108,57310,1496225,0.1491,buy,108738,14.521906,0,-82858,-0.01
2010-02-22,10013048,3489000,False,,3546112,0.3541,buy,1635474,2.133329,0,57108,0,0.0,sell,0,0.0,0,0,1490918,0.1489,buy,130439,11.078135,2108,45897,1487019,0.1485,buy,108738,14.521906,0,-92064,-0.26
2010-02-23,9940139,3489000,False,,3462619,0.3483,buy,1635474,2.133329,0,-26385,0,0.0,sell,0,0.0,0,0,1457004,0.1466,buy,130439,11.078135,2108,11983,1531516,0.1541,buy,108738,14.521906,0,-47567,-0.98
2010-02-24,9991135,3489000,False,,3521720,0.3525,buy,1635474,2.133329,0,32716,0,0.0,sell,0,0.0,0,0,1442981,0.1444,buy,130439,11.078135,2108,-2039,1537433,0.1539,buy,108738,14.521906,0,-41650,-0.47
2010-02-25,10030114,3489000,False,,3516092,0.3506,buy,1635474,2.133329,0,27089,0,0.0,sell,0,0.0,0,0,1469395,0.1465,buy,130439,11.078135,2108,24374,1555626,0.1551,buy,108738,14.521906,0,-23457,-0.09
2010-02-26,10078413,3489000,False,,3520783,0.3493,buy,1635474,2.133329,0,31779,0,0.0,sell,0,0.0,0,0,1497440,0.1486,buy,130439,11.078135,2108,52419,1571190,0.1559,buy,108738,14.521906,0,-7893,0.0
2010-03-01,10151828,3489000,False,,3591141,0.3537,buy,1635474,2.133329,0,102137,0,0.0,sell,0,0.0,0,0,1498744,0.1476,buy,130439,11.078135,2108,53723,1572943,0.1549,buy,108738,14.521906,0,-6140,0.0
2010-03-02,10208742,3489000,False,,3608966,0.3535,buy,1635474,2.133329,0,119962,0,0.0,sell,0,0.0,0,0,1543093,0.1512,buy,130439,11.078135,2108,98073,1567682,0.1536,buy,108738,14.521906,0,-11401,0.0
2010-03-03,10226475,3489000,False,,3617408,0.3537,buy,1635474,2.133329,0,128405,0,0.0,sell,0,0.0,0,0,1559398,0.1525,buy,130439,11.078135,2108,114377,1560669,0.1526,buy,108738,14.521906,0,-18414,0.0
2010-03-04,10238120,3489000,False,,3637109,0.3553,buy,1635474,2.133329,0,148106,0,0.0,sell,0,0.0,0,0,1539506,0.1504,buy,130439,11.078135,2108,94485,1572505,0.1536,buy,108738,14.521906,0,-6578,0.0
2010-03-05,10303328,3489000,False,,3744055,0.3634,buy,1635474,2.133329,0,255051,0,0.0,sell,0,0.0,0,0,1537224,0.1492,buy,130439,11.078135,2108,92203,1533050,0.1488,buy,108738,14.521906,0,-46033,0.0
2010-03-08,10259675,3489000,False,,3744993,0.365,buy,1635474,2.133329,0,255990,0,0.0,sell,0,0.0,0,0,1508853,0.1471,buy,130439,11.078135,2108,63832,1516829,0.1478,buy,108738,14.521906,0,-62254,-0.42
2010-03-09,10270197,3489000,False,,3756252,0.3657,buy,1635474,2.133329,0,267248,0,0.0,sell,0,0.0,0,0,1505266,0.1466,buy,130439,11.078135,2108,60245,1519679,0.148,buy,108738,14.521906,0,-59404,-0.32
2010-03-10,10260584,3489000,False,,3789086,0.3693,buy,1635474,2.133329,0,300082,0,0.0,sell,0,0.0,0,0,1469395,0.1432,buy,130439,11.078135,2108,24374,1513103,0.1475,buy,108738,14.521906,0,-65980,-0.41
2010-03-11,10305224,3489000,False,,3821921,0.3709,buy,1635474,2.133329,0,332917,0,0.0,sell,0,0.0,0,0,1473309,0.143,buy,130439,11.078135,2108,28288,1520994,0.1476,buy,108738,14.521906,0,-58089,0.0
2010-03-12,10307550,3489000,False,,3821921,0.3708,buy,1635474,2.133329,0,332917,0,0.0,sell,0,0.0,0,0,1457004,0.1414,buy,130439,11.078135,2108,11983,1539626,0.1494,buy,108738,14.521906,0,-39457,0.0
2010-03-15,10320793,3489000,False,,3824734,0.3706,buy,1635474,2.133329,0,335730,0,0.0,sell,0,0.0,0,0,1468091,0.1422,buy,130439,11.078135,2108,23070,1538968,0.1491,buy,108738,14.521906,0,-40115,0.0
