date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2010-05-04,sso,1638986,1482246,38.6,33.91,4186722,3605384,-156740,-581338,monthly
2010-05-04,qld,0,0,0.0,0.0,0,0,0,0,monthly
2010-05-04,ugl,130695,127676,15.36,15.08,1666034,1603291,-3019,-62743,monthly
2010-05-04,ubt,0,0,0.0,0.0,0,0,0,0,monthly
2010-05-04,cash,0,0,46.05,51.01,4994998,5423863,0,428865,monthly
2010-05-10,sso,1482246,1650317,31.17,36.78,3224700,3905858,168071,681158,daily
2010-05-10,qld,0,0,0.0,0.0,0,0,0,0,daily
2010-05-10,ugl,127676,116485,16.41,14.42,1698409,1531195,-11191,-167214,daily
2010-05-10,ubt,0,101918,0.0,14.69,0,1560140,101918,1560140,daily
2010-05-10,cash,0,0,52.42,34.1,5423863,3621446,0,-1802417,daily
2010-05-14,sso,1650317,1581941,36.48,34.3,3893505,3598276,-68376,-295229,daily
2010-05-14,qld,0,3868979,0.0,34.67,0,3637590,3868979,3637590,daily
2010-05-14,ugl,116485,115923,15.07,15.22,1608657,1596839,-562,-11818,daily
2010-05-14,ubt,101918,105305,14.51,15.82,1548010,1659362,3387,111352,daily
2010-05-14,cash,0,0,33.94,0.0,3621446,16,0,-3621430,daily
2010-05-21,sso,1581941,1681065,32.99,35.45,3199279,3499451,99124,300172,daily
2010-05-21,qld,3868979,4054084,33.45,35.14,3243922,3469108,185105,225186,daily
2010-05-21,ugl,115923,114248,15.22,14.56,1475699,1437811,-1675,-37888,daily
2010-05-21,ubt,105305,86531,18.35,14.85,1779390,1466171,-18774,-313219,daily
2010-05-21,cash,0,0,0.0,0.0,16,0,0,-16,daily
2010-07-01,sso,1681065,0,33.15,0.0,3124741,0,-1681065,-3124741,
2010-07-01,qld,4054084,4054084,33.25,33.54,3134029,3115450,0,-18579,
2010-07-01,ugl,114248,114248,16.92,15.86,1594616,1473227,0,-121389,
2010-07-01,ubt,86531,86531,16.68,17.0,1572656,1579290,0,6634,
2010-07-01,cash,0,0,0.0,33.6,0,3121172,0,3121172,
2010-07-02,sso,0,0,0.0,0.0,0,0,0,0,monthly
2010-07-02,qld,4054084,4229714,33.54,34.83,3115450,3231674,175630,116224,monthly
2010-07-02,ugl,114248,108168,15.86,15.4,1473227,1429169,-6080,-44058,monthly
2010-07-02,ubt,86531,76206,17.0,14.72,1579290,1365941,-10325,-213349,monthly
2010-07-02,cash,0,0,33.6,35.04,3121172,3251177,0,130005,monthly
2010-08-03,sso,0,0,0.0,0.0,0,0,0,0,monthly
2010-08-03,qld,4229714,3739607,39.56,34.72,3881113,3404545,-490107,-476568,monthly
2010-08-03,ugl,108168,117489,13.8,15.11,1353722,1481830,9321,128108,monthly
2010-08-03,ubt,76206,84611,13.5,15.15,1323972,1485188,8405,161216,monthly
2010-08-03,cash,0,0,33.14,35.02,3251177,3433504,0,182327,monthly
2010-08-06,sso,0,1586080,0.0,35.06,0,3487299,1586080,3487299,daily
2010-08-06,qld,3739607,3738887,35.01,34.63,3457109,3445017,-720,-12092,daily
2010-08-06,ugl,117489,115531,15.26,15.11,1506796,1503058,-1958,-3738,daily
2010-08-06,ubt,84611,84787,14.97,15.2,1478190,1512395,176,34205,daily
2010-08-06,cash,0,0,34.77,0.0,3433504,17,0,-3433487,daily
2010-08-25,sso,1586080,1698203,32.71,34.87,3069004,3308498,112123,239494,daily
2010-08-25,qld,3738887,4101811,31.94,35.26,2996613,3345765,362924,349152,daily
2010-08-25,ugl,115531,103991,16.68,15.1,1565445,1432736,-11540,-132709,daily
2010-08-25,ubt,84787,68361,18.67,14.77,1752032,1401159,-16426,-350873,daily
2010-08-25,cash,0,0,0.0,0.0,17,1,0,-16,daily
2010-09-17,sso,1698203,1655861,35.9,34.96,3759301,3673214,-42342,-86087,daily
2010-09-17,qld,4101811,3808175,37.73,35.13,3950499,3691545,-293636,-258954,daily
2010-09-17,ugl,103991,108375,14.39,14.94,1506569,1569540,4384,62971,daily
2010-09-17,ubt,68361,85415,11.98,14.97,1254700,1572706,17054,318006,daily
2010-09-17,cash,0,0,0.0,0.0,1,11,0,10,daily
2010-11-02,sso,1655861,1669205,34.72,34.92,4061820,4158320,13344,96500,monthly
2010-11-02,qld,3808175,3582355,37.24,35.14,4357131,4184688,-225820,-172443,monthly
2010-11-02,ugl,108375,108686,14.96,14.87,1749985,1771038,311,21053,monthly
2010-11-02,ubt,85415,97664,13.09,15.07,1531520,1794313,12249,262793,monthly
2010-11-02,cash,0,0,0.0,0.0,11,21,0,10,monthly
2010-12-16,sso,1669205,1669205,36.85,36.98,4474252,4520627,0,46375,
2010-12-16,qld,3582355,3582355,36.16,36.43,4391021,4453411,0,62390,
2010-12-16,ugl,108686,108686,14.98,14.66,1818860,1792503,0,-26357,
2010-12-16,ubt,97664,0,12.02,0.0,1459061,0,-97664,-1459061,
2010-12-16,cash,0,0,0.0,11.93,21,1458046,0,1458025,
2011-02-02,sso,1669205,1520978,38.38,34.95,5003780,4539186,-148227,-464594,monthly
2011-02-02,qld,3582355,3352064,37.39,35.01,4874288,4546608,-230291,-327680,monthly
2011-02-02,ugl,108686,124961,13.05,14.98,1701751,1945017,16275,243266,monthly
2011-02-02,ubt,0,0,0.0,0.0,0,0,0,0,monthly
2011-02-02,cash,0,0,11.18,15.06,1458046,1955690,0,497644,monthly
2011-03-02,sso,1520978,1549272,34.36,34.99,4561201,4665782,28294,104581,monthly
2011-03-02,qld,3352064,3443155,34.07,35.18,4523050,4691202,91091,168152,monthly
2011-03-02,ugl,124961,111359,16.83,14.91,2234615,1988314,-13602,-246301,monthly
2011-03-02,ubt,0,0,0.0,0.0,0,0,0,0,monthly
2011-03-02,cash,0,0,14.73,14.93,1955690,1991179,0,35489,monthly
