entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2010-02-18,2010-05-04,2.133328,2.488235,156740,55628,0.1664,0.0,3,sso,rebalance,1638986,1482246,390005.92788116,75
2010-02-16,2010-05-04,11.542192,12.87127,3019,4012,0.1151,0.0,3,ugl,rebalance,130695,127676,38858.36413,77
2010-02-16,2010-05-10,11.542192,13.078148,11191,17189,0.1331,0.0,3,ugl,rebalance,127676,116485,146357.5486725,83
2010-02-16,2010-05-14,11.542192,14.072655,562,1422,0.2192,0.0,3,ugl,rebalance,116485,115923,7908.83211,87
2010-02-18,2010-05-14,2.156468,2.317147,68376,10987,0.0745,0.0,3,sso,rebalance,1650317,1581941,158437.218861768,85
2010-05-10,2010-05-21,15.239075,17.291301,18774,38528,0.1347,0.0,3,ubt,rebalance,105305,86531,324626.885105418,11
2010-02-16,2010-05-21,11.542192,12.504873,1675,1612,0.0834,0.0,3,ugl,rebalance,115923,114248,20945.661437500003,94
2010-02-18,2010-07-01,2.145377,1.856663,1681065,-485347,-0.1346,0.0,3,sso,signal,1681065,0,3121171.60636125,133
2010-05-10,2010-07-02,15.239075,18.005317,10325,28561,0.1815,0.0,3,ubt,rebalance,86531,76206,185904.89301737497,53
2010-02-16,2010-07-02,11.542192,13.132982,6080,9672,0.1378,0.0,3,ugl,rebalance,114248,108168,79848.5336,136
2010-05-14,2010-08-03,0.950722,0.913307,490107,-18338,-0.0394,0.0,3,qld,rebalance,4229714,3739607,447618.072981345,81
2010-05-14,2010-08-06,0.950722,0.900969,720,-36,-0.0523,0.0,3,qld,rebalance,3739607,3738887,648.6976512,84
2010-02-16,2010-08-06,11.628913,12.995895,1958,2677,0.1176,0.0,3,ugl,rebalance,117489,115531,25445.96241,171
2010-05-10,2010-08-25,15.473561,20.976031,16426,90384,0.3556,0.0,3,ubt,rebalance,84787,68361,344552.277912856,107
2010-02-16,2010-08-25,11.628913,13.68881,11540,23771,0.1771,0.0,3,ugl,rebalance,115531,103991,157968.8674,190
2010-08-06,2010-09-17,2.162006,2.230067,42342,2882,0.0315,0.0,3,sso,rebalance,1698203,1655861,94425.482898798,42
2010-05-14,2010-09-17,0.936686,0.972712,293636,10579,0.0385,0.0,3,qld,rebalance,4101811,3808175,285623.285203788,126
2010-05-14,2010-11-02,0.936686,1.160064,225820,50443,0.2385,0.0,3,qld,rebalance,3808175,3582355,261965.7281297,172
2010-05-10,2010-12-16,16.354788,14.928991,97664,-139249,-0.0872,0.0,3,ubt,signal,97664,0,1458025.0025143041,220
2010-08-06,2011-02-02,2.164697,2.971971,148227,119660,0.3729,0.0,3,sso,rebalance,1669205,1520978,440526.383659566,180
2010-05-14,2011-02-02,0.936686,1.350616,230291,95324,0.4419,0.0,3,qld,rebalance,3582355,3352064,311034.70004436,264
2010-02-16,2011-03-02,12.262915,17.896151,13602,76623,0.4594,0.0,3,ugl,rebalance,124961,111359,243423.445861194,379
2010-02-16,2011-05-27,12.262915,19.997328,8008,61937,0.6307,0.0,3,ugl,rebalance,111359,103351,160138.606603976,465
2010-08-06,2011-05-27,2.179958,3.108336,5013,4654,0.4259,0.0,3,sso,rebalance,1549272,1544259,15582.088032128999,294
2011-05-27,2011-08-02,17.215216,18.584203,6061,8297,0.0795,0.0,3,ubt,rebalance,119163,113102,112638.852146491,67
