Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,ugl_value,ugl_weight,ugl_signal,ugl_shares,ugl_avg_price,ugl_realized_pnl,ugl_unrealized_pnl,ubt_value,ubt_weight,ubt_signal,ubt_shares,ubt_avg_price,ubt_realized_pnl,ubt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,ugl_current_price,ugl_return_pct,ugl_contribution,ubt_current_price,ubt_return_pct,ubt_contribution,total_pnl,total_return_pct
2010-01-21,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2010-01-22,9997021,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1502951,0.1503,buy,135401,11.078135,0,2961,1494049,0.1494,buy,102997,14.563427,0,-5940,-0.03,0.0,0.0,0,0.0,0.0,0,11.1,0.19737076683035149,2961,14.505756000000002,-0.39599609748461884,-5940,-2979.3560261949897,-0.0297935602619499
2010-01-25,9989704,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1511414,0.1513,buy,135401,11.078135,0,11423,1478270,0.148,buy,102997,14.563427,0,-21719,-0.1,0.0,0.0,0,0.0,0.0,0,11.1625,0.7615451517787308,11423,14.352556,-1.4479463300588802,-21719,-10295.933926196769,-0.10295933926196768
2010-01-26,9983891,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1511414,0.1514,buy,135401,11.078135,0,11423,1472457,0.1475,buy,102997,14.563427,0,-27532,-0.16,0.0,0.0,0,0.0,0.0,0,11.1625,0.7615451517787308,11423,14.296117,-1.8354856197211333,-27532,-16108.98160919547,-0.16108981609195472
2010-01-27,9964985,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1483995,0.1489,buy,135401,11.078135,0,-15996,1480969,0.1486,buy,102997,14.563427,0,-19020,-0.35,0.0,0.0,0,0.0,0.0,0,10.96,-1.0663798554539805,-15996,14.378763,-1.2679955484330763,-19020,-35015.394047196954,-0.3501539404719695
2010-01-28,9957348,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1481964,0.1488,buy,135401,11.078135,0,-18027,1475364,0.1482,buy,102997,14.563427,0,-24626,-0.43,0.0,0.0,0,0.0,0.0,0,10.945,-1.2017817078415982,-18027,14.324337,-1.6417125416320677,-24626,-42652.12376919575,-0.42652123769195754
2010-01-29,9969837,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1468085,0.1473,buy,135401,11.078135,0,-31905,1501732,0.1506,buy,102997,14.563427,0,1742,-0.3,0.0,0.0,0,0.0,0.0,0,10.8425,-2.127027699156925,-31905,14.580344,0.11616358885511158,1742,-30162.773290196434,-0.3016277329019644
2010-02-01,10011554,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1534093,0.1532,buy,135401,11.078135,0,34103,1477440,0.1476,buy,102997,14.563427,0,-22549,0.0,0.0,0.0,0,0.0,0.0,0,11.33,2.2735325034403564,34103,14.344496,-1.503290448038963,-22549,11553.577753804624,0.11553577753804624
2010-02-02,10038670,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1556434,0.155,buy,135401,11.078135,0,56444,1482215,0.1477,buy,102997,14.563427,0,-17774,0.0,0.0,0.0,0,0.0,0.0,0,11.495,3.7629528797040512,56444,14.390857,-1.184951905399434,-17774,38669.786670804024,0.38669786670804024
2010-02-03,9990195,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1542217,0.1544,buy,135401,11.078135,0,42227,1447957,0.1449,buy,102997,14.563427,0,-52032,-0.48,0.0,0.0,0,0.0,0.0,0,11.39,2.815139912990805,42227,14.058248,-3.4688168852054946,-52032,-9805.047502195463,-0.09805047502195463
2010-02-04,9914350,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1420695,0.1433,buy,135401,11.078135,0,-79296,1493635,0.1507,buy,102997,14.563427,0,-6355,-1.24,0.0,0.0,0,0.0,0.0,0,10.4925,-5.286404254867794,-79296,14.501729,-0.4236475569270426,-6355,-85650.23244519532,-0.8565023244519531
2010-02-05,9925710,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1426450,0.1437,buy,135401,11.078135,0,-73541,1499240,0.151,buy,102997,14.563427,0,-749,-1.13,0.0,0.0,0,0.0,0.0,0,10.535,-4.902765673102893,-73541,14.556156000000001,-0.04992369721215084,-749,-74289.87222619727,-0.7428987222619727
2010-02-08,9917590,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1411894,0.1424,buy,135401,11.078135,0,-88097,1505676,0.1518,buy,102997,14.563427,0,5687,-1.21,0.0,0.0,0,0.0,0.0,0,10.4275,-5.873145615214092,-88097,14.61864,0.37912368093515614,5687,-82409.81517819688,-0.8240981517819688
2010-02-09,9924775,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1449806,0.1461,buy,135401,11.078135,0,-50184,1474948,0.1486,buy,102997,14.563427,0,-25041,-1.13,0.0,0.0,0,0.0,0.0,0,10.7075,-3.3456443706454064,-50184,14.320304,-1.669405200169749,-25041,-75225.24817019701,-0.7522524817019701
2010-02-10,9886722,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1439990,0.1456,buy,135401,11.078135,0,-60001,1446712,0.1463,buy,102997,14.563427,0,-53277,-1.51,0.0,0.0,0,0.0,0.0,0,10.635,-4.000086657185509,-60001,14.046157,-3.5518399286915137,-53277,-113278.13922919706,-1.1327813922919705
2010-02-11,9927188,7000020,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1496858,0.1508,buy,135401,11.078135,0,-3133,1430309,0.1441,buy,102997,14.563427,0,-69680,-1.11,0.0,0.0,0,0.0,0.0,0,11.055,-0.20883479033246832,-3133,13.886904,-4.645353181877853,-69680,-72812.30047019571,-0.7281230047019571
