date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2010-02-18,sso,0,1635474,0.0,35.26,0,3531101,1635474,3531101,daily
2010-02-18,qld,0,0,0.0,0.0,0,0,0,0,daily
2010-02-18,ugl,135401,130439,15.57,15.12,1552372,1514070,-4962,-38302,daily
2010-02-18,ubt,102997,108738,14.21,14.79,1416191,1481100,5741,64909,daily
2010-02-18,cash,0,0,70.22,34.84,7000020,3489001,0,-3511019,daily
2010-05-14,sso,1635474,1601671,35.73,34.29,3858483,3643156,-33803,-215327,daily
2010-05-14,qld,0,3915677,0.0,34.65,0,3681496,3915677,3681496,daily
2010-05-14,ugl,130439,117557,16.68,15.24,1801362,1619347,-12882,-182015,daily
2010-05-14,ubt,108738,106700,15.29,15.82,1651597,1681344,-2038,29747,daily
2010-05-14,cash,0,0,32.3,0.0,3489001,0,0,-3489001,daily
2010-05-21,sso,1601671,1702470,32.98,35.45,3239180,3544009,100799,304829,daily
2010-05-21,qld,3915677,4105755,33.43,35.14,3283075,3513327,190078,230252,daily
2010-05-21,ugl,117557,115699,15.24,14.56,1496500,1456071,-1858,-40429,daily
2010-05-21,ubt,106700,87633,18.36,14.85,1802962,1484844,-19067,-318118,daily
2010-05-21,cash,0,0,0.0,0.0,0,0,0,0,daily
2010-07-01,sso,1702470,0,33.15,0.0,3164530,0,-1702470,-3164530,
2010-07-01,qld,4105755,4105755,33.25,33.54,3173974,3155157,0,-18817,
2010-07-01,ugl,115699,115699,16.92,15.86,1614868,1491938,0,-122930,
2010-07-01,ubt,87633,87633,16.68,17.0,1592684,1599403,0,6719,
2010-07-01,cash,0,0,0.0,33.6,0,3160913,0,3160913,
2010-07-02,sso,0,0,0.0,0.0,0,0,0,0,monthly
2010-07-02,qld,4105755,4283569,33.54,34.83,3155157,3272822,177814,117665,monthly
2010-07-02,ugl,115699,109545,15.86,15.4,1491938,1447363,-6154,-44575,monthly
2010-07-02,ubt,87633,77176,17.0,14.72,1599403,1383328,-10457,-216075,monthly
2010-07-02,cash,0,0,33.6,35.04,3160913,3292579,0,131666,monthly
2010-08-03,sso,0,0,0.0,0.0,0,0,0,0,monthly
2010-08-03,qld,4283569,3787221,39.56,34.72,3930530,3447893,-496348,-482637,monthly
2010-08-03,ugl,109545,118985,13.8,15.11,1370955,1500698,9440,129743,monthly
2010-08-03,ubt,77176,85688,13.5,15.15,1340824,1504093,8512,163269,monthly
2010-08-03,cash,0,0,33.14,35.02,3292579,3477224,0,184645,monthly
2010-08-06,sso,0,1606279,0.0,35.06,0,3531709,1606279,3531709,daily
2010-08-06,qld,3787221,3786492,35.01,34.63,3501126,3488885,-729,-12241,daily
2010-08-06,ugl,118985,117002,15.26,15.11,1525982,1522196,-1983,-3786,daily
2010-08-06,ubt,85688,85867,14.97,15.2,1497006,1531660,179,34654,daily
2010-08-06,cash,0,0,34.77,0.0,3477224,1,0,-3477223,daily
2010-08-25,sso,1606279,1719828,32.71,34.87,3108088,3350630,113549,242542,daily
2010-08-25,qld,3786492,4154044,31.94,35.26,3034767,3388370,367552,353603,daily
2010-08-25,ugl,117002,105315,16.68,15.1,1585377,1450977,-11687,-134400,daily
2010-08-25,ubt,85867,69231,18.67,14.77,1774349,1418992,-16636,-355357,daily
2010-08-25,cash,0,0,0.0,0.0,1,1,0,0,daily
2010-09-17,sso,1719828,1676945,35.9,34.96,3807172,3719985,-42883,-87187,daily
2010-09-17,qld,4154044,3856664,37.73,35.13,4000805,3738549,-297380,-262256,daily
2010-09-17,ugl,105315,109755,14.39,14.94,1525751,1589526,4440,63775,daily
2010-09-17,ubt,69231,86503,11.98,14.97,1270668,1592739,17272,322071,daily
2010-09-17,cash,0,0,0.0,0.0,1,2,0,1,daily
2010-11-02,sso,1676945,1690458,34.72,34.92,4113541,4211265,13513,97724,monthly
2010-11-02,qld,3856664,3627969,37.24,35.14,4412609,4237972,-228695,-174637,monthly
2010-11-02,ugl,109755,110070,14.96,14.87,1772268,1793590,315,21322,monthly
2010-11-02,ubt,86503,98908,13.09,15.07,1551029,1817167,12405,266138,monthly
2010-11-02,cash,0,0,0.0,0.0,2,12,0,10,monthly
2010-12-29,sso,1690458,1593551,37.13,34.78,4701471,4438414,-96907,-263057,daily
2010-12-29,qld,3627969,3535355,35.92,34.87,4548362,4450075,-92614,-98287,daily
2010-12-29,ugl,110070,109714,15.05,14.99,1905586,1913137,-356,7551,daily
2010-12-29,ubt,98908,124456,11.9,15.36,1507366,1960137,25548,452771,daily
2010-12-29,cash,0,0,0.0,0.0,12,9,0,-3,daily
2011-02-02,sso,1593551,1536608,36.29,34.97,4776991,4585832,-56943,-191159,monthly
2011-02-02,qld,3535355,3385361,36.54,35.01,4810341,4591771,-149994,-218570,monthly
2011-02-02,ugl,109714,126180,13.05,14.98,1717846,1963991,16466,246145,monthly
2011-02-02,ubt,124456,132071,14.13,15.04,1859831,1972822,7615,112991,monthly
2011-02-02,cash,0,0,0.0,0.0,9,16,0,7,monthly
2011-03-02,sso,1536608,1575663,34.13,35.15,4608073,4745260,39055,137187,monthly
2011-03-02,qld,3385361,3501793,33.83,35.34,4567975,4771094,116432,203119,monthly
2011-03-02,ugl,126180,113256,16.71,14.98,2256413,2022185,-12924,-234228,monthly
2011-03-02,ubt,132071,129272,15.32,14.54,2068272,1963030,-2799,-105242,monthly
2011-03-02,cash,0,0,0.0,0.0,16,2,0,-14,monthly
2011-08-02,sso,1575663,1723373,32.03,33.89,4592496,4767764,147710,175268,monthly
2011-08-02,qld,3501793,3632433,33.75,33.83,4839036,4760405,130640,-78631,monthly
2011-08-02,ugl,113256,96717,17.62,16.08,2526175,2262935,-16539,-263240,monthly
2011-08-02,ubt,129272,116930,16.6,16.2,2380031,2279084,-12342,-100947,monthly
2011-08-02,cash,0,0,0.0,0.0,2,0,0,-2,monthly
2011-08-05,sso,1723373,0,32.47,0.0,4367364,0,-1723373,-4367364,daily
2011-08-05,qld,3632433,3879705,32.72,34.65,4400790,4636945,247272,236155,daily
2011-08-05,ugl,96717,87345,16.63,15.32,2236580,2049987,-9372,-186593,daily
2011-08-05,ubt,116930,95630,18.19,14.12,2446507,1889942,-21300,-556565,daily
2011-08-05,cash,0,0,0.0,35.9,0,4804591,0,4804591,daily
2011-08-09,sso,0,0,0.0,0.0,0,0,0,0,
2011-08-09,qld,3879705,0,31.26,0.0,4094004,0,-3879705,-4094004,
2011-08-09,ugl,87345,87345,16.68,16.83,2184716,2228389,0,43673,
2011-08-09,ubt,95630,95630,15.36,15.29,2011414,2024323,0,12909,
2011-08-09,cash,0,0,36.69,67.87,4804591,8985003,0,4180412,
2011-08-19,sso,0,0,0.0,0.0,0,0,0,0,daily
2011-08-19,qld,0,0,0.0,0.0,0,0,0,0,daily
2011-08-19,ugl,87345,73088,18.07,15.39,2463784,2114984,-14257,-348800,daily
2011-08-19,ubt,95630,89516,16.03,15.15,2185698,2081845,-6114,-103853,daily
2011-08-19,cash,0,0,65.9,69.46,8985003,9544130,0,559127,daily
2011-09-23,sso,0,0,0.0,0.0,0,0,0,0,daily
2011-09-23,qld,0,0,0.0,0.0,0,0,0,0,daily
2011-09-23,ugl,73088,83450,13.22,13.74,1841817,1873452,10362,31635,daily
2011-09-23,ubt,89516,73475,18.27,14.77,2545358,2014052,-16041,-531306,daily
2011-09-23,cash,0,0,68.51,71.5,9544130,9751891,0,207761,daily
2011-12-20,sso,0,0,0.0,0.0,0,0,0,0,daily
2011-12-20,qld,3486721,3846638,31.62,36.38,4115052,4804289,359917,689237,daily
2011-12-20,ugl,86839,94628,13.73,15.16,1787146,2002565,7789,215419,daily
2011-12-20,ubt,82883,67329,18.37,13.97,2390335,1844479,-15554,-545856,daily
2011-12-20,cash,0,0,36.28,34.49,4720496,4554562,0,-165934,daily
2012-01-09,sso,0,1675470,0.0,35.06,0,4696778,1675470,4696778,daily
2012-01-09,qld,3846638,3538596,38.06,34.97,5122225,4685002,-308042,-437223,daily
2012-01-09,ugl,94628,95757,14.82,14.93,1994994,2000363,1129,5369,daily
2012-01-09,ubt,67329,76005,13.28,15.04,1787847,2015273,8676,227426,daily
2012-01-09,cash,0,0,33.84,0.0,4554562,39,0,-4554523,daily
2012-03-02,sso,1675470,1679665,34.91,34.83,5429187,5409539,4195,-19648,monthly
2012-03-02,qld,3538596,3247848,38.12,34.99,5927342,5434367,-290748,-492975,monthly
2012-03-02,ugl,95757,99312,14.46,14.95,2249331,2321418,3555,72087,monthly
2012-03-02,ubt,76005,90993,12.51,15.23,1944965,2364449,14988,419484,monthly
2012-03-02,cash,0,0,0.0,0.0,39,23,0,-16,monthly
2012-04-03,sso,1679665,1644175,35.75,35.22,5802521,5640588,-35490,-161933,monthly
