Date,Open,High,Low,Close,Volume,ma_200,open_pct,high_pct,low_pct,close_pct,upper_band,lower_band
2010-01-21,39.969646,40.230034,39.318674,39.483589,204939600,35.421877,,,,,36.484533,33.650783
2010-01-22,39.3534,39.474914,38.22505,38.329205,171098700,35.450805,-0.33,-0.02,-3.19,-2.92,36.514329,33.678265
2010-01-25,38.563543,38.711095,38.294474,38.459389,154218700,35.480741,0.61,1.0,-0.09,0.34,36.545164,33.706704
2010-01-26,38.415982,38.962799,38.233711,38.494099,140816500,35.510725,-0.11,1.31,-0.59,0.09,36.576047,33.735189
2010-01-27,38.424673,38.92809,38.199002,38.797897,161632700,35.543433,-0.18,1.13,-0.77,0.79,36.609736,33.766262
2010-01-28,38.537513,38.563551,37.600113,37.799744,221439800,35.565884,-0.67,-0.6,-3.09,-2.57,36.632861,33.78759
2010-01-29,38.112219,38.207695,37.001229,37.140102,212099600,35.581548,0.83,1.08,-2.11,-1.75,36.648994,33.80247
2010-02-01,37.23556,37.565383,37.2182,37.548023,136827100,35.601115,0.26,1.15,0.21,1.1,36.669148,33.821059
2010-02-02,37.608796,37.999376,37.348404,37.886543,110727700,35.623855,0.16,1.2,-0.53,0.9,36.692571,33.842663
2010-02-03,37.704265,38.164287,37.686905,38.094849,93581600,35.648442,-0.48,0.73,-0.53,0.55,36.717896,33.86602
2010-02-04,37.817091,37.895208,36.992527,36.992527,151652500,35.661816,-0.73,-0.52,-2.89,-2.89,36.731671,33.878726
2010-02-05,37.088002,37.339712,36.558545,37.304993,213618600,35.678166,0.26,0.94,-1.17,0.84,36.748511,33.894258
2010-02-08,37.244243,37.478593,37.009893,37.035931,94354400,35.691676,-0.16,0.47,-0.79,-0.72,36.762427,33.907093
2010-02-09,37.478592,37.765018,37.114047,37.417835,118956000,35.708852,1.2,1.97,0.21,1.03,36.780118,33.92341
2010-02-10,37.417835,37.591428,37.105368,37.339718,94102900,35.72508,0.0,0.46,-0.84,-0.21,36.796832,33.938826
2010-02-11,37.348397,38.00805,37.114047,37.903893,93050800,35.746759,0.02,1.79,-0.6,1.51,36.819162,33.959421
2010-02-12,37.565381,38.08616,37.461227,37.982002,93938500,35.769001,-0.89,0.48,-1.17,0.21,36.842071,33.980551
2010-02-16,38.259762,38.494109,38.060128,38.468071,83861400,35.795857,0.73,1.35,0.21,1.28,36.869733,34.006064
2010-02-17,38.64165,38.685047,38.415978,38.685047,82691700,35.824605,0.45,0.56,-0.14,0.56,36.899343,34.033375
2010-02-18,38.659023,38.997528,38.580906,38.928089,65752600,35.855486,-0.07,0.81,-0.27,0.63,36.93115,34.062711
2010-02-19,38.823923,39.10167,38.728446,38.910721,80416500,35.885886,-0.27,0.45,-0.51,-0.04,36.962463,34.091592
2010-02-22,39.066958,39.084317,38.676378,38.832611,72055000,35.915207,0.4,0.45,-0.6,-0.2,36.992663,34.119446
2010-02-23,38.806583,38.832624,38.146933,38.329205,95814400,35.939227,-0.07,0.0,-1.77,-1.3,37.017403,34.142265
2010-02-24,38.52882,38.876006,38.468063,38.719772,86591000,35.966894,0.52,1.43,0.36,1.02,37.0459,34.168549
2010-02-25,38.31184,38.7979,38.042774,38.711102,97961300,35.994199,-1.05,0.2,-1.75,-0.02,37.074025,34.194489
2010-02-26,38.702408,38.936758,38.537497,38.84996,66222400,36.022615,-0.02,0.58,-0.45,0.36,37.103293,34.221484
2010-03-01,39.023555,39.483577,39.014877,39.414139,77290100,36.056361,0.45,1.63,0.42,1.45,37.138052,34.253543
2010-03-02,39.553027,39.796055,39.448873,39.535667,76368500,36.090981,0.35,0.97,0.09,0.31,37.173711,34.286432
2010-03-03,39.631131,39.770005,39.4315,39.579052,65735500,36.125688,0.24,0.59,-0.26,0.11,37.209459,34.319404
2010-03-04,39.605093,39.761326,39.405462,39.709248,54470900,36.161346,0.07,0.46,-0.44,0.33,37.246186,34.353278
2010-03-05,40.004355,40.394938,39.91756,40.30814,68136300,36.202607,0.74,1.73,0.52,1.51,37.288686,34.392477
2010-03-08,40.325508,40.481741,40.308148,40.386265,58712400,36.244236,0.04,0.43,0.0,0.19,37.331563,34.432024
2010-03-09,40.299464,40.837599,40.273426,40.611931,98002800,36.287695,-0.21,1.12,-0.28,0.56,37.376326,34.473311
2010-03-10,40.637972,41.037234,40.620612,40.941757,102578900,36.334005,0.06,1.05,0.02,0.81,37.424025,34.517304
2010-03-11,40.846297,41.098003,40.776858,41.098003,67510300,36.381407,-0.23,0.38,-0.4,0.38,37.47285,34.562337
2010-03-12,41.228188,41.254226,40.881002,41.106674,64068300,36.428425,0.32,0.38,-0.53,0.02,37.521278,34.607004
2010-03-15,41.019878,41.124036,40.716092,41.002522,60150500,36.473938,-0.21,0.04,-0.95,-0.25,37.568157,34.650242
2010-03-16,41.132713,41.323666,40.99384,41.262909,74950600,36.52159,0.32,0.78,-0.02,0.64,37.617238,34.69551
2010-03-17,41.323676,41.575386,41.254237,41.375751,75643500,36.56989,0.15,0.76,-0.02,0.27,37.666987,34.741396
2010-03-18,41.410472,41.558027,41.314995,41.514629,77829400,36.619091,0.08,0.44,-0.15,0.34,37.717664,34.788137
2010-03-19,41.637119,41.663188,41.115788,41.2635,86337100,36.665304,0.3,0.36,-0.96,-0.6,37.765264,34.832039
2010-03-22,41.098421,41.802222,41.054977,41.637131,71902800,36.714775,-0.4,1.31,-0.51,0.91,37.816219,34.879037
2010-03-23,41.697957,41.96731,41.5068,41.923866,59182600,36.766607,0.15,0.79,-0.31,0.69,37.869605,34.928277
2010-03-24,41.854353,41.854353,41.628444,41.724022,62995700,36.815935,-0.17,-0.17,-0.7,-0.48,37.920413,34.975138
2010-03-25,42.071564,42.227964,41.619745,41.663189,76294800,36.864166,0.83,1.21,-0.25,-0.15,37.970091,35.020958
2010-03-26,41.837,41.9934,41.480755,41.706665,78067900,36.91235,0.42,0.79,-0.44,0.1,38.019721,35.066733
2010-03-29,41.915177,42.054199,41.79353,41.906487,57993300,36.962043,0.5,0.83,0.21,0.48,38.070904,35.113941
2010-03-30,42.03681,42.18452,41.758767,42.045498,49437300,37.012625,0.31,0.66,-0.35,0.33,38.123003,35.161993
2010-03-31,41.915185,42.097651,41.767473,41.845673,59947400,37.060715,-0.31,0.12,-0.66,-0.48,38.172536,35.207679
2010-04-01,42.019451,42.314873,41.524185,41.845673,83728600,37.108326,0.42,1.12,-0.77,0.0,38.221576,35.25291
2010-04-05,41.941242,42.332242,41.828285,42.236664,56220300,37.159354,0.23,1.16,-0.04,0.93,38.274135,35.301387
2010-04-06,42.141085,42.488641,42.045507,42.358307,54097100,37.211085,-0.23,0.6,-0.45,0.29,38.327418,35.350531
2010-04-07,42.297484,42.462571,42.028127,42.25404,77211500,37.261264,-0.14,0.25,-0.78,-0.25,38.379102,35.398201
2010-04-08,42.132391,42.419123,41.915169,42.349613,68314300,37.311894,-0.29,0.39,-0.8,0.23,38.431251,35.4463
2010-04-09,42.358313,42.618979,42.254047,42.601601,54227300,37.364528,0.02,0.64,-0.23,0.6,38.485464,35.496302
2010-04-12,42.618986,42.74932,42.523408,42.636364,44280600,37.416984,0.04,0.35,-0.18,0.08,38.539494,35.546135
2010-04-13,42.592915,42.879646,42.453893,42.85358,59376000,37.47108,-0.1,0.57,-0.43,0.51,38.595212,35.597526
2010-04-14,43.079472,43.374891,43.009959,43.366203,69004800,37.529738,0.53,1.22,0.36,1.2,38.65563,35.653251
2010-04-15,43.331456,43.6095,43.331456,43.557369,72254200,37.589714,-0.08,0.56,-0.08,0.44,38.717406,35.710228
2010-04-16,43.400965,43.548674,42.749298,43.03603,127388000,37.643906,-0.36,-0.02,-1.86,-1.2,38.773223,35.761711
2010-04-19,42.879641,43.148997,42.488644,43.009975,98251700,37.6973,-0.36,0.26,-1.27,-0.06,38.828219,35.812435
2010-04-20,43.244574,43.340152,42.949152,43.227196,69543700,37.752324,0.55,0.77,-0.14,0.51,38.884894,35.864708
2010-04-21,43.522616,43.609504,43.201129,43.470482,74748700,37.809221,0.68,0.88,-0.06,0.56,38.943498,35.91876
2010-04-22,43.053422,43.757223,42.801444,43.713779,110477200,37.867973,-0.96,0.66,-1.54,0.56,39.004012,35.974574
2010-04-23,43.705088,43.939688,43.522622,43.896244,77205200,37.927956,-0.02,0.52,-0.44,0.42,39.065794,36.031558
2010-04-26,43.939677,44.00919,43.705077,43.800655,67361000,37.98639,0.1,0.26,-0.44,-0.22,39.125982,36.087071
2010-04-27,43.626877,43.818033,42.757989,42.870945,112608000,38.034993,-0.4,0.04,-2.38,-2.12,39.176043,36.133243
2010-04-28,43.09687,43.122939,42.55816,42.897026,130082100,38.083371,0.53,0.59,-0.73,0.06,39.225872,36.179203
2010-04-29,43.140322,43.731167,43.105566,43.644276,84180200,38.138704,0.57,1.94,0.49,1.74,39.282865,36.231769
2010-04-30,43.626889,43.696401,42.749313,42.784069,110897000,38.184926,-0.04,0.12,-2.05,-1.97,39.330474,36.27568
2010-05-03,42.966521,43.592118,42.949143,43.383587,74169700,38.236654,0.43,1.89,0.39,1.4,39.383754,36.324822
2010-05-04,42.853567,42.853567,41.776148,42.080257,141136500,38.274899,-1.22,-1.22,-3.71,-3.0,39.423146,36.361154
2010-05-05,41.637132,42.141089,41.393844,41.863045,128560200,38.310602,-1.05,0.14,-1.63,-0.52,39.45992,36.395072
2010-05-06,41.576303,41.984681,37.049395,40.464127,274356800,38.33203,-0.68,0.29,-11.5,-3.34,39.481991,36.415429
2010-05-07,40.160019,40.663973,38.474374,39.456219,288200400,38.343216,-0.75,0.49,-4.92,-2.49,39.493513,36.426055
2010-05-10,41.211383,41.532871,41.107117,41.506805,136041600,38.374695,4.45,5.26,4.18,5.2,39.525935,36.45596
2010-05-11,41.089726,42.045502,41.011526,41.463348,113016100,38.405427,-1.0,1.3,-1.19,-0.1,39.55759,36.485156
2010-05-12,41.689277,42.280121,41.619768,42.245365,85462400,38.443636,0.54,1.97,0.38,1.89,39.596945,36.521454
2010-05-13,42.062884,42.393063,41.47204,41.576305,102844300,38.474807,-0.43,0.35,-1.83,-1.58,39.629051,36.551066
2010-05-14,41.263514,41.28958,40.299048,40.776936,147386100,38.497713,-0.75,-0.69,-3.07,-1.92,39.652645,36.572828
2010-05-17,40.855134,41.072356,40.029689,40.907269,120969600,38.521689,0.19,0.72,-1.83,0.32,39.67734,36.595605
2010-05-18,41.254816,41.341706,40.160018,40.342484,153072100,38.539806,0.85,1.06,-1.83,-1.38,39.696001,36.612816
2010-05-19,40.194775,40.516266,39.577865,40.021,159000300,38.554545,-0.37,0.43,-1.9,-0.8,39.711181,36.626817
2010-05-20,39.238995,39.343261,38.448307,38.535194,189289800,38.554352,-1.95,-1.69,-3.93,-3.71,39.710983,36.626634
2010-05-21,37.935661,39.656059,37.787951,38.960949,190631100,38.558398,-1.56,2.91,-1.94,1.1,39.71515,36.630478
2010-05-24,38.94358,39.386715,38.78718,38.804558,113038000,38.560847,-0.04,1.09,-0.45,-0.4,39.717673,36.632805
