Date,equity,cash,rebalanced,rebalance_reason,sso_value,sso_weight,sso_signal,sso_shares,sso_avg_price,sso_realized_pnl,sso_unrealized_pnl,qld_value,qld_weight,qld_signal,qld_shares,qld_avg_price,qld_realized_pnl,qld_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct,sso_current_price,sso_return_pct,sso_contribution,qld_current_price,qld_return_pct,qld_contribution,gld_current_price,gld_return_pct,gld_contribution,tlt_current_price,tlt_return_pct,tlt_contribution,total_pnl,total_return_pct
2010-01-21,10000000,10000000,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0,0.0,buy,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2010-01-22,9992922,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1498772,0.15,buy,13985,107.25079,0,-1130,1494011,0.1495,buy,25981,57.732934,0,-5948,-0.07,0.0,0.0,0,0.0,0.0,0,107.169998,-0.0753299812523367,-1130,57.504002,-0.3965358142990816,-5948,-7077.752150578424,-0.07077752150578424
2010-01-25,9990438,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1503108,0.1505,buy,13985,107.25079,0,3206,1487192,0.1489,buy,25981,57.732934,0,-12768,-0.1,0.0,0.0,0,0.0,0.0,0,107.48000299999998,0.21371684068713925,3206,57.241512,-0.8511983143821955,-12768,-9562.084915578365,-0.09562084915578364
2010-01-26,9992044,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1504227,0.1505,buy,13985,107.25079,0,4324,1487679,0.1489,buy,25981,57.732934,0,-12280,-0.08,0.0,0.0,0,0.0,0.0,0,107.559998,0.2883037038701408,4324,57.260284,-0.8186830777958121,-12280,-7955.639508578926,-0.07955639508578927
2010-01-27,9976827,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1489822,0.1493,buy,13985,107.25079,0,-10080,1486867,0.149,buy,25981,57.732934,0,-13092,-0.23,0.0,0.0,0,0.0,0.0,0,106.529999,-0.6720612500849543,-10080,57.229015000000004,-0.8728445380994265,-13092,-23172.57541257888,-0.2317257541257888
2010-01-28,9975316,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1489123,0.1493,buy,13985,107.25079,0,-10779,1486055,0.149,buy,25981,57.732934,0,-13905,-0.25,0.0,0.0,0,0.0,0.0,0,106.48000299999998,-0.718677223729558,-10779,57.19775,-0.926999069948653,-13905,-24684.065437577665,-0.24684065437577665
2010-01-29,9981035,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1481851,0.1485,buy,13985,107.25079,0,-18052,1499046,0.1502,buy,25981,57.732934,0,-913,-0.19,0.0,0.0,0,0.0,0.0,0,105.959999,-1.2035258668024684,-18052,57.69779199999999,-0.060869518855044547,-913,-18964.730175578967,-0.18964730175578967
2010-02-01,10000851,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1515275,0.1515,buy,13985,107.25079,0,15372,1485438,0.1485,buy,25981,57.732934,0,-14521,0.0,0.0,0.0,0,0.0,0.0,0,108.349998,1.0248950147593305,15372,57.174011,-0.9681177148093023,-14521,851.0516784228384,0.008510516784228385
2010-02-02,10015997,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1526183,0.1524,buy,13985,107.25079,0,26281,1489676,0.1487,buy,25981,57.732934,0,-10284,0.0,0.0,0.0,0,0.0,0.0,0,109.129997,1.7521614526102791,26281,57.33712,-0.685594396869349,-10284,15997.072622422129,0.1599707262242213
2010-02-03,9992709,7000138,False,,0,0.0,sell,0,0.0,0,0,0,0.0,sell,0,0.0,0,0,1520169,0.1521,buy,13985,107.25079,0,20267,1472401,0.1473,buy,25981,57.732934,0,-27559,-0.23,0.0,0.0,0,0.0,0.0,0,108.699997,1.3512320049111182,20267,56.672215,-1.8372853931654554,-27559,-7291.374182578176,-0.07291374182578177
