entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2006-06-22,2006-08-22,44.33715,46.094804,866,1522,0.0396,0.0,0,tlt,rebalance,33831,32965,39918.100684009994,61
2006-06-22,2006-08-22,58.344508,61.863849,1287,4529,0.0603,0.0,0,gld,rebalance,25709,24422,79618.773666861,61
2006-08-22,2006-09-18,3.887132,3.994944,28737,3098,0.0277,0.0,3,sso,rebalance,915793,887056,114802.708745385,27
2006-06-22,2006-09-18,44.33715,46.262729,255,491,0.0434,0.0,0,tlt,rebalance,32965,32710,11796.995944725,88
2006-08-22,2007-02-02,3.887132,4.74175,28357,24234,0.2199,0.0,3,sso,rebalance,887056,858699,134461.803218722,164
2006-09-18,2007-02-02,1.040234,1.212871,59220,10224,0.166,0.0,3,qld,rebalance,3423981,3364761,71826.24649914,137
2006-09-18,2007-09-05,1.040234,1.463426,325767,137862,0.4068,0.0,3,qld,rebalance,3364761,3038994,476735.739093471,352
2006-06-22,2007-11-27,58.85033,80.457897,5190,112143,0.3672,0.0,0,gld,rebalance,28353,23163,417576.48547670996,523
2006-06-22,2007-11-27,44.927524,53.326013,3621,30411,0.1869,0.0,0,tlt,rebalance,38647,35026,193093.491566664,523
2006-08-22,2008-01-16,3.989775,4.066934,1020010,78703,0.0193,0.0,3,sso,signal,1020010,0,4148313.84302484,512
2006-09-18,2008-01-17,1.053605,1.219668,3149301,522982,0.1576,0.0,3,qld,signal,3149301,0,3841101.6079777856,486
2006-06-22,2008-02-04,58.85033,88.244472,3124,91827,0.4995,0.0,0,gld,rebalance,23163,20039,275675.73050925595,592
2006-06-22,2008-02-04,44.927524,53.617555,1986,17258,0.1934,0.0,0,tlt,rebalance,35026,33040,106484.464873464,592
2006-06-22,2008-07-02,59.46112,92.003159,2019,65702,0.5473,0.0,0,gld,rebalance,20505,18486,185754.378027057,741
2006-06-22,2008-07-02,45.113417,53.227961,1711,13884,0.1799,0.0,0,tlt,rebalance,33877,32166,91073.040629375,741
2008-05-07,2008-07-03,1.312589,1.102968,3477739,-729005,-0.1597,0.0,3,qld,signal,3477739,0,3835835.3127577216,57
2006-06-22,2008-09-03,45.113417,54.962522,2072,20407,0.2183,0.0,0,tlt,rebalance,32166,30094,113882.34616830401,804
2006-06-22,2008-12-02,45.113417,63.9569,3953,74488,0.4177,0.0,0,tlt,rebalance,30094,26141,252821.625526068,894
2006-06-22,2009-01-05,62.768982,83.369143,2190,45114,0.3282,0.0,0,gld,rebalance,22347,20157,182578.42315028998,928
2006-06-22,2009-01-05,45.113417,68.332606,862,20015,0.5147,0.0,0,tlt,rebalance,26141,25279,58902.70666249399,928
2006-06-22,2009-05-04,62.768982,87.287353,548,13436,0.3906,0.0,0,gld,rebalance,20157,19609,47833.469439068,1047
2006-06-22,2009-06-04,62.768982,94.954278,1434,46154,0.5128,0.0,0,gld,rebalance,19609,18175,136164.434660604,1078
2009-06-04,2009-07-27,0.585735,0.675389,619201,55514,0.1531,0.0,3,qld,rebalance,6832020,6212819,418201.38133913703,53
2006-06-22,2009-12-02,64.615354,118.443603,421,22662,0.8331,0.0,0,gld,rebalance,19310,18889,49864.756859211004,1259
2009-07-27,2009-12-02,1.685688,2.155286,103844,48765,0.2786,0.0,3,sso,rebalance,2498088,2394244,223813.48688082796,128
2009-06-04,2009-12-02,0.585735,0.840697,37501,9561,0.4353,0.0,3,qld,rebalance,6212819,6175318,31526.990159819,181
2009-07-27,2010-04-05,1.685688,2.458718,75961,58720,0.4586,0.0,3,sso,rebalance,2394244,2318283,186766.651563572,252
2009-06-04,2010-04-05,0.585735,0.998851,493796,203995,0.7053,0.0,3,qld,rebalance,6175318,5681522,493228.840234484,305
2006-06-22,2010-05-21,71.202544,114.704853,3031,131855,0.611,0.0,0,gld,rebalance,22024,18993,347670.409415721,1429
2006-06-22,2010-05-21,50.042242,61.985311,7993,95461,0.2387,0.0,0,tlt,rebalance,43977,35984,495448.58700234606,1429
2009-07-27,2010-07-01,1.711377,1.853022,2553549,361698,0.0828,0.0,3,sso,signal,2553549,0,4731783.001109093,339
2009-06-04,2010-08-06,0.603016,0.900367,526076,156429,0.4931,0.0,3,qld,rebalance,6150508,5624432,473661.34994667204,428
2006-06-22,2010-08-06,50.042242,62.700433,213,2696,0.253,0.0,0,tlt,rebalance,35984,35771,13355.1921651,1506
2006-06-22,2010-09-02,71.417497,122.012857,1428,72250,0.7084,0.0,0,gld,rebalance,19080,17652,174234.359808852,1533
2006-06-22,2010-09-02,50.042242,66.296261,3757,61066,0.3248,0.0,0,tlt,rebalance,35771,32014,249075.05166029203,1533
2010-08-06,2010-10-04,2.171668,2.276698,8141,855,0.0484,0.0,3,sso,rebalance,2460682,2452541,18534.601291773,59
2009-06-04,2010-10-04,0.616862,1.00083,400829,153906,0.6225,0.0,3,qld,rebalance,5965114,5564285,401161.8780629459,487
2010-08-06,2010-11-02,2.171668,2.478855,2789,857,0.1415,0.0,3,sso,rebalance,2452541,2449752,6913.526756762,88
2009-06-04,2010-11-02,0.616862,1.159289,314647,170673,0.8793,0.0,3,qld,rebalance,5564285,5249638,364766.70183484297,516
2010-08-06,2011-01-04,2.171668,2.834226,127822,84689,0.3051,0.0,3,sso,rebalance,2449752,2321930,362276.402282636,151
2009-06-04,2011-01-04,0.616862,1.287608,122478,82152,1.0873,0.0,3,qld,rebalance,5249638,5127160,157703.597998812,579
2010-08-06,2011-08-05,2.171668,2.585215,2321930,960228,0.1904,0.0,3,sso,signal,2321930,0,6002688.30674474,364
2006-06-22,2011-08-09,54.190535,68.833429,7988,116967,0.2702,0.0,0,tlt,rebalance,47010,39022,549841.4336238359,1874
2006-06-22,2011-08-09,79.690269,169.420203,4122,369867,1.126,0.0,0,gld,rebalance,20410,16288,698350.076852562,1874
2009-06-04,2011-08-09,0.616862,1.076787,5127160,2358107,0.7456,0.0,3,qld,signal,5127160,0,5520858.81962004,796
2006-06-22,2011-10-04,54.190535,81.977476,4952,137601,0.5128,0.0,0,tlt,rebalance,39022,34070,405952.458953312,1930
2006-06-22,2011-10-17,84.551965,163.508,419,33083,0.9338,0.0,0,gld,rebalance,17318,16899,68509.852,1943
2006-06-22,2012-01-09,55.703599,78.736566,1895,43647,0.4135,0.0,0,tlt,rebalance,36636,34741,149205.79170208998,2027
2012-01-09,2012-03-02,2.806157,3.219707,5306,2194,0.1474,0.0,3,sso,rebalance,2286957,2281651,17083.76436039,53
2011-10-17,2012-03-02,1.352806,1.665412,416010,130047,0.2311,0.0,3,qld,rebalance,4822091,4406081,692827.93421331,137
2006-06-22,2012-06-04,93.283534,156.788215,603,38293,0.6808,0.0,0,gld,rebalance,18980,18377,94543.29365404499,2174
2006-06-22,2012-06-04,58.98717,86.955591,7803,218238,0.4741,0.0,0,tlt,rebalance,40640,32837,678514.478687613,2174
2012-01-09,2012-07-03,2.806799,3.187152,110555,42050,0.1355,0.0,3,sso,rebalance,2412137,2301582,352355.56437457004,176
2011-10-17,2012-07-03,1.358854,1.632077,186641,50995,0.2011,0.0,3,qld,rebalance,4684785,4498144,304612.490076076,260
2006-06-22,2012-10-02,99.386841,171.952591,93,6749,0.7301,0.0,0,gld,rebalance,20309,20216,15991.590962720999,2294
2012-01-09,2012-10-02,2.806799,3.61297,40962,33022,0.2872,0.0,3,sso,rebalance,2301582,2260620,147994.496555988,267
2011-10-17,2012-10-02,1.358854,1.860707,102064,51221,0.3693,0.0,3,qld,rebalance,4498144,4396080,189911.207617248,351
2012-01-09,2013-03-04,2.806799,3.977283,220896,258555,0.417,0.0,3,sso,rebalance,2260620,2039724,878565.960129312,420
2012-01-09,2013-05-02,2.806799,4.36542,53629,83587,0.5553,0.0,3,sso,rebalance,2039724,1986095,234113.12698482798,479
2011-10-17,2013-05-02,1.375065,1.952497,139801,80726,0.4199,0.0,3,qld,rebalance,4571309,4431508,272961.016880084,563
2012-01-09,2013-06-04,2.806799,4.682323,65952,123695,0.6682,0.0,3,sso,rebalance,1986095,1920143,308808.550931328,512
2011-10-17,2013-06-04,1.375065,2.118109,181155,134606,0.5404,0.0,3,qld,rebalance,4431508,4250353,383705.95509987,596
2012-01-09,2013-08-02,2.806799,5.046555,81975,183604,0.798,0.0,3,sso,rebalance,1920143,1838168,413691.3280905,571
2011-10-17,2013-08-02,1.375065,2.302052,198088,183625,0.6741,0.0,3,qld,rebalance,4250353,4052265,456008.88905554404,655
2006-06-22,2013-09-04,113.765379,134.206171,2982,60954,0.1797,0.0,0,gld,rebalance,31618,28636,400202.801913054,2631
2006-06-22,2013-09-04,67.460646,72.459997,758,3790,0.0741,0.0,0,tlt,rebalance,54718,53960,54924.677655506006,2631
2011-10-17,2013-09-04,1.375065,2.271496,13659,12244,0.6519,0.0,3,qld,rebalance,4052265,4038606,31026.363959613,688
2012-01-09,2013-10-02,2.90841,4.95981,34244,70248,0.7053,0.0,3,sso,rebalance,1941153,1906909,169843.726722712,632
2011-10-17,2013-10-02,1.375065,2.464608,208804,227501,0.7924,0.0,3,qld,rebalance,4038606,3829802,514619.9937981121,716
2012-01-09,2013-12-03,2.90841,5.646726,79660,218134,0.9415,0.0,3,sso,rebalance,1906909,1827249,449818.18113134,694
2011-10-17,2013-12-03,1.375065,2.858469,197081,292351,1.0788,0.0,3,qld,rebalance,3829802,3632721,563349.88760199,778
2012-01-09,2014-09-03,2.90841,7.152481,1641,6965,1.4592,0.0,3,sso,rebalance,1827249,1825608,11737.221306231,968
2011-10-17,2014-09-03,1.375065,3.954799,339474,875753,1.8761,0.0,3,qld,rebalance,3632721,3293247,1342551.4027970221,1052
2006-06-22,2015-01-05,69.320035,92.509306,3207,74368,0.3345,0.0,0,tlt,rebalance,66447,63240,296677.344319551,3119
2012-01-09,2015-01-05,2.90841,7.430946,21604,97705,1.555,0.0,3,sso,rebalance,1825608,1804004,160538.159155528,1092
2011-10-17,2015-01-05,1.375065,4.129472,38180,105163,2.0031,0.0,3,qld,rebalance,3293247,3255067,157663.25264308002,1176
2011-10-17,2015-07-02,1.375065,4.571942,194831,622851,2.3249,0.0,3,qld,rebalance,3255067,3060236,890756.012903393,1354
2011-10-17,2015-08-25,1.375065,4.032083,3060236,8131103,1.9323,0.0,3,qld,signal,3060236,0,12339126.628791071,1408
2006-06-22,2015-08-25,70.992928,91.336525,13257,269695,0.2866,0.0,0,tlt,rebalance,70469,57212,1210848.310904211,3351
2006-06-22,2015-08-25,116.398382,109.679972,5188,-34855,-0.0577,0.0,0,gld,rebalance,53450,48262,569019.694704872,3351
2012-01-09,2015-08-25,2.911485,6.800728,1805138,7020621,1.3358,0.0,3,sso,signal,1805138,0,12276253.305842511,1324
2015-10-28,2015-11-03,4.961322,5.024785,51928,3295,0.0128,0.0,3,qld,rebalance,2612975,2561047,260927.05027948,6
2015-11-03,2016-01-11,7.895039,6.660269,1642707,-2028366,-0.1564,0.0,3,sso,signal,1642707,0,10940870.62317249,69
2015-10-28,2016-01-14,4.961322,4.003213,2561047,-2453763,-0.1931,0.0,3,qld,signal,2561047,0,10252417.215124482,78
2006-06-22,2016-02-02,116.064833,107.596238,6053,-51260,-0.073,0.0,0,gld,rebalance,51192,45139,651280.028650318,3512
2006-06-22,2016-02-02,72.453506,95.124148,9762,221311,0.3129,0.0,0,tlt,rebalance,61568,51806,928601.931438606,3512
2006-06-22,2016-04-04,72.453506,97.507404,977,24478,0.3458,0.0,0,tlt,rebalance,51806,50829,95264.73329961399,3574
2006-06-22,2016-04-04,116.064833,116.319988,2674,682,0.0022,0.0,0,gld,rebalance,45139,42465,311039.647928044,3574
2006-06-22,2016-04-05,72.453506,98.416974,231,5998,0.3583,0.0,0,tlt,rebalance,50829,50598,22734.320915691,3575
2016-04-04,2016-12-02,7.677813,8.627584,91751,87143,0.1237,0.0,3,sso,rebalance,1516600,1424849,791589.4930731149,242
2016-04-05,2016-12-02,4.538041,5.00667,89911,42135,0.1033,0.0,3,qld,rebalance,2543678,2453767,450154.68793824496,241
