date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2006-09-18,sso,900406,881732,35.74,35.07,3614774,3539358,-18674,-75416,daily
2006-09-18,qld,0,3403244,0.0,34.87,0,3519862,3403244,3519862,daily
2006-09-18,cash,0,0,64.26,30.06,6500003,3034433,0,-3465570,daily
2007-07-03,sso,881732,837174,36.86,34.97,4544065,4336371,-44558,-207694,monthly
2007-07-03,qld,3403244,3092377,38.52,35.2,4748444,4364410,-310867,-384034,monthly
2007-07-03,cash,0,0,24.62,29.83,3034433,3698079,0,663646,monthly
2007-11-02,sso,837174,926409,31.6,34.9,4166676,4621728,89235,455052,monthly
2007-11-02,qld,3092377,2683825,40.35,35.24,5320598,4666637,-408552,-653961,monthly
2007-11-02,cash,0,0,28.05,29.87,3698079,3955605,0,257526,monthly
2008-01-16,sso,926409,0,34.3,0.0,3811669,0,-926409,-3811669,
2008-01-16,qld,2683825,2683825,30.11,29.6,3346300,3248002,0,-98298,
2008-01-16,cash,0,0,35.59,70.4,3955605,7723250,0,3767645,
2008-01-17,sso,0,0,0.0,0.0,0,0,0,0,
2008-01-17,qld,2683825,0,29.6,0.0,3248002,0,-2683825,-3248002,
2008-01-17,cash,0,0,70.4,100.0,7723250,10996626,0,3273376,
2008-07-03,sso,0,0,0.0,0.0,0,0,0,0,
2008-07-03,qld,2892465,0,30.66,0.0,3161036,0,-2892465,-3161036,
2008-07-03,cash,0,0,69.34,100.0,7147808,10338104,0,3190296,
2009-07-27,sso,0,2264299,0.0,35.14,0,3842970,2264299,3842970,daily
2009-07-27,qld,6177430,5631428,38.38,34.95,4185665,3821729,-546002,-363936,daily
2009-07-27,cash,0,0,61.62,29.92,6719768,3271630,0,-3448138,daily
2010-04-05,sso,2264299,2065681,38.38,35.16,5539777,5135760,-198618,-404017,monthly
2010-04-05,qld,5631428,5060952,38.95,35.2,5621252,5141436,-570476,-479816,monthly
2010-04-05,cash,0,0,22.67,29.64,3271630,4329796,0,1058166,monthly
2010-07-01,sso,2065681,0,31.74,0.0,3832131,0,-2065681,-3832131,
2010-07-01,qld,5060952,5060952,32.39,32.27,3909777,3886603,0,-23174,
2010-07-01,cash,0,0,35.87,67.73,4329796,8157549,0,3827753,
2010-08-06,sso,0,2065121,0.0,35.26,0,4531658,2065121,4531658,daily
2010-08-06,qld,5060952,4856659,36.43,34.79,4675509,4471943,-204293,-203566,daily
2010-08-06,cash,0,0,63.57,29.95,8157549,3849919,0,-4307630,daily
2010-12-02,sso,2065121,2042809,35.38,35.33,5250256,5329241,-22312,78985,monthly
2010-12-02,qld,4856659,4395702,38.67,35.16,5738414,5303159,-460957,-435255,monthly
2010-12-02,cash,0,0,25.95,29.51,3849919,4451573,0,601654,monthly
2011-08-05,sso,2042809,0,34.58,0.0,5166727,0,-2042809,-5166727,
2011-08-05,qld,4395702,4395702,35.62,35.04,5321951,5250142,0,-71809,
2011-08-05,cash,0,0,29.8,64.96,4451573,9732674,0,5281101,
2011-08-09,sso,0,0,0.0,0.0,0,0,0,0,
2011-08-09,qld,4395702,0,32.26,0.0,4635399,0,-4395702,-4635399,
2011-08-09,cash,0,0,67.74,100.0,9732674,14465908,0,4733234,
2012-04-03,sso,1793901,1777377,35.32,34.84,6185008,6085603,-16524,-99405,monthly
2012-04-03,qld,3782534,3306607,40.03,35.09,7009701,6128733,-475927,-880968,monthly
2012-04-03,cash,0,0,24.64,30.07,4314834,5252859,0,938025,monthly
