entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,asset_id,trade_type,pre_shares,post_shares,order_amount,holding_days
2006-08-22,2006-09-18,3.887132,3.994944,20521,2212,0.0277,0.0,3,sso,rebalance,1286295,1265774,81980.247978705,27
2006-09-18,2007-11-02,1.040234,1.727376,609529,418833,0.6606,0.0,3,qld,rebalance,4885420,4275891,1052885.935353062,410
2006-08-22,2008-01-16,4.048468,4.066934,1475401,27246,0.0046,0.0,3,sso,signal,1475401,0,6000359.204628084,512
2006-09-18,2008-01-17,1.040234,1.219668,4275891,767239,0.1725,0.0,3,qld,signal,4275891,0,5215167.364325525,486
2008-05-07,2008-07-03,1.330636,1.102968,4214349,-959472,-0.1711,0.0,3,qld,signal,4214349,0,4648292.673626511,57
2009-06-04,2009-07-27,0.585735,0.675389,595240,53366,0.1531,0.0,3,qld,rebalance,8754862,8159622,402018.39181188,53
2009-07-27,2010-07-01,1.685688,1.853022,3280587,548955,0.0993,0.0,3,sso,signal,3280587,0,6079000.559714922,339
2009-06-04,2010-08-03,0.585735,0.912696,768671,251325,0.5582,0.0,3,qld,rebalance,8159622,7390951,701562.696429254,425
2009-06-04,2010-08-06,0.585735,0.900367,26373,8298,0.5372,0.0,3,qld,rebalance,7390951,7364578,23745.372877956,428
2010-08-06,2011-08-05,2.174966,2.585215,3128466,1283449,0.1886,0.0,3,sso,signal,3128466,0,8087757.286502388,364
2009-06-04,2011-08-09,0.585735,1.076787,7364578,3616391,0.8384,0.0,3,qld,signal,7364578,0,7930081.254355183,796
2011-10-17,2015-03-03,1.35285,4.648526,577826,1904327,2.4361,0.0,3,qld,rebalance,5968639,5390813,2686039.4491203083,1233
2011-10-17,2015-08-25,1.35285,4.032083,5390813,14443245,1.9804,0.0,3,qld,signal,5390813,0,21736207.351045176,1408
2012-01-09,2015-08-25,3.355986,6.800728,3167236,10910313,1.0264,0.0,3,sso,signal,3167236,0,21539511.890716065,1324
2015-10-28,2015-11-03,4.961322,5.024785,44238,2807,0.0128,0.0,3,qld,rebalance,4361309,4317071,222286.45143783,6
2015-11-03,2016-01-11,7.895039,6.660269,2768846,-3418889,-0.1564,0.0,3,sso,signal,2768846,0,18441259.37339322,69
2015-10-28,2016-01-14,4.961322,4.003213,4317071,-4136226,-0.1931,0.0,3,qld,signal,4317071,0,17282155.711829834,78
2016-04-05,2018-03-02,4.538041,9.673623,446923,2295209,1.1317,0.0,3,qld,rebalance,3918871,3471948,4323364.52577286,696
2016-04-05,2018-11-21,4.538041,9.119754,3471948,15907469,1.0096,0.0,3,qld,signal,3471948,0,31663313.091234572,960
2016-04-04,2018-12-18,8.327733,11.708008,2673330,9036592,0.4059,0.0,3,sso,signal,2673330,0,31299369.79121238,988
2019-02-22,2019-02-28,13.729093,13.712903,5011,-81,-0.0012,0.0,3,sso,rebalance,2293038,2288027,68715.35445255501,6
2019-02-28,2020-03-03,10.320799,15.395044,289805,1470542,0.4917,0.0,3,qld,rebalance,3056941,2767136,4461560.69628028,369
2019-02-22,2020-03-10,14.039951,13.855916,2555143,-470235,-0.0131,0.0,3,sso,signal,2555143,0,35403847.21802773,382
2019-02-28,2020-03-13,10.320799,11.099496,2767136,2154762,0.0754,0.0,3,qld,signal,2767136,0,30713815.83510384,379
2020-04-20,2020-06-02,13.776703,16.39499,192328,503570,0.1901,0.0,3,qld,rebalance,2399618,2207290,3153215.6426821677,43
2020-04-20,2020-09-02,13.776703,27.075921,204468,2719264,0.9653,0.0,3,qld,rebalance,2207290,2002822,5536159.378428228,135
2020-04-20,2022-01-26,13.776703,34.294195,2002822,41092883,1.4893,0.0,3,qld,signal,2002822,0,68685167.89583565,646
2020-06-02,2022-02-02,15.522602,32.524438,278218,4730217,1.0953,0.0,3,sso,rebalance,2689512,2411294,9048884.11513253,610
2020-06-02,2022-05-02,15.522602,26.303428,2411294,25995741,0.6945,0.0,3,sso,signal,2411294,0,63425298.77170397,699
2023-03-22,2024-07-02,23.086179,49.833919,297947,7969409,1.1586,0.0,3,qld,rebalance,2974304,2676357,14847866.77959849,468
2023-03-22,2025-04-04,23.086179,38.374569,2676357,40917188,0.6622,0.0,3,qld,signal,2676357,0,102704046.05199924,744
2023-02-07,2025-04-07,26.427848,30.985841,3304919,15063798,0.1725,0.0,3,sso,signal,3304919,0,102405693.87852795,790
