date,asset_id,pre_shares,post_shares,pre_weight_pct,post_weight_pct,pre_value,post_value,delta_shares,delta_value,rebalance_reason
2007-08-27,sso,0,0,0.0,0.0,0,0,0,0,daily
2007-08-27,qld,0,2533523,0.0,34.62,0,3444319,2533523,3444319,daily
2007-08-27,gld,22267,22685,14.72,15.05,1472071,1496756,418,24685,daily
2007-08-27,tlt,31235,30689,15.27,15.16,1526567,1507737,-546,-18830,daily
2007-08-27,cash,0,0,70.01,35.18,7000072,3499583,0,-3500489,daily
2007-09-24,sso,0,712811,0.0,34.6,0,3613673,712811,3613673,daily
2007-09-24,qld,2533523,2439837,36.35,35.38,3795830,3695040,-93686,-100790,daily
2007-09-24,gld,22685,21655,15.71,14.99,1641032,1565223,-1030,-75809,daily
2007-09-24,tlt,30689,31900,14.43,15.04,1506702,1570613,1211,63911,daily
2007-09-24,cash,0,0,33.51,0.0,3499583,5,0,-3499578,daily
2008-01-03,sso,712811,798048,31.24,34.88,3236652,3622347,85237,385695,monthly
2008-01-03,qld,2439837,2473661,34.52,35.11,3576405,3646750,33824,70345,monthly
2008-01-03,gld,21655,18304,17.74,15.08,1837643,1566273,-3351,-271370,monthly
2008-01-03,tlt,31900,28980,16.5,14.93,1709423,1550810,-2920,-158613,monthly
2008-01-03,cash,0,0,0.0,0.0,5,4,0,-1,monthly
2008-01-22,sso,798048,0,33.07,0.0,2997912,0,-798048,-2997912,
2008-01-22,qld,2473661,2473661,31.94,31.46,2895506,2738082,0,-157424,
2008-01-22,gld,18304,18304,17.65,18.54,1600135,1613863,0,13728,
2008-01-22,tlt,28980,28980,17.33,18.24,1571214,1587997,0,16783,
2008-01-22,cash,0,0,0.0,31.76,4,2764765,0,2764761,
2008-01-23,sso,0,0,0.0,0.0,0,0,0,0,daily
2008-01-23,qld,2473661,2771510,31.46,35.39,2738082,3094839,297849,356757,daily
2008-01-23,gld,18304,14758,18.54,14.83,1613863,1297080,-3546,-316783,daily
2008-01-23,tlt,28980,23891,18.24,14.94,1587997,1306154,-5089,-281843,daily
2008-01-23,cash,0,0,31.76,34.84,2764765,3046599,0,281834,daily
2008-01-24,sso,0,0,0.0,0.0,0,0,0,0,
2008-01-24,qld,2771510,0,35.39,0.0,3094839,0,-2771510,-3094839,
2008-01-24,gld,14758,14758,14.83,15.2,1297080,1329400,0,32320,
