train_start,train_end,test_month,bin_width_pct,stat_func,test_rmse_pct,n_train_days,n_test_days,n_bins,ffr_pct_test,spread_test
2010-02,2015-01,2015-02,2.0,median,0.102,1251,19,1,0.11,-0.0019
2010-03,2015-02,2015-03,2.0,median,0.0721,1259,22,1,0.11,-0.0029
2010-04,2015-03,2015-04,2.0,median,0.0707,1258,21,1,0.12,-0.0025
2010-05,2015-04,2015-05,2.0,median,0.1234,1258,20,1,0.12,-0.0012
2010-06,2015-05,2015-06,2.0,median,0.1069,1258,22,1,0.13,-0.0011
2010-07,2015-06,2015-07,2.0,median,0.1152,1258,22,1,0.13,-0.0025
2010-08,2015-07,2015-08,2.0,median,0.2391,1259,21,1,0.14,-0.0019
2010-09,2015-08,2015-09,2.0,median,0.3274,1258,21,1,0.14,-0.0027
2010-10,2015-09,2015-10,2.0,median,0.0979,1258,22,1,0.12,-0.0013
2010-11,2015-10,2015-11,2.0,median,0.0771,1259,20,1,0.12,-0.0011
2010-12,2015-11,2015-12,2.0,median,0.1038,1258,22,1,0.24,0.0001
2011-01,2015-12,2016-01,2.0,median,0.3292,1258,19,1,0.34,0.0001
2011-02,2016-01,2016-02,2.0,median,0.1297,1257,20,1,0.38,-0.0003
2011-03,2016-02,2016-03,2.0,median,0.0608,1258,22,1,0.36,0.0001
2011-04,2016-03,2016-04,2.0,median,0.0729,1257,21,1,0.37,0.0008
2011-05,2016-04,2016-05,2.0,median,0.0639,1258,21,1,0.37,0.0001
2011-06,2016-05,2016-06,2.0,median,0.0839,1258,22,1,0.38,-0.0011
2011-07,2016-06,2016-07,2.0,median,0.0886,1258,20,1,0.39,-0.0011
2011-08,2016-07,2016-08,2.0,median,0.0649,1258,23,1,0.4,-0.0007
2011-09,2016-08,2016-09,2.0,median,0.2091,1258,21,1,0.4,-0.0011
2011-10,2016-09,2016-10,2.0,median,0.1309,1258,21,1,0.4,-0.0013
2011-11,2016-10,2016-11,2.0,median,0.2188,1258,21,1,0.41,-0.0013
2011-12,2016-11,2016-12,2.0,median,0.1627,1258,21,1,0.54,-0.003
2012-01,2016-12,2017-01,2.0,median,0.0896,1258,20,1,0.65,-0.0017
2012-02,2017-01,2017-02,2.0,median,0.0541,1258,19,1,0.66,-0.0017
2012-03,2017-02,2017-03,2.0,median,0.0879,1257,23,1,0.79,-0.0016
2012-04,2017-03,2017-04,2.0,median,0.0608,1258,19,1,0.9,-0.0013
2012-05,2017-04,2017-05,2.0,median,0.1139,1257,22,1,0.91,-0.0014
2012-06,2017-05,2017-06,2.0,median,0.123,1257,22,1,1.04,-0.0013
2012-07,2017-06,2017-07,2.0,median,0.0943,1258,20,1,1.15,0.0006
2012-08,2017-07,2017-08,2.0,median,0.1017,1257,23,1,1.16,0.0003
2012-09,2017-08,2017-09,2.0,median,0.0663,1257,20,1,1.15,0.0007
2012-10,2017-09,2017-10,2.0,median,0.0385,1258,22,1,1.15,0.0006
2012-11,2017-10,2017-11,2.0,median,0.0471,1259,21,1,1.16,0.0008
2012-12,2017-11,2017-12,2.0,median,0.0601,1259,20,1,1.3,0.0008
2013-01,2017-12,2018-01,2.0,median,0.1251,1259,21,1,1.41,0.0011
2013-02,2018-01,2018-02,2.0,median,0.146,1259,19,1,1.42,0.0011
2013-03,2018-02,2018-03,2.0,median,0.1517,1259,21,1,1.51,0.0011
2013-04,2018-03,2018-04,2.0,median,0.0738,1260,21,1,1.69,0.0008
2013-05,2018-04,2018-05,2.0,median,0.0589,1259,22,1,1.7,0.0011
2013-06,2018-05,2018-06,2.0,median,0.1166,1259,21,1,1.82,0.0011
2013-07,2018-06,2018-07,2.0,median,0.087,1260,21,1,1.91,0.0013
2013-08,2018-07,2018-08,2.0,median,0.0618,1259,23,1,1.91,0.0015
2013-09,2018-08,2018-09,2.0,median,0.1481,1260,19,1,1.95,0.0019
2013-10,2018-09,2018-10,2.0,median,0.2598,1259,23,1,2.19,0.0022
2013-11,2018-10,2018-11,2.0,median,0.1397,1259,21,2,2.2,0.0189
2013-12,2018-11,2018-12,2.0,median,0.3565,1260,19,2,2.27,0.0221
2014-01,2018-12,2019-01,2.0,median,0.2176,1258,21,2,2.4,0.0239
2014-02,2019-01,2019-02,2.0,median,0.1995,1258,19,2,2.4,0.0221
2014-03,2019-02,2019-03,2.0,median,0.169,1258,21,2,2.41,0.0168
