train_start,train_end,test_month,a_best,b_best,train_rmse_pct,test_rmse_pct,n_train_days,n_test_days,search_mode,ffr_pct_test,spread_test
2010-02,2015-01,2015-02,-6.8,1.7,0.2228,0.0939,1251,19,full_grid_2stage,0.11,0.0013
2010-03,2015-02,2015-03,-6.8,1.85,0.2245,0.0714,1259,22,local_refine,0.11,0.0014
2010-04,2015-03,2015-04,-6.85,2.0,0.2206,0.0604,1258,21,local_refine,0.12,0.0013
2010-05,2015-04,2015-05,-6.85,2.15,0.2253,0.113,1258,20,local_refine,0.12,0.0014
2010-06,2015-05,2015-06,-6.6,2.3,0.2989,0.1182,1258,22,local_refine,0.13,0.0018
2010-07,2015-06,2015-07,-7.1,2.15,0.2144,0.1206,1258,22,local_refine,0.13,0.0011
2010-08,2015-07,2015-08,-7.6,2.0,0.288,0.2396,1259,21,local_refine,0.14,0.0007
2010-09,2015-08,2015-09,-7.35,1.85,0.2611,0.321,1258,21,local_refine,0.14,0.0008
2010-10,2015-09,2015-10,-7.0,1.74,0.2169,0.1043,1258,22,local_refine,0.12,0.0011
2010-11,2015-10,2015-11,-7.0,1.67,0.2234,0.0706,1259,20,local_refine,0.12,0.0011
2010-12,2015-11,2015-12,-7.15,1.52,0.2611,0.1045,1258,22,local_refine,0.24,0.0011
2011-01,2015-12,2016-01,-7.05,1.47,0.2503,0.319,1258,19,local_refine,0.34,0.0014
2011-02,2016-01,2016-02,-6.95,1.32,0.2408,0.1364,1257,20,local_refine,0.38,0.0016
2011-03,2016-02,2016-03,-6.75,1.23,0.211,0.0593,1258,22,local_refine,0.36,0.0018
2011-04,2016-03,2016-04,-6.75,1.18,0.2171,0.0747,1257,21,local_refine,0.37,0.0018
2011-05,2016-04,2016-05,-6.6,1.17,0.195,0.0712,1258,21,local_refine,0.37,0.0021
2011-06,2016-05,2016-06,-6.65,1.28,0.2,0.0915,1258,22,local_refine,0.38,0.0021
2011-07,2016-06,2016-07,-6.7,1.13,0.2163,0.103,1258,20,local_refine,0.39,0.0019
2011-08,2016-07,2016-08,-6.5,1.04,0.1865,0.08,1258,23,local_refine,0.4,0.0023
2011-09,2016-08,2016-09,-6.65,1.17,0.2015,0.2254,1258,21,local_refine,0.4,0.0021
2011-10,2016-09,2016-10,-6.55,1.06,0.1869,0.1174,1258,21,local_refine,0.4,0.0022
