train_start,train_end,test_month,a_best,b_best,train_rmse_pct,test_rmse_pct,n_train_days,n_test_days,search_mode,ffr_pct_test,spread_test
2010-02,2015-01,2015-02,-6.1,0.37,0.5854,0.0883,1251,19,fixed_ab,0.11,0.0023
2010-03,2015-02,2015-03,-6.1,0.37,0.5798,0.0723,1259,22,fixed_ab,0.11,0.0023
2010-04,2015-03,2015-04,-6.1,0.37,0.6018,0.0534,1258,21,fixed_ab,0.12,0.0023
2010-05,2015-04,2015-05,-6.1,0.37,0.5891,0.1059,1258,20,fixed_ab,0.12,0.0023
2010-06,2015-05,2015-06,-6.1,0.37,0.417,0.1217,1258,22,fixed_ab,0.13,0.0024
2010-07,2015-06,2015-07,-6.1,0.37,0.7798,0.1276,1258,22,fixed_ab,0.13,0.0024
2010-08,2015-07,2015-08,-6.1,0.37,1.0208,0.2415,1259,21,fixed_ab,0.14,0.0024
2010-09,2015-08,2015-09,-6.1,0.37,0.9164,0.3095,1258,21,fixed_ab,0.14,0.0024
2010-10,2015-09,2015-10,-6.1,0.37,0.7247,0.1119,1258,22,fixed_ab,0.12,0.0023
2010-11,2015-10,2015-11,-6.1,0.37,0.733,0.0644,1259,20,fixed_ab,0.12,0.0023
2010-12,2015-11,2015-12,-6.1,0.37,0.8441,0.1068,1258,22,fixed_ab,0.24,0.0024
2011-01,2015-12,2016-01,-6.1,0.37,0.787,0.3107,1258,19,fixed_ab,0.34,0.0025
2011-02,2016-01,2016-02,-6.1,0.37,0.7392,0.1411,1257,20,fixed_ab,0.38,0.0026
2011-03,2016-02,2016-03,-6.1,0.37,0.6046,0.0601,1258,22,fixed_ab,0.36,0.0026
2011-04,2016-03,2016-04,-6.1,0.37,0.6123,0.0767,1257,21,fixed_ab,0.37,0.0026
2011-05,2016-04,2016-05,-6.1,0.37,0.4889,0.0735,1258,21,fixed_ab,0.37,0.0026
2011-06,2016-05,2016-06,-6.1,0.37,0.5205,0.0938,1258,22,fixed_ab,0.38,0.0026
2011-07,2016-06,2016-07,-6.1,0.37,0.5861,0.1083,1258,20,fixed_ab,0.39,0.0026
2011-08,2016-07,2016-08,-6.1,0.37,0.4083,0.0825,1258,23,fixed_ab,0.4,0.0026
2011-09,2016-08,2016-09,-6.1,0.37,0.5281,0.2296,1258,21,fixed_ab,0.4,0.0026
2011-10,2016-09,2016-10,-6.1,0.37,0.4461,0.115,1258,21,fixed_ab,0.4,0.0026
2011-11,2016-10,2016-11,-6.1,0.37,0.4681,0.2055,1258,21,fixed_ab,0.41,0.0026
2011-12,2016-11,2016-12,-6.1,0.37,0.5806,0.1453,1258,21,fixed_ab,0.54,0.0027
2012-01,2016-12,2017-01,-6.1,0.37,0.7722,0.1089,1258,20,fixed_ab,0.65,0.0028
2012-02,2017-01,2017-02,-6.1,0.37,0.7359,0.0718,1258,19,fixed_ab,0.66,0.0029
2012-03,2017-02,2017-03,-6.1,0.37,0.6139,0.0683,1257,23,fixed_ab,0.79,0.003
2012-04,2017-03,2017-04,-6.1,0.37,0.6465,0.0742,1258,19,fixed_ab,0.9,0.0031
2012-05,2017-04,2017-05,-6.1,0.37,0.4915,0.1409,1257,22,fixed_ab,0.91,0.0031
2012-06,2017-05,2017-06,-6.1,0.37,0.4836,0.1138,1257,22,fixed_ab,1.04,0.0033
2012-07,2017-06,2017-07,-6.1,0.37,0.5251,0.0803,1258,20,fixed_ab,1.15,0.0034
2012-08,2017-07,2017-08,-6.1,0.37,0.4856,0.0915,1257,23,fixed_ab,1.16,0.0034
2012-09,2017-08,2017-09,-6.1,0.37,0.3407,0.0682,1257,20,fixed_ab,1.15,0.0034
2012-10,2017-09,2017-10,-6.1,0.37,0.2433,0.0492,1258,22,fixed_ab,1.15,0.0034
2012-11,2017-10,2017-11,-6.1,0.37,0.3249,0.0601,1259,21,fixed_ab,1.16,0.0034
2012-12,2017-11,2017-12,-6.1,0.37,0.223,0.0523,1259,20,fixed_ab,1.3,0.0036
2013-01,2017-12,2018-01,-6.1,0.37,0.3508,0.146,1259,21,fixed_ab,1.41,0.0038
2013-02,2018-01,2018-02,-6.1,0.37,0.3981,0.1369,1259,19,fixed_ab,1.42,0.0038
2013-03,2018-02,2018-03,-6.1,0.37,0.262,0.1452,1259,21,fixed_ab,1.51,0.0039
2013-04,2018-03,2018-04,-6.1,0.37,0.2405,0.0631,1260,21,fixed_ab,1.69,0.0042
2013-05,2018-04,2018-05,-6.1,0.37,0.2428,0.0792,1259,22,fixed_ab,1.7,0.0042
2013-06,2018-05,2018-06,-6.1,0.37,0.2521,0.1079,1259,21,fixed_ab,1.82,0.0044
2013-07,2018-06,2018-07,-6.1,0.37,0.3124,0.0943,1260,21,fixed_ab,1.91,0.0045
2013-08,2018-07,2018-08,-6.1,0.37,0.271,0.0502,1259,23,fixed_ab,1.91,0.0045
2013-09,2018-08,2018-09,-6.1,0.37,0.3032,0.1303,1260,19,fixed_ab,1.95,0.0046
2013-10,2018-09,2018-10,-6.1,0.37,0.2814,0.2753,1259,23,fixed_ab,2.19,0.005
2013-11,2018-10,2018-11,-6.1,0.37,0.3942,0.1434,1259,21,fixed_ab,2.2,0.005
2013-12,2018-11,2018-12,-6.1,0.37,0.2961,0.2748,1260,19,fixed_ab,2.27,0.0052
2014-01,2018-12,2019-01,-6.1,0.37,0.3327,0.1284,1258,21,fixed_ab,2.4,0.0054
2014-02,2019-01,2019-02,-6.1,0.37,0.2808,0.0695,1258,19,fixed_ab,2.4,0.0054
2014-03,2019-02,2019-03,-6.1,0.37,0.4898,0.0789,1258,21,fixed_ab,2.41,0.0055
2014-04,2019-03,2019-04,-6.1,0.37,0.3453,0.04,1258,21,fixed_ab,2.42,0.0055
2014-05,2019-04,2019-05,-6.1,0.37,0.3536,0.1408,1258,22,fixed_ab,2.39,0.0054
2014-06,2019-05,2019-06,-6.1,0.37,0.3627,0.2322,1259,20,fixed_ab,2.38,0.0054
2014-07,2019-06,2019-07,-6.1,0.37,0.3358,0.0845,1258,22,fixed_ab,2.4,0.0054
2014-08,2019-07,2019-08,-6.1,0.37,0.3813,0.1478,1258,22,fixed_ab,2.13,0.0049
2014-09,2019-08,2019-09,-6.1,0.37,0.3825,0.0597,1259,20,fixed_ab,2.04,0.0048
2014-10,2019-09,2019-10,-6.1,0.37,0.3729,0.0943,1258,23,fixed_ab,1.83,0.0044
2014-11,2019-10,2019-11,-6.1,0.37,0.3733,0.0874,1258,20,fixed_ab,1.55,0.004
2014-12,2019-11,2019-12,-6.1,0.37,0.5437,0.1021,1259,21,fixed_ab,1.55,0.004
