a,b,rmse_pct
-6.1,0.37,1.0467
-6.15,0.39,1.0483
-6.05,0.35,1.0657
-6.1,0.39,1.0661
-6.2,0.41,1.0686
-6.15,0.41,1.0697
-6.05,0.37,1.0865
-6.2,0.43,1.0955
-6.1,0.35,1.098
-6.15,0.37,1.1031
-6.25,0.43,1.1053
-6.0,0.33,1.1066
-6.05,0.33,1.1098
-6.2,0.39,1.1228
-6.0,0.35,1.1315
-6.0,0.35,1.1315
-6.0,0.31,1.1405
-6.25,0.45,1.1412
-6.25,0.45,1.1412
-6.25,0.41,1.155
-6.3,0.45,1.156
-5.95,0.31,1.1699
-6.1,0.41,1.1714
-6.0,0.3,1.1741
-6.15,0.43,1.1832
-6.05,0.39,1.1856
-5.95,0.29,1.1913
-6.1,0.33,1.1965
-6.3,0.43,1.1974
-6.05,0.31,1.1983
-5.95,0.33,1.2007
-6.25,0.4,1.2033
-6.3,0.47,1.2042
-6.15,0.35,1.2082
-6.0,0.29,1.2159
-6.35,0.47,1.2188
-6.2,0.45,1.2194
-6.0,0.37,1.2265
-6.2,0.37,1.2309
-6.35,0.45,1.2485
-5.95,0.27,1.2515
-5.9,0.29,1.255
-6.25,0.39,1.2625
-5.9,0.27,1.2631
-6.25,0.47,1.2775
-6.35,0.49,1.2821
-6.4,0.49,1.292
-5.9,0.31,1.293
-5.95,0.35,1.2934
-6.3,0.41,1.301
-5.9,0.25,1.3067
-6.4,0.47,1.307
-6.05,0.29,1.3123
-6.0,0.27,1.3167
-6.1,0.31,1.3211
-5.95,0.25,1.3368
-6.15,0.33,1.3405
-6.35,0.43,1.3451
-6.3,0.49,1.355
-5.85,0.25,1.3557
-5.85,0.27,1.3611
-6.1,0.43,1.3621
-6.05,0.41,1.364
-6.2,0.35,1.368
-6.45,0.49,1.372
-6.4,0.51,1.373
-6.45,0.51,1.3745
-5.9,0.23,1.3749
-5.85,0.23,1.3825
-5.9,0.33,1.3849
-6.15,0.45,1.3871
-6.0,0.39,1.3936
-6.4,0.45,1.3936
-6.25,0.37,1.4017
-5.85,0.29,1.4069
-6.0,0.25,1.4307
-6.0,0.25,1.4307
-5.85,0.21,1.4328
-5.95,0.23,1.4364
-6.2,0.47,1.4371
-6.05,0.27,1.4386
-6.3,0.39,1.4397
-6.5,0.51,1.4432
-6.45,0.47,1.4461
-6.35,0.51,1.4494
-5.95,0.37,1.4505
-6.1,0.29,1.4574
-5.9,0.21,1.4584
-6.5,0.5,1.4641
-6.5,0.53,1.4656
-5.8,0.23,1.4688
-6.45,0.53,1.4755
-5.8,0.21,1.4792
-6.35,0.41,1.4809
-6.15,0.31,1.4845
-5.8,0.25,1.4872
-5.85,0.31,1.499
-5.85,0.19,1.4991
-6.5,0.49,1.5021
-6.0,0.4,1.5026
-6.25,0.49,1.5099
-5.8,0.19,1.5118
-6.2,0.33,1.5175
-6.55,0.53,1.5204
-6.4,0.43,1.5243
-5.9,0.35,1.5334
-5.8,0.27,1.5406
-5.95,0.21,1.5429
-6.0,0.23,1.55
-5.9,0.19,1.5504
-6.25,0.35,1.5547
-6.25,0.35,1.5547
-6.4,0.53,1.5586
-5.8,0.17,1.5604
-6.55,0.51,1.5616
-6.55,0.55,1.5652
-6.05,0.25,1.5689
-6.45,0.45,1.5694
-5.85,0.17,1.5752
-6.5,0.55,1.5887
-6.5,0.55,1.5887
-6.3,0.37,1.5945
-5.75,0.2,1.5964
-6.1,0.27,1.5967
-5.75,0.19,1.5969
-5.75,0.21,1.6017
-6.3,0.51,1.6031
-6.6,0.55,1.604
-5.75,0.17,1.6124
-6.05,0.43,1.6141
-6.5,0.47,1.6157
-5.8,0.15,1.6198
-6.6,0.53,1.625
-6.0,0.41,1.6275
-6.1,0.45,1.6285
-6.15,0.29,1.631
-5.75,0.23,1.6321
-5.8,0.29,1.634
-6.35,0.39,1.6357
-5.85,0.33,1.6408
-5.75,0.15,1.6436
-5.75,0.15,1.6436
-5.9,0.17,1.6461
-5.95,0.19,1.6514
-5.85,0.15,1.6567
-6.25,0.5,1.658
-6.55,0.49,1.6634
-5.95,0.39,1.669
-6.15,0.47,1.6697
-6.2,0.31,1.6697
-6.0,0.21,1.6697
-6.6,0.57,1.6732
-6.4,0.41,1.6774
-6.45,0.55,1.6813
-5.8,0.13,1.6859
-5.75,0.13,1.6861
-6.65,0.55,1.6928
-5.75,0.25,1.6929
-5.75,0.25,1.6929
-6.65,0.57,1.6943
-6.05,0.23,1.6981
-6.25,0.33,1.7111
-6.55,0.57,1.7123
-6.6,0.51,1.7126
-6.35,0.53,1.7144
-6.45,0.43,1.7191
-6.0,0.2,1.7288
-6.1,0.25,1.734
-5.7,0.15,1.7347
-5.7,0.17,1.7349
-6.2,0.49,1.7359
-5.75,0.11,1.7364
-5.9,0.37,1.7378
-5.85,0.13,1.7404
-5.9,0.15,1.7424
-5.7,0.13,1.7494
-5.7,0.19,1.7537
-6.3,0.35,1.7537
-5.8,0.11,1.7559
-5.95,0.17,1.7589
-6.5,0.45,1.7605
-6.5,0.45,1.7605
-5.75,0.1,1.7635
-6.65,0.53,1.7637
-6.7,0.57,1.7655
-5.8,0.31,1.7705
-6.15,0.27,1.775
-5.7,0.11,1.7753
-6.0,0.19,1.787
-5.75,0.27,1.7881
-6.65,0.59,1.7899
-5.75,0.09,1.7917
-6.7,0.59,1.7919
-5.7,0.21,1.795
-6.35,0.37,1.7966
-6.55,0.47,1.8014
-5.7,0.09,1.8097
-6.5,0.57,1.8165
-6.7,0.55,1.8174
-6.2,0.29,1.8191
-6.05,0.21,1.8237
-5.85,0.11,1.8242
-6.25,0.51,1.8251
-5.8,0.09,1.8274
-5.85,0.35,1.8325
-5.9,0.13,1.8372
-6.4,0.39,1.8389
-6.4,0.55,1.842
-6.6,0.49,1.842
-6.75,0.59,1.844
-6.6,0.59,1.846
-5.75,0.07,1.85
-5.7,0.07,1.8501
-6.75,0.6,1.8591
-5.7,0.23,1.8627
-5.95,0.15,1.8635
-6.25,0.31,1.8649
-6.1,0.23,1.8667
-6.75,0.57,1.8744
-5.65,0.11,1.8778
-5.65,0.13,1.8784
-6.45,0.41,1.88
-6.65,0.51,1.8826
-5.65,0.09,1.8882
-5.65,0.15,1.8929
-5.7,0.05,1.8945
-6.75,0.61,1.8976
-5.8,0.07,1.899
-6.0,0.17,1.9001
-5.85,0.09,1.9066
-5.65,0.07,1.9072
-5.75,0.05,1.9096
-5.75,0.05,1.9096
-6.3,0.33,1.9111
-6.15,0.25,1.9137
-6.7,0.61,1.9158
-6.5,0.43,1.9197
-5.75,0.29,1.9208
-6.0,0.43,1.9216
-6.7,0.53,1.9236
-5.65,0.17,1.9241
-6.05,0.45,1.927
-5.9,0.11,1.9294
-5.65,0.05,1.9328
-6.3,0.53,1.9352
-6.25,0.3,1.9399
-6.05,0.19,1.9441
-5.95,0.41,1.9444
-5.8,0.33,1.9514
-6.35,0.35,1.9566
-6.55,0.45,1.9577
-6.1,0.47,1.9601
-5.7,0.25,1.9601
-6.2,0.27,1.963
-6.55,0.59,1.9636
-5.95,0.13,1.9642
-6.75,0.55,1.9656
-6.75,0.55,1.9656
-5.8,0.05,1.9696
-5.65,0.19,1.9752
-6.45,0.57,1.9845
-5.85,0.07,1.9869
-6.65,0.61,1.99
-6.1,0.21,1.9934
-6.6,0.47,1.994
-5.9,0.39,1.9953
-6.4,0.37,2.0007
-5.75,0.3,2.0018
-6.0,0.15,2.0082
-6.0,0.15,2.0082
-6.25,0.29,2.0132
-5.9,0.09,2.0182
-6.15,0.49,2.0196
-5.6,0.07,2.0246
-5.6,0.09,2.0286
-6.65,0.49,2.0288
-5.6,0.05,2.0292
-6.45,0.39,2.043
-5.6,0.11,2.043
-6.15,0.23,2.0459
-5.65,0.21,2.0492
-6.75,0.63,2.0514
-5.75,0.0,2.0581
-6.05,0.17,2.0587
-5.95,0.11,2.0605
-6.7,0.51,2.0624
-6.3,0.31,2.063
-6.35,0.55,2.0643
-5.85,0.05,2.0644
-5.6,0.13,2.0702
-5.85,0.37,2.0733
-6.5,0.41,2.0829
-5.7,0.27,2.0901
-5.75,0.31,2.0928
-6.75,0.53,2.0952
-6.2,0.25,2.1
-5.9,0.07,2.1032
-6.2,0.51,2.104
-6.0,0.13,2.111
-6.35,0.33,2.1116
-5.6,0.15,2.1124
-6.1,0.19,2.1136
-6.55,0.43,2.1204
-6.6,0.61,2.1225
-6.5,0.59,2.1411
-6.7,0.63,2.1448
-5.65,0.23,2.1491
-5.95,0.09,2.1521
-6.25,0.27,2.1543
-6.6,0.45,2.1554
-6.4,0.35,2.1583
-6.5,0.4,2.1641
-6.05,0.15,2.1671
-6.15,0.21,2.171
-5.6,0.17,2.1721
-5.8,0.35,2.1772
-5.9,0.05,2.1843
-5.55,0.05,2.1844
-6.65,0.47,2.1878
-5.55,0.07,2.2012
-6.45,0.37,2.2026
-6.3,0.29,2.2078
-6.0,0.11,2.2083
-6.4,0.57,2.2108
-6.25,0.53,2.2113
-6.7,0.49,2.2179
-7.0,0.65,2.2214
-6.1,0.17,2.227
-5.55,0.09,2.228
-6.2,0.23,2.2294
-5.95,0.07,2.2389
-6.5,0.39,2.2442
-6.75,0.51,2.2459
-5.6,0.19,2.252
-6.0,0.1,2.2549
-5.7,0.29,2.255
-6.35,0.31,2.2597
-5.55,0.11,2.2663
-6.05,0.13,2.2694
-6.0,0.45,2.2708
-6.0,0.45,2.2708
-5.95,0.43,2.2729
-5.65,0.25,2.2775
-6.55,0.41,2.2827
-6.25,0.25,2.2876
-6.25,0.25,2.2876
-6.15,0.19,2.2888
-6.65,0.63,2.2932
-6.05,0.47,2.2968
-6.0,0.09,2.3002
-5.9,0.41,2.3034
-5.75,0.33,2.3054
-6.4,0.33,2.3093
-6.75,0.65,2.3108
-6.75,0.65,2.3108
-6.55,0.61,2.3112
-6.6,0.43,2.3181
-5.55,0.13,2.3181
-5.95,0.05,2.3212
-6.75,0.5,2.3252
-6.1,0.15,2.3337
-6.5,0.6,2.3363
-5.5,0.0,2.3385
-6.3,0.55,2.34
-6.3,0.27,2.3446
-6.1,0.49,2.3503
-6.65,0.45,2.3503
-6.2,0.21,2.3512
-5.6,0.21,2.3545
-6.45,0.35,2.3562
-5.85,0.39,2.362
-6.05,0.11,2.3658
-6.45,0.59,2.3736
-6.7,0.47,2.3795
-5.55,0.15,2.3856
-6.0,0.07,2.3869
-5.5,0.05,2.3952
-5.5,0.05,2.3952
-6.15,0.17,2.3995
-6.35,0.29,2.3998
-6.5,0.37,2.3999
-6.75,0.49,2.4057
-6.25,0.23,2.413
-6.15,0.51,2.4299
-5.5,0.07,2.4328
-6.1,0.13,2.434
-7.0,0.6,2.4346
-5.65,0.27,2.4366
-6.55,0.39,2.4404
-5.8,0.37,2.4477
-6.4,0.31,2.4524
-7.0,0.7,2.4548
-5.7,0.31,2.4564
-6.05,0.09,2.4564
-6.2,0.19,2.4654
-6.0,0.05,2.4686
-6.0,0.05,2.4686
-5.55,0.17,2.4708
-6.3,0.25,2.4734
-6.7,0.65,2.4761
-6.6,0.41,2.4774
-5.5,0.09,2.4809
-5.6,0.23,2.4819
-6.35,0.57,2.4883
-6.6,0.63,2.4947
-6.45,0.33,2.5021
-6.15,0.15,2.5033
-5.5,0.1,2.5094
-6.65,0.43,2.5108
-6.1,0.11,2.5281
-6.25,0.21,2.5306
-6.35,0.27,2.5317
-6.2,0.53,2.5342
-6.7,0.45,2.5406
-5.5,0.11,2.5412
-6.05,0.07,2.5417
-6.5,0.35,2.5485
-6.5,0.35,2.5485
-6.5,0.61,2.5519
-5.75,0.35,2.5595
-5.75,0.35,2.5595
-6.75,0.47,2.567
-7.25,0.7,2.57
-6.2,0.17,2.5725
-5.55,0.19,2.5758
-6.25,0.2,2.5866
-6.4,0.29,2.5873
-6.55,0.37,2.5913
-6.3,0.23,2.5941
-6.15,0.13,2.6007
-5.5,0.13,2.6155
-6.1,0.09,2.6165
-6.05,0.05,2.6218
-5.65,0.29,2.6287
-6.6,0.39,2.6305
-5.6,0.25,2.6367
-6.45,0.31,2.6398
-6.25,0.19,2.6408
-5.95,0.45,2.6521
-6.0,0.0,2.653
-6.4,0.59,2.6552
-6.35,0.25,2.6554
-5.45,0.05,2.6571
-5.9,0.43,2.6606
-6.25,0.55,2.6616
-6.25,0.55,2.6616
-7.25,0.75,2.6641
-6.65,0.41,2.6658
-6.0,0.47,2.6722
-6.2,0.15,2.6728
-6.5,0.33,2.6889
-6.65,0.65,2.6916
-6.15,0.11,2.6919
-5.7,0.33,2.6958
-6.7,0.43,2.6973
-5.85,0.41,2.6978
-6.1,0.07,2.6995
-5.55,0.21,2.7031
-5.5,0.15,2.7055
-5.5,0.15,2.7055
-6.3,0.21,2.7072
-5.45,0.07,2.7138
-6.4,0.27,2.7139
-6.05,0.49,2.7204
-6.75,0.45,2.725
-6.75,0.45,2.725
-6.55,0.35,2.7344
-6.25,0.17,2.7438
-6.55,0.63,2.7454
-5.8,0.39,2.7631
-6.2,0.13,2.7667
-6.45,0.29,2.7692
-6.35,0.23,2.7712
-6.6,0.37,2.776
-6.1,0.05,2.7774
-6.15,0.09,2.7774
-5.45,0.09,2.7815
-6.1,0.51,2.7959
-7.0,0.55,2.8105
-6.3,0.57,2.8108
-6.3,0.19,2.8128
-5.5,0.17,2.8132
-6.65,0.39,2.8138
-6.5,0.31,2.821
-5.6,0.27,2.821
-6.4,0.25,2.8324
-7.25,0.65,2.8345
-6.45,0.61,2.8397
-6.25,0.15,2.8402
-6.25,0.15,2.8402
-6.7,0.41,2.8475
-6.2,0.11,2.8546
-5.55,0.23,2.8546
-5.65,0.31,2.8554
-5.75,0.37,2.8558
-6.15,0.07,2.8576
-5.45,0.11,2.8618
-6.55,0.33,2.8691
-7.5,0.75,2.8755
-6.75,0.43,2.8772
-6.35,0.21,2.8794
-7.5,0.8,2.8823
-6.5,0.3,2.8839
-6.45,0.27,2.8903
-6.15,0.53,2.8973
-6.3,0.17,2.9116
-6.6,0.35,2.9134
-6.25,0.13,2.9303
-6.15,0.05,2.9328
-6.2,0.09,2.9369
-5.5,0.19,2.9406
-6.4,0.23,2.9431
-6.5,0.29,2.9448
-6.65,0.37,2.9537
-6.6,0.65,2.9539
-5.45,0.13,2.9563
-5.4,0.05,2.9649
-5.7,0.35,2.9748
-6.35,0.19,2.9805
-6.35,0.59,2.9806
-6.7,0.39,2.9899
-6.55,0.31,2.9955
-6.45,0.25,3.0036
-6.3,0.15,3.0039
-5.5,0.2,3.0123
-6.2,0.07,3.014
-6.25,0.11,3.0146
-6.75,0.41,3.0221
-6.2,0.55,3.0236
-5.55,0.25,3.0326
-5.6,0.29,3.037
-5.4,0.07,3.0392
-6.5,0.63,3.0412
-6.6,0.33,3.0424
-6.4,0.21,3.0465
-6.25,0.1,3.0548
-6.5,0.27,3.0605
-5.45,0.15,3.0665
-5.9,0.45,3.0668
-6.35,0.17,3.075
-5.85,0.43,3.0809
-5.95,0.47,3.0818
-7.75,0.85,3.0852
-6.65,0.35,3.0853
-6.2,0.05,3.0863
-5.5,0.21,3.0897
-6.3,0.13,3.0902
-6.75,0.4,3.0915
-6.25,0.09,3.0936
-6.45,0.23,3.1093
-6.55,0.29,3.1137
-5.65,0.33,3.1188
-5.8,0.41,3.124
-6.7,0.37,3.1241
-5.4,0.09,3.1249
-6.0,0.49,3.1256
-7.75,0.8,3.1342
-6.4,0.19,3.1431
-6.75,0.39,3.1589
-6.6,0.31,3.1632
-6.35,0.15,3.1632
-7.5,0.7,3.1664
-6.25,0.07,3.1675
-6.5,0.25,3.1686
-6.5,0.25,3.1686
-6.4,0.61,3.1699
-6.3,0.11,3.1709
-6.25,0.57,3.1733
-5.45,0.17,3.1944
-5.75,0.39,3.1955
-6.05,0.51,3.1975
-7.0,0.5,3.198
-6.45,0.21,3.208
-6.65,0.33,3.2086
-7.25,0.6,3.2124
-5.4,0.11,3.2233
-6.55,0.27,3.2242
-6.4,0.17,3.2333
-6.25,0.05,3.2369
-6.25,0.05,3.2369
-5.55,0.27,3.2394
-6.35,0.13,3.2457
-6.3,0.09,3.2465
-6.7,0.35,3.2501
-6.55,0.65,3.2594
-5.5,0.23,3.2628
-8.0,0.9,3.2644
-6.5,0.23,3.2694
-6.6,0.29,3.276
-5.6,0.31,3.2867
-6.75,0.37,3.2874
-5.7,0.37,3.2947
-6.1,0.53,3.2966
-6.45,0.19,3.3001
-5.35,0.05,3.3144
-6.3,0.07,3.3172
-6.4,0.15,3.3175
-6.35,0.11,3.3228
-6.65,0.31,3.3239
-6.55,0.25,3.3272
-7.0,0.75,3.3331
-5.4,0.13,3.3361
-5.45,0.19,3.342
-6.3,0.59,3.3454
-8.0,0.85,3.3498
-6.5,0.21,3.3635
-6.7,0.33,3.3678
-6.0,0.5,3.372
-7.25,0.8,3.3723
-6.45,0.63,3.3781
-6.6,0.27,3.3813
-5.75,0.4,3.3821
-6.3,0.05,3.3836
-6.45,0.17,3.386
-6.75,0.7,3.3887
-6.25,0.0,3.3923
-6.35,0.09,3.3949
-6.4,0.13,3.3961
-5.35,0.07,3.4049
-6.75,0.35,3.4077
-6.75,0.35,3.4077
-6.5,0.2,3.4081
-8.25,0.95,3.4187
-5.65,0.35,3.4207
-6.15,0.55,3.4218
-6.55,0.23,3.4233
-6.65,0.29,3.4315
-7.75,0.75,3.4391
-6.5,0.19,3.4512
-7.5,0.85,3.4592
-5.5,0.25,3.462
-5.5,0.25,3.462
-6.35,0.07,3.4625
-5.4,0.15,3.4648
-6.45,0.15,3.4663
-6.4,0.11,3.4697
-5.55,0.29,3.4773
-6.7,0.31,3.4778
-6.6,0.25,3.4794
-5.35,0.09,3.507
-5.45,0.21,3.5111
-5.85,0.45,3.5125
-6.55,0.21,3.5129
-6.75,0.33,3.5201
-5.9,0.47,3.523
-6.35,0.05,3.5259
-8.25,0.9,3.5281
-5.8,0.43,3.5316
-6.65,0.27,3.5318
-6.5,0.17,3.5331
-6.4,0.09,3.5386
-6.35,0.61,3.539
-6.45,0.13,3.5413
-7.5,0.65,3.5415
-7.0,0.45,3.5467
-8.5,1.0,3.5497
-5.95,0.49,3.563
-7.75,0.9,3.565
-6.6,0.23,3.571
-6.2,0.57,3.5722
-5.6,0.33,3.5723
-5.75,0.41,3.5801
-6.7,0.29,3.5803
-7.25,0.55,3.5873
-6.55,0.19,3.5965
-6.4,0.07,3.603
-6.5,0.65,3.6049
-6.5,0.65,3.6049
-6.5,0.15,3.6096
-6.5,0.15,3.6096
-5.4,0.17,3.6113
-6.45,0.11,3.6114
-5.35,0.11,3.6222
-6.75,0.31,3.625
-6.65,0.25,3.6253
-6.0,0.51,3.632
-6.6,0.21,3.6563
-5.7,0.39,3.6576
-8.75,1.05,3.6602
-8.0,0.8,3.662
-6.4,0.05,3.6635
-8.0,0.95,3.6735
-6.55,0.17,3.6745
-6.75,0.3,3.6747
-8.5,0.95,3.675
-6.7,0.27,3.6759
-6.45,0.09,3.6771
-6.5,0.13,3.681
-5.5,0.27,3.6896
-5.3,0.05,3.7022
-5.45,0.23,3.704
-6.65,0.23,3.7124
-6.75,0.29,3.7226
-6.05,0.53,3.7292
-6.6,0.19,3.7358
-6.45,0.07,3.7385
-6.25,0.59,3.7466
-6.55,0.15,3.7473
-6.5,0.11,3.7478
-5.55,0.31,3.7484
-5.35,0.13,3.7519
-9.0,1.1,3.753
-6.4,0.63,3.7532
-5.65,0.37,3.7632
-6.7,0.25,3.7649
-8.25,1.0,3.7768
