날짜,종가_실제,종가_시뮬,일일수익률_실제,일일수익률_시뮬,일일수익률_절대차이,누적수익률_실제(%),누적수익률_시뮬(%),누적배수_로그차이_abs(%),누적배수_로그차이_signed(%)
2010-02-11,0.2064,0.2064,,,,0.0,0.0,0.0,0.0
2010-02-12,0.2072,0.2077,0.4094,0.6116,0.2022,0.4094,0.6116,0.2012,0.2012
2010-02-16,0.2153,0.2156,3.8733,3.8323,0.0409,4.2985,4.4674,0.1618,0.1618
2010-02-17,0.2189,0.2193,1.697,1.6857,0.0113,6.0684,6.2284,0.1507,0.1507
2010-02-18,0.2231,0.2234,1.8961,1.878,0.0181,8.0796,8.2234,0.1329,0.1329
2010-02-19,0.2231,0.2231,0.0,-0.1405,0.1405,8.0796,8.0713,0.0077,-0.0077
2010-02-22,0.2215,0.2217,-0.702,-0.6088,0.0932,7.3209,7.4133,0.0861,0.0861
2010-02-23,0.2129,0.2131,-3.9042,-3.8961,0.0081,3.1309,3.2284,0.0946,0.0946
2010-02-24,0.2193,0.2196,3.0241,3.0505,0.0265,6.2496,6.3775,0.1202,0.1202
2010-02-25,0.2192,0.2194,-0.0575,-0.0739,0.0165,6.1886,6.2988,0.1038,0.1038
2010-02-26,0.2219,0.2217,1.2479,1.0696,0.1783,7.5137,7.4358,0.0725,-0.0725
2010-03-01,0.2314,0.2314,4.2892,4.3496,0.0604,12.1252,12.1088,0.0146,-0.0146
2010-03-02,0.2328,0.2335,0.6011,0.9179,0.3169,12.7992,13.1379,0.2999,0.2999
2010-03-03,0.2341,0.2343,0.5558,0.3225,0.2333,13.4261,13.5028,0.0675,0.0675
2010-03-04,0.2367,0.2366,1.1038,0.9799,0.1239,14.6781,14.615,0.055,-0.055
2010-03-05,0.2472,0.2472,4.4201,4.5176,0.0975,19.747,19.7929,0.0383,0.0383
2010-03-08,0.2485,0.2487,0.5333,0.5746,0.0413,20.3856,20.4811,0.0794,0.0794
2010-03-09,0.2529,0.2528,1.77,1.6694,0.1006,22.5164,22.4925,0.0196,-0.0196
2010-03-10,0.2591,0.259,2.4471,2.4295,0.0176,25.5145,25.4684,0.0368,-0.0368
2010-03-11,0.2614,0.2619,0.921,1.1378,0.2167,26.6706,26.8959,0.1777,0.1777
2010-03-12,0.262,0.2621,0.228,0.0565,0.1715,26.9593,26.9676,0.0065,0.0065
2010-03-15,0.2603,0.26,-0.6732,-0.7671,0.0939,26.1047,25.9937,0.0881,-0.0881
2010-03-16,0.2652,0.265,1.8907,1.8983,0.0076,28.4889,28.3854,0.0806,-0.0806
2010-03-17,0.267,0.2671,0.6934,0.8133,0.1199,29.3799,29.4296,0.0384,0.0384
2010-03-18,0.2697,0.2698,1.0145,1.0,0.0145,30.6925,30.7239,0.0241,0.0241
2010-03-19,0.265,0.2649,-1.7691,-1.8214,0.0523,28.3804,28.3429,0.0292,-0.0292
2010-03-22,0.2721,0.2721,2.701,2.7093,0.0082,31.848,31.8201,0.0212,-0.0212
2010-03-23,0.2778,0.2777,2.0917,2.059,0.0326,34.6058,34.5343,0.0532,-0.0532
2010-03-24,0.2739,0.2737,-1.4225,-1.4369,0.0144,32.691,32.6011,0.0678,-0.0678
2010-03-25,0.2722,0.2725,-0.6262,-0.4443,0.1819,31.8601,32.0119,0.1151,0.1151
2010-03-26,0.2736,0.2733,0.5207,0.306,0.2146,32.5467,32.4159,0.0987,-0.0987
2010-03-29,0.2773,0.2772,1.3719,1.4306,0.0587,34.365,34.3103,0.0408,-0.0408
2010-03-30,0.2802,0.28,1.0486,0.9883,0.0603,35.7739,35.6377,0.1004,-0.1004
2010-03-31,0.2765,0.2759,-1.3482,-1.4329,0.0847,33.9435,33.6941,0.1864,-0.1864
