날짜,종가_실제,종가_시뮬,일일수익률_실제,일일수익률_시뮬,일일수익률_절대차이,누적수익률_실제(%),누적수익률_시뮬(%),누적배수_로그차이_abs(%),누적배수_로그차이_signed(%)
2010-02-11,0.2064,0.2064,,,,0.0,0.0,0.0,0.0
2010-02-12,0.2072,0.2077,0.4089,0.6116,0.2027,0.4089,0.6116,0.2016,0.2016
2010-02-16,0.2153,0.2156,3.8738,3.8324,0.0413,4.2985,4.4674,0.1618,0.1618
2010-02-17,0.2189,0.2193,1.697,1.6857,0.0112,6.0684,6.2285,0.1508,0.1508
2010-02-18,0.2231,0.2234,1.8961,1.8779,0.0183,8.0796,8.2233,0.1328,0.1328
2010-02-19,0.2231,0.2231,0.0,-0.1403,0.1403,8.0796,8.0714,0.0076,-0.0076
2010-02-22,0.2215,0.2217,-0.702,-0.6089,0.0931,7.3209,7.4134,0.0861,0.0861
2010-02-23,0.2129,0.2131,-3.9042,-3.8958,0.0084,3.1309,3.2288,0.0949,0.0949
2010-02-24,0.2193,0.2196,3.0241,3.0503,0.0262,6.2496,6.3775,0.1203,0.1203
2010-02-25,0.2192,0.2194,-0.057,-0.0739,0.0169,6.1891,6.2989,0.1034,0.1034
2010-02-26,0.2219,0.2217,1.2474,1.0696,0.1778,7.5137,7.4359,0.0724,-0.0724
2010-03-01,0.2314,0.2314,4.2892,4.3497,0.0604,12.1252,12.109,0.0145,-0.0145
2010-03-02,0.2328,0.2335,0.6011,0.9179,0.3168,12.7992,13.138,0.3,0.3
2010-03-03,0.2341,0.2343,0.5558,0.3225,0.2333,13.4261,13.5029,0.0677,0.0677
2010-03-04,0.2367,0.2366,1.1038,0.9799,0.1239,14.6781,14.6151,0.055,-0.055
2010-03-05,0.2472,0.2472,4.4201,4.5176,0.0975,19.747,19.793,0.0384,0.0384
2010-03-08,0.2485,0.2487,0.5333,0.5744,0.0411,20.3856,20.4811,0.0793,0.0793
2010-03-09,0.2529,0.2528,1.77,1.6695,0.1006,22.5164,22.4924,0.0196,-0.0196
2010-03-10,0.2591,0.259,2.4471,2.4294,0.0177,25.5145,25.4683,0.0369,-0.0369
2010-03-11,0.2614,0.2619,0.921,1.1379,0.2169,26.6706,26.896,0.1778,0.1778
2010-03-12,0.262,0.2621,0.228,0.0565,0.1715,26.9593,26.9677,0.0066,0.0066
2010-03-15,0.2603,0.26,-0.6732,-0.767,0.0938,26.1047,25.9938,0.0879,-0.0879
2010-03-16,0.2652,0.265,1.8907,1.8982,0.0075,28.4889,28.3855,0.0806,-0.0806
2010-03-17,0.267,0.2671,0.6934,0.8134,0.12,29.3799,29.4298,0.0385,0.0385
2010-03-18,0.2697,0.2698,1.0145,1.0,0.0145,30.6925,30.724,0.0242,0.0242
2010-03-19,0.265,0.2649,-1.7691,-1.8214,0.0523,28.3804,28.3431,0.0291,-0.0291
2010-03-22,0.2721,0.2721,2.701,2.7092,0.0082,31.848,31.8201,0.0211,-0.0211
2010-03-23,0.2778,0.2777,2.0917,2.0592,0.0325,34.6058,34.5345,0.053,-0.053
2010-03-24,0.2739,0.2737,-1.4225,-1.437,0.0145,32.691,32.6013,0.0677,-0.0677
2010-03-25,0.2722,0.2725,-0.6262,-0.4442,0.182,31.8601,32.0122,0.1153,0.1153
2010-03-26,0.2736,0.2733,0.5207,0.3059,0.2147,32.5467,32.4161,0.0986,-0.0986
2010-03-29,0.2773,0.2772,1.3719,1.4306,0.0588,34.365,34.3105,0.0406,-0.0406
2010-03-30,0.2802,0.28,1.0486,0.9881,0.0605,35.7739,35.6376,0.1005,-0.1005
2010-03-31,0.2765,0.2759,-1.3482,-1.4327,0.0845,33.9435,33.6943,0.1862,-0.1862
2010-04-01,0.2759,0.2759,-0.1979,-0.0073,0.1906,33.6785,33.6846,0.0046,0.0046
2010-04-05,0.2839,0.2836,2.8916,2.7958,0.0957,37.5438,37.4222,0.0885,-0.0885
2010-04-06,0.286,0.2861,0.7616,0.8568,0.0952,38.5913,38.5996,0.006,0.006
2010-04-07,0.2844,0.2839,-0.5649,-0.7459,0.1809,37.8084,37.5659,0.1761,-0.1761
2010-04-08,0.2855,0.2858,0.3586,0.6715,0.3129,38.3026,38.4896,0.1351,0.1351
