연월,금리수준(%),금리변화(%p),월말누적오차(%),월간오차변화(%),일일오차월합(%),금리변화Lag1(%p),금리변화Lag2(%p)
2010-02,0.13,,-0.0807,,-0.0806,,
2010-03,0.16,0.03,-0.213,-0.1323,-0.1321,,
2010-04,0.2,0.04,-0.1727,0.0403,0.0399,0.03,
2010-05,0.2,0.0,-0.3837,-0.211,-0.211,0.04,0.03
2010-06,0.18,-0.02,0.0002,0.3839,0.3841,0.0,0.04
2010-07,0.18,0.0,0.1348,0.1346,0.1344,-0.02,0.0
2010-08,0.19,0.01,-0.316,-0.4508,-0.4507,0.0,-0.02
2010-09,0.19,0.0,0.0463,0.3623,0.3623,0.01,0.0
2010-10,0.19,0.0,-0.0256,-0.0719,-0.072,0.0,0.01
2010-11,0.19,0.0,0.0935,0.1191,0.1189,0.0,0.0
2010-12,0.18,-0.01,-0.1767,-0.2702,-0.2703,0.0,0.0
2011-01,0.17,-0.01,-0.1651,0.0116,0.0114,-0.01,0.0
2011-02,0.16,-0.01,-0.2455,-0.0804,-0.0807,-0.01,-0.01
2011-03,0.14,-0.02,-0.2924,-0.0469,-0.0468,-0.01,-0.01
2011-04,0.1,-0.04,-0.4395,-0.1471,-0.1469,-0.02,-0.01
2011-05,0.09,-0.01,-0.2978,0.1417,0.1416,-0.04,-0.02
2011-06,0.09,0.0,-0.2972,0.0006,0.0006,-0.01,-0.04
2011-07,0.07,-0.02,-0.5938,-0.2966,-0.2964,0.0,-0.01
2011-08,0.1,0.03,-0.6312,-0.0374,-0.0373,-0.02,0.0
2011-09,0.08,-0.02,-0.7878,-0.1566,-0.1567,0.03,-0.02
2011-10,0.07,-0.01,-0.5806,0.2072,0.2072,-0.02,0.03
2011-11,0.08,0.01,-0.4977,0.0829,0.083,-0.01,-0.02
2011-12,0.07,-0.01,-0.4465,0.0512,0.0511,0.01,-0.01
2012-01,0.08,0.01,-0.4314,0.0151,0.0153,-0.01,0.01
2012-02,0.1,0.02,-0.5625,-0.1311,-0.1313,0.01,-0.01
2012-03,0.13,0.03,-0.6715,-0.109,-0.1093,0.02,0.01
2012-04,0.14,0.01,-0.7368,-0.0653,-0.0653,0.03,0.02
2012-05,0.16,0.02,-0.726,0.0108,0.011,0.01,0.03
2012-06,0.16,0.0,-0.9261,-0.2001,-0.2003,0.02,0.01
2012-07,0.16,0.0,-1.0118,-0.0857,-0.0858,0.0,0.02
2012-08,0.13,-0.03,-1.227,-0.2152,-0.2152,0.0,0.0
2012-09,0.14,0.01,-1.2754,-0.0484,-0.0485,-0.03,0.0
2012-10,0.16,0.02,-1.2069,0.0685,0.0684,0.01,-0.03
2012-11,0.16,0.0,-1.3079,-0.101,-0.1008,0.02,0.01
2012-12,0.16,0.0,-1.4183,-0.1104,-0.1104,0.0,0.02
2013-01,0.14,-0.02,-1.4547,-0.0364,-0.0364,0.0,0.0
2013-02,0.15,0.01,-1.6432,-0.1885,-0.1882,-0.02,0.0
2013-03,0.14,-0.01,-1.4247,0.2185,0.2184,0.01,-0.02
2013-04,0.15,0.01,-1.5131,-0.0884,-0.0883,-0.01,0.01
2013-05,0.11,-0.04,-1.5342,-0.0211,-0.0209,0.01,-0.01
2013-06,0.09,-0.02,-1.1944,0.3398,0.34,-0.04,0.01
2013-07,0.09,0.0,-1.5971,-0.4027,-0.4024,-0.02,-0.04
2013-08,0.08,-0.01,-1.6216,-0.0245,-0.0245,0.0,-0.02
2013-09,0.08,0.0,-1.6836,-0.062,-0.0619,-0.01,0.0
2013-10,0.09,0.01,-1.6061,0.0775,0.0774,0.0,-0.01
2013-11,0.08,-0.01,-1.4351,0.171,0.1709,0.01,0.0
2013-12,0.09,0.01,-1.6294,-0.1943,-0.1943,-0.01,0.01
2014-01,0.07,-0.02,-1.6118,0.0176,0.0176,0.01,-0.01
2014-02,0.07,0.0,-1.4378,0.174,0.1743,-0.02,0.01
2014-03,0.08,0.01,-1.5515,-0.1137,-0.1136,0.0,-0.02
2014-04,0.09,0.01,-1.6994,-0.1479,-0.1479,0.01,0.0
2014-05,0.09,0.0,-1.6681,0.0313,0.0315,0.01,0.01
2014-06,0.1,0.01,-1.7217,-0.0536,-0.0536,0.0,0.01
2014-07,0.09,-0.01,-1.795,-0.0733,-0.0732,0.01,0.0
2014-08,0.09,0.0,-1.813,-0.018,-0.0178,-0.01,0.01
2014-09,0.09,0.0,-1.8043,0.0087,0.0084,0.0,-0.01
2014-10,0.09,0.0,-1.7085,0.0958,0.0958,0.0,0.0
2014-11,0.09,0.0,-1.9622,-0.2537,-0.2537,0.0,0.0
2014-12,0.12,0.03,-1.7465,0.2157,0.2158,0.0,0.0
2015-01,0.11,-0.01,-1.8297,-0.0832,-0.0831,0.03,0.0
2015-02,0.11,0.0,-1.799,0.0307,0.0309,-0.01,0.03
2015-03,0.11,0.0,-1.9325,-0.1335,-0.1337,0.0,-0.01
2015-04,0.12,0.01,-1.789,0.1435,0.1434,0.0,0.0
2015-05,0.12,0.0,-1.8466,-0.0576,-0.0573,0.01,0.0
2015-06,0.13,0.01,-2.0465,-0.1999,-0.1996,0.0,0.01
2015-07,0.13,0.0,-1.9084,0.1381,0.1381,0.01,0.0
2015-08,0.14,0.01,-1.876,0.0324,0.0329,0.0,0.01
2015-09,0.14,0.0,-1.7803,0.0957,0.0956,0.01,0.0
2015-10,0.12,-0.02,-1.9569,-0.1766,-0.1767,0.0,0.01
2015-11,0.12,0.0,-2.0037,-0.0468,-0.047,-0.02,0.0
2015-12,0.24,0.12,-2.0943,-0.0906,-0.0906,0.0,-0.02
2016-01,0.34,0.1,-2.1146,-0.0203,-0.0204,0.12,0.0
2016-02,0.38,0.04,-2.0872,0.0274,0.0276,0.1,0.12
2016-03,0.36,-0.02,-1.9971,0.0901,0.0902,0.04,0.1
2016-04,0.37,0.01,-2.3168,-0.3197,-0.3199,-0.02,0.04
2016-05,0.37,0.0,-2.2094,0.1074,0.1071,0.01,-0.02
2016-06,0.38,0.01,-2.3414,-0.132,-0.1317,0.0,0.01
2016-07,0.39,0.01,-2.3464,-0.005,-0.0048,0.01,0.0
2016-08,0.4,0.01,-2.4847,-0.1383,-0.1383,0.01,0.01
2016-09,0.4,0.0,-2.3302,0.1545,0.1544,0.01,0.01
2016-10,0.4,0.0,-2.4099,-0.0797,-0.0796,0.0,0.01
2016-11,0.41,0.01,-2.9442,-0.5343,-0.5344,0.0,0.0
2016-12,0.54,0.13,-2.6657,0.2785,0.2782,0.01,0.0
2017-01,0.65,0.11,-2.6385,0.0272,0.0273,0.13,0.01
