Date,Open,High,Low,Close,Volume
2003-04-14,7.186548,7.236703,7.186548,7.236703,93600
2003-04-15,7.281127,7.34418,7.281127,7.322685,421200
2003-04-16,7.401501,7.437326,7.401501,7.407233,9000
2003-04-17,7.448072,7.462402,7.435175,7.460253,17100
2003-04-21,7.46885,7.469566,7.451655,7.457386,72900
2003-04-22,7.45667,7.482465,7.433743,7.482465,19800
2003-04-23,7.48748,7.517574,7.462403,7.517574,31500
2003-04-24,7.458819,7.458819,7.351343,7.369256,90000
2003-04-25,7.266079,7.266079,7.236702,7.247449,102600
2003-04-28,7.266077,7.367104,7.265361,7.367104,91800
2003-04-29,7.481033,7.580627,7.481033,7.577044,76500
2003-04-30,7.559132,7.56558,7.536204,7.55555,228600
2003-05-01,7.534051,7.564144,7.523304,7.52617,234900
2003-05-02,7.550533,7.64153,7.550533,7.64153,67500
2003-05-05,7.670191,7.725362,7.670191,7.723929,47700
2003-05-06,7.72393,7.772652,7.716765,7.763338,109800
2003-05-07,7.731091,7.750437,7.724643,7.749004,313200
2003-05-08,7.702431,7.70673,7.673771,7.680936,417600
2003-05-09,7.691687,7.776951,7.691687,7.771219,63000
2003-05-12,7.806327,7.879411,7.802745,7.879411,752400
2003-05-13,7.851463,7.851463,7.813488,7.834983,276300
2003-05-14,7.834985,7.834985,7.780531,7.795578,206100
2003-05-15,7.81134,7.81134,7.791994,7.81134,337500
2003-05-16,7.831401,7.845732,7.795576,7.817071,256500
2003-05-19,7.766915,7.766915,7.602119,7.630779,128700
2003-05-20,7.648691,7.678068,7.627196,7.668754,53100
2003-05-21,7.655144,7.677356,7.61502,7.675206,45900
2003-05-22,7.677355,7.744707,7.677355,7.744707,84600
2003-05-23,7.799161,7.842868,7.799161,7.824239,74700
2003-05-27,7.842867,8.109408,7.842867,8.104392,864000
2003-05-28,8.104393,8.150966,8.104393,8.139502,396000
2003-05-29,8.132334,8.166727,8.118005,8.150248,306900
2003-05-30,8.168165,8.244831,8.151685,8.244831,368100
2003-06-02,8.26847,8.397441,8.26847,8.304296,587700
2003-06-03,8.311463,8.311463,8.173177,8.241245,244800
2003-06-04,8.239812,8.348004,8.239812,8.347287,241200
2003-06-05,8.377379,8.377379,8.30143,8.355885,509400
2003-06-06,8.401026,8.51925,8.40031,8.433986,608400
2003-06-09,8.444732,8.444732,8.335106,8.361617,208800
2003-06-10,8.364483,8.447598,8.364483,8.447598,233100
2003-06-11,8.444013,8.461209,8.38311,8.454761,294300
2003-06-12,8.46909,8.518529,8.462641,8.518529,402300
2003-06-13,8.498471,8.522832,8.492022,8.515667,694800
2003-06-16,8.540741,8.608094,8.529995,8.607377,163800
2003-06-17,8.695505,8.791517,8.695505,8.784352,352800
2003-06-18,8.76071,8.80155,8.732766,8.752111,171900
2003-06-19,8.823762,8.838093,8.741365,8.752111,225900
2003-06-20,8.777189,8.791519,8.727034,8.752111,300600
2003-06-23,8.723452,8.723452,8.535012,8.537161,332100
2003-06-24,8.501335,8.501335,8.426102,8.474108,188100
2003-06-25,8.495601,8.596629,8.495601,8.544324,1045800
2003-06-26,8.585167,8.641055,8.570121,8.636756,210600
2003-06-27,8.648218,8.651801,8.575135,8.59663,373500
2003-06-30,8.62099,8.62099,8.576567,8.590897,279900
2003-07-01,8.623138,8.691206,8.59806,8.684041,679500
2003-07-02,8.780773,8.894697,8.780773,8.888248,1129500
2003-07-03,8.913325,8.917625,8.895413,8.913325,110700
2003-07-07,9.006472,9.134009,9.006472,9.134009,569700
2003-07-08,9.151204,9.176282,9.117529,9.159802,347400
2003-07-09,9.153352,9.153352,9.099614,9.138306,472500
2003-07-10,9.088153,9.088153,8.949151,8.977811,1603800
2003-07-11,8.977815,9.053048,8.977815,9.053048,212400
2003-07-14,9.153355,9.250084,9.153355,9.21211,683100
2003-07-15,9.257247,9.257247,9.096033,9.096033,2222100
2003-07-16,9.078123,9.128279,9.051613,9.103201,828000
2003-07-17,9.045876,9.045876,8.865317,8.865317,367200
2003-07-18,8.881082,8.983542,8.881082,8.983542,205200
2003-07-21,8.948433,8.948433,8.853138,8.864602,2148300
2003-07-22,8.88753,8.982109,8.8775,8.970645,1022400
2003-07-23,8.941986,8.941986,8.860304,8.913325,904500
2003-07-24,8.974226,9.034412,8.956313,8.956313,749700
2003-07-25,9.022236,9.103201,9.010055,9.103201,212400
2003-07-28,9.156937,9.182014,9.128277,9.153354,1040400
2003-07-29,9.167687,9.171986,9.092454,9.101768,805500
2003-07-30,9.080268,9.081701,9.017215,9.035129,56700
2003-07-31,9.04946,9.106064,9.04946,9.07812,339300
2003-08-01,9.096034,9.113947,9.086003,9.098184,441000
2003-08-04,9.110364,9.11538,9.027966,9.05806,394200
2003-08-05,9.058059,9.058059,8.960614,8.960614,290700
2003-08-06,8.958463,8.968494,8.897561,8.920488,371700
2003-08-07,8.984974,9.012918,8.963478,8.98569,288900
2003-08-08,9.060209,9.063792,9.023667,9.045878,153000
2003-08-11,9.099618,9.117531,9.063793,9.085288,665100
2003-08-12,9.101768,9.128995,9.088871,9.121114,727200
2003-08-13,9.233602,9.278743,9.191329,9.250082,721800
2003-08-14,9.255818,9.37834,9.255818,9.371891,404100
2003-08-15,9.278744,9.278744,9.278744,9.278744,48600
2003-08-18,9.364724,9.477932,9.35541,9.4765,1189800
2003-08-19,9.529519,9.529519,9.465034,9.523071,453600
2003-08-20,9.50086,9.524506,9.466469,9.524506,1125000
2003-08-21,9.601889,9.702916,9.590424,9.699333,1083600
2003-08-22,9.816123,9.816123,9.719395,9.748772,1008000
2003-08-25,9.735157,9.735157,9.662789,9.672821,391500
2003-08-26,9.633413,9.633413,9.497278,9.554598,1186200
2003-08-27,9.569646,9.665658,9.535254,9.665658,632700
2003-08-28,9.699331,9.733006,9.64201,9.733006,441900
2003-08-29,9.794627,9.823287,9.794627,9.803226,417600
2003-09-02,9.887774,9.95011,9.873444,9.948677,1471500
2003-09-03,10.084811,10.084811,10.020325,10.027491,887400
2003-09-04,10.035372,10.077647,10.024625,10.063316,458100
2003-09-05,10.081228,10.081228,10.034655,10.054001,532800
2003-09-08,10.153593,10.25677,10.153593,10.24459,659700
2003-09-09,10.266088,10.266088,10.051137,10.066899,387900
2003-09-10,10.051135,10.051135,9.847647,9.899236,569700
2003-09-11,9.902819,9.985934,9.887773,9.887773,1097100
2003-09-12,9.920015,9.95799,9.851947,9.95799,948600
2003-09-15,9.97232,9.97232,9.780297,9.811107,809100
2003-09-16,9.909268,10.013161,9.887056,10.013161,1987200
2003-09-17,10.030358,10.039673,9.963723,9.970172,982800
2003-09-18,9.99453,10.102723,9.959421,10.08481,762300
2003-09-19,10.099144,10.099144,10.016029,10.038241,466200
2003-09-22,9.993098,9.993098,9.831168,9.874158,4203900
2003-09-23,9.884909,9.905687,9.872012,9.898522,453600
2003-09-24,10.025341,10.044687,9.909267,9.916432,789300
2003-09-25,9.916431,9.916431,9.769547,9.769547,530100
2003-09-26,9.769549,9.769549,9.701481,9.701481,2994300
2003-09-29,9.717245,9.778865,9.708648,9.770267,1071000
2003-09-30,9.831171,9.831171,9.708649,9.739458,2218500
2003-10-01,9.874159,9.998115,9.866994,9.995249,1123200
2003-10-02,10.08911,10.156461,10.066898,10.138549,1017900
2003-10-03,10.281851,10.284001,10.221665,10.238861,2016900
2003-10-06,10.290448,10.300479,10.248174,10.278267,356400
2003-10-07,10.310511,10.310511,10.246026,10.267521,529200
2003-10-08,10.357799,10.364248,10.331288,10.344186,351000
2003-10-09,10.5097,10.568455,10.496804,10.518299,987300
2003-10-10,10.574186,10.650136,10.574186,10.647269,1278000
2003-10-13,10.711756,10.818516,10.711756,10.808484,1638000
2003-10-14,10.777671,10.777671,10.597111,10.602127,1341000
2003-10-15,10.729668,10.769076,10.70459,10.730384,2833200
2003-10-16,10.730384,10.754746,10.711755,10.727518,284400
2003-10-17,10.731817,10.731817,10.640104,10.662316,273600
2003-10-20,10.741848,10.754029,10.708173,10.721786,448200
2003-10-21,10.746865,10.775524,10.73325,10.775524,977400
2003-10-22,10.754742,10.754742,10.573467,10.617172,1390500
2003-10-23,10.460979,10.460979,10.390761,10.460979,849600
2003-10-24,10.389324,10.405805,10.354216,10.405805,1303200
2003-10-27,10.475306,10.532626,10.475306,10.525461,1175400
2003-10-28,10.661597,10.682376,10.632937,10.669478,625500
2003-10-29,10.704589,10.761908,10.683094,10.758326,775800
2003-10-30,10.806334,10.815648,10.71892,10.719636,603900
2003-10-31,10.728231,10.73468,10.620039,10.633652,305100
2003-11-03,10.819231,10.890881,10.804901,10.887299,1420200
2003-11-04,10.960384,10.962532,10.900912,10.917393,923400
2003-11-05,10.943185,10.960382,10.895179,10.931722,1408500
2003-11-06,10.887294,10.887294,10.798447,10.853619,745200
2003-11-07,10.863654,10.904495,10.851473,10.865087,659700
2003-11-10,10.841442,10.841442,10.708173,10.715338,644400
2003-11-11,10.636521,10.636521,10.539793,10.577768,731700
2003-11-12,10.645837,10.779108,10.630791,10.766212,657900
2003-11-13,10.842876,10.850041,10.756895,10.849324,972900
2003-11-14,10.824961,10.860786,10.756892,10.794151,451800
2003-11-17,10.711752,10.711752,10.519729,10.583498,1896300
2003-11-18,10.650852,10.679513,10.60428,10.60428,1236600
2003-11-19,10.568453,10.568453,10.501102,10.535494,1089900
2003-11-20,10.443063,10.457393,10.389324,10.399356,505800
2003-11-21,10.435182,10.489636,10.435182,10.489636,363600
2003-11-24,10.489637,10.607861,10.471725,10.603561,1182600
2003-11-25,10.635804,10.668762,10.604277,10.640102,2041200
2003-11-26,10.733966,10.737549,10.679512,10.737549,1207800
2003-11-28,10.746864,10.864371,10.733249,10.83356,619200
2003-12-01,10.991188,11.143805,10.991188,11.143805,1340100
2003-12-02,11.143806,11.143806,11.080754,11.094368,2511900
2003-12-03,11.150257,11.159571,11.055677,11.055677,824400
2003-12-04,11.055675,11.055675,10.944617,10.979726,709200
2003-12-05,10.96468,10.989042,10.903778,10.958948,1263600
2003-12-08,10.944619,10.991191,10.93817,10.980445,753300
2003-12-09,11.041349,11.059261,10.934589,10.934589,1598400
2003-12-10,10.991191,10.998357,10.869387,10.890882,561600
2003-12-11,10.987607,11.095799,10.97686,11.089351,819000
2003-12-12,11.140224,11.141656,11.106547,11.140224,1101600
2003-12-15,11.233369,11.250565,11.12016,11.148821,1232100
2003-12-16,11.159571,11.159571,11.049946,11.102251,669600
2003-12-17,11.031313,11.031313,10.946766,10.973276,1114200
2003-12-18,11.018416,11.150253,11.018416,11.150253,657900
2003-12-19,11.123746,11.192531,11.123746,11.177484,559800
2003-12-22,11.220161,11.335314,11.194971,11.335314,1562400
2003-12-23,11.335312,11.366259,11.311562,11.366259,1328400
2003-12-24,11.401524,11.421676,11.378494,11.402964,279000
2003-12-26,11.443267,11.443267,11.422394,11.431751,216900
2003-12-29,11.515237,11.60448,11.500843,11.60448,1450800
2003-12-30,11.672853,11.720353,11.6563,11.659898,1374300
2003-12-31,11.725515,11.819147,11.725515,11.806902,979200
2004-01-02,11.891171,12.12813,11.891171,12.069792,1845000
2004-01-05,12.402538,12.493288,12.316109,12.493288,2981700
2004-01-06,12.493287,12.493287,12.334115,12.35212,3776400
2004-01-07,12.2801,12.380934,12.2801,12.380934,1075500
2004-01-08,12.410461,12.452955,12.321871,12.427747,1148400
2004-01-09,12.437834,12.504816,12.39894,12.405422,1143900
2004-01-12,12.434948,12.449354,12.347079,12.394615,1753200
2004-01-13,12.420546,12.43135,12.283701,12.324034,1361700
2004-01-14,12.280818,12.363645,12.276495,12.343477,1150200
2004-01-15,12.294507,12.295227,12.074833,12.091399,1397700
2004-01-16,12.082036,12.145417,12.064029,12.143256,1698300
2004-01-20,12.388136,12.506975,12.364368,12.496173,1243800
2004-01-21,12.494018,12.557399,12.424155,12.512744,1260000
2004-01-22,12.470959,12.513452,12.379489,12.481042,1600200
2004-01-23,12.496889,12.503371,12.431348,12.460156,811800
2004-01-26,12.494008,12.542985,12.43999,12.542985,1946700
2004-01-27,12.568195,12.606368,12.460158,12.479605,2822400
2004-01-28,12.546589,12.565314,12.287303,12.303147,2428200
2004-01-29,12.254168,12.279377,11.906293,12.1094,3085200
2004-01-30,12.028009,12.094992,12.0028,12.092831,1413900
2004-02-02,12.108677,12.111558,12.042415,12.095713,1466100
2004-02-03,12.10364,12.10364,12.009288,12.028014,941400
2004-02-04,11.963191,11.981197,11.919976,11.919976,1133100
2004-02-05,11.884684,11.938703,11.865958,11.916375,1764000
2004-02-06,12.040257,12.219597,12.029454,12.187906,1868400
2004-02-09,12.31611,12.423426,12.244087,12.363647,882000
2004-02-10,12.367965,12.379489,12.32403,12.35284,665100
2004-02-11,12.391014,12.56027,12.355001,12.544425,2990700
