Date,Open,High,Low,Close,Volume
2006-06-21,0.99251,0.992918,0.981357,0.982717,1523200
2006-06-22,0.979317,0.981085,0.949122,0.959595,13612800
2006-06-23,0.955514,0.973332,0.945041,0.956739,3411200
2006-06-26,0.958914,0.965715,0.952113,0.960274,3622400
2006-06-27,0.961635,0.961635,0.924366,0.924366,6393600
2006-06-28,0.92831,0.937696,0.917022,0.935656,6374400
2006-06-29,0.947353,0.992238,0.943,0.992238,11289600
2006-06-30,0.999719,0.999719,0.981765,0.982717,15168000
2006-07-03,0.990198,0.994959,0.988294,0.994142,2380800
2006-07-05,0.975917,0.976325,0.95225,0.95497,9900800
2006-07-06,0.959595,0.967076,0.945993,0.949393,5369600
2006-07-07,0.932392,0.950754,0.92287,0.928583,4588800
2006-07-10,0.937152,0.940824,0.905052,0.913213,7987200
2006-07-11,0.906412,0.930759,0.899883,0.928175,10604800
2006-07-12,0.922462,0.92491,0.886826,0.891451,14598400
2006-07-13,0.895666,0.895666,0.860983,0.863023,26745600
2006-07-14,0.859623,0.861663,0.8365,0.845341,13856000
2006-07-17,0.852141,0.856902,0.838404,0.849421,9868800
2006-07-18,0.856902,0.859622,0.825619,0.854182,26054400
2006-07-19,0.852141,0.885058,0.851597,0.87268,16940800
2006-07-20,0.882746,0.882746,0.848061,0.848877,12019200
2006-07-21,0.834187,0.843301,0.828611,0.829699,18630400
2006-07-24,0.836363,0.863159,0.836363,0.860302,15334400
2006-07-25,0.864383,0.878665,0.853774,0.868736,21683200
2006-07-26,0.865063,0.88397,0.854182,0.870504,23500800
2006-07-27,0.888866,0.890907,0.854182,0.861663,12038400
2006-07-28,0.871184,0.896075,0.865743,0.896075,6752000
2006-07-31,0.889546,0.903828,0.883426,0.894307,9958400
2006-08-01,0.877985,0.877985,0.854182,0.863703,15609600
2006-08-02,0.873904,0.893627,0.871864,0.879617,13939200
2006-08-03,0.864383,0.903148,0.863703,0.894307,19961600
2006-08-04,0.9109,0.91811,0.86928,0.886146,18816000
2006-08-07,0.880025,0.883425,0.867104,0.8754,17017600
2006-08-08,0.878665,0.884105,0.855542,0.864383,28838400
2006-08-09,0.87608,0.900427,0.860983,0.863975,28825600
2006-08-10,0.864655,0.881658,0.855542,0.874992,23283200
2006-08-11,0.866424,0.871184,0.857582,0.866424,13305600
2006-08-14,0.877168,0.897707,0.872136,0.874312,19321600
2006-08-15,0.903012,0.931712,0.89077,0.919878,22054400
2006-08-16,0.931711,0.964627,0.926271,0.963674,31040000
2006-08-17,0.965035,0.983398,0.957554,0.969796,44345600
2006-08-18,0.966395,0.973061,0.948713,0.968436,16934400
2006-08-21,0.952658,0.960139,0.945993,0.950754,16275200
2006-08-22,0.960683,0.972244,0.945176,0.953202,16268800
2006-08-23,0.95565,0.965171,0.930351,0.937152,18598400
2006-08-24,0.948033,0.948713,0.928991,0.944361,18432000
2006-08-25,0.934432,0.962859,0.934432,0.948034,15257600
2006-08-28,0.945313,0.967075,0.945313,0.961635,16588800
2006-08-29,0.960274,0.969115,0.940824,0.967756,26617600
2006-08-30,0.968708,0.977277,0.960275,0.976325,22585600
2006-08-31,0.975916,0.981221,0.969115,0.975237,9395200
2006-09-01,0.988838,0.989518,0.9751,0.984078,18496000
2006-09-05,0.985302,1.003392,0.971156,1.00176,21452800
2006-09-06,0.983398,0.988566,0.958915,0.962723,23398400
2006-09-07,0.957555,0.972924,0.946673,0.954154,27027200
2006-09-08,0.958915,0.969659,0.952113,0.963674,13990400
2006-09-11,0.949801,0.98571,0.943953,0.976596,26662400
2006-09-12,0.979996,1.01985,0.977957,1.014545,19027200
2006-09-13,1.017401,1.028963,1.008561,1.026242,22579200
2006-09-14,1.016586,1.031547,1.016586,1.025154,15187200
2006-09-15,1.049365,1.1103,1.029235,1.035083,15891200
2006-09-18,1.037123,1.048821,1.024202,1.034267,13184000
2006-09-19,1.033724,1.037804,1.004888,1.021754,20812800
2006-09-20,1.044333,1.057526,1.038755,1.052085,21785600
2006-09-21,1.058206,1.062967,1.033723,1.038484,50976000
2006-09-22,1.035084,1.035084,1.013321,1.02053,18214400
2006-09-25,1.032091,1.060927,1.012369,1.058206,37670400
2006-09-26,1.055486,1.069767,1.049093,1.066911,24934400
2006-09-27,1.065279,1.074937,1.052086,1.061471,27929600
2006-09-28,1.070175,1.072487,1.047869,1.067727,14444800
2006-09-29,1.073168,1.073576,1.058206,1.059567,12473600
2006-10-02,1.054806,1.061743,1.029099,1.033723,22822400
2006-10-03,1.024203,1.049366,1.017946,1.041069,20364800
2006-10-04,1.039164,1.09153,1.032499,1.088809,27206400
2006-10-05,1.09153,1.105132,1.086226,1.103092,21580800
2006-10-06,1.089897,1.105131,1.088538,1.09697,21766400
2006-10-09,1.096426,1.113973,1.092211,1.102411,12217600
2006-10-10,1.105812,1.114653,1.091803,1.108533,16710400
2006-10-11,1.096291,1.118054,1.079833,1.104452,23334400
2006-10-12,1.116693,1.141176,1.112477,1.141176,26284800
2006-10-13,1.141177,1.155458,1.135055,1.149882,21683200
2006-10-16,1.152737,1.160898,1.149609,1.152058,17868800
2006-10-17,1.141721,1.141721,1.113973,1.129615,35289600
2006-10-18,1.142128,1.143353,1.107716,1.113973,36768000
2006-10-19,1.108804,1.132334,1.104451,1.123494,36089600
2006-10-20,1.124446,1.12635,1.107989,1.126214,21696000
2006-10-23,1.118053,1.156682,1.116694,1.146345,34579200
2006-10-24,1.143216,1.149065,1.12091,1.135464,31315200
2006-10-25,1.134783,1.152329,1.127575,1.149337,24864000
2006-10-26,1.154778,1.173956,1.136416,1.167699,30323200
2006-10-27,1.163075,1.167291,1.127575,1.134647,31724800
2006-10-30,1.133015,1.157498,1.126214,1.147977,28748800
2006-10-31,1.159538,1.162939,1.139272,1.154778,27744000
2006-11-01,1.162939,1.164434,1.113156,1.123494,37939200
2006-11-02,1.120773,1.129887,1.109484,1.124582,29440000
2006-11-03,1.133015,1.133015,1.101187,1.118053,42656000
2006-11-06,1.129614,1.158042,1.12771,1.143216,28524800
2006-11-07,1.153418,1.179397,1.146618,1.16634,34387200
2006-11-08,1.151785,1.186741,1.145529,1.182117,41382400
2006-11-09,1.190822,1.193542,1.156818,1.165659,32851200
2006-11-10,1.167428,1.178581,1.157499,1.178581,24953600
2006-11-13,1.177356,1.203607,1.174636,1.197622,28505600
